,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,50,0.10462,0.1001,"[[0, 0, 0, 0, 0, 624, 0, 365, 0, 11], [0, 0, 0, 0, 0, 801, 0, 171, 0, 28], [0, 0, 0, 0, 0, 707, 0, 276, 0, 17], [0, 0, 0, 0, 0, 698, 0, 285, 0, 17], [0, 0, 0, 0, 0, 778, 1, 208, 0, 13], [0, 0, 0, 0, 0, 686, 0, 311, 0, 3], [0, 0, 0, 0, 0, 809, 0, 182, 0, 9], [0, 0, 0, 0, 0, 696, 0, 302, 0, 2], [0, 0, 0, 0, 0, 813, 0, 181, 0, 6], [0, 0, 0, 0, 0, 733, 0, 254, 0, 13]]"
1,1,50,0.15636,0.1649,"[[57, 42, 0, 397, 0, 0, 84, 8, 0, 412], [24, 101, 0, 139, 0, 2, 155, 13, 0, 566], [53, 20, 0, 510, 0, 1, 124, 6, 0, 286], [34, 20, 1, 466, 0, 13, 188, 24, 0, 254], [37, 12, 0, 485, 0, 3, 181, 3, 0, 279], [48, 32, 0, 477, 0, 4, 179, 13, 0, 247], [27, 24, 0, 351, 0, 3, 285, 5, 0, 305], [29, 44, 0, 421, 0, 2, 101, 5, 0, 398], [10, 49, 0, 213, 0, 1, 115, 1, 0, 611], [29, 35, 0, 139, 0, 0, 53, 13, 0, 731]]"
2,2,50,0.17324,0.1819,"[[3, 82, 45, 0, 16, 85, 72, 323, 0, 374], [4, 166, 23, 0, 13, 61, 131, 102, 1, 499], [3, 53, 35, 0, 36, 168, 148, 306, 0, 251], [4, 32, 28, 0, 72, 225, 186, 226, 1, 226], [9, 44, 43, 0, 78, 193, 176, 231, 0, 226], [4, 40, 30, 0, 56, 246, 195, 205, 2, 222], [1, 79, 26, 0, 36, 133, 316, 192, 0, 217], [2, 63, 29, 0, 70, 109, 90, 280, 1, 356], [3, 97, 24, 0, 11, 125, 98, 57, 0, 585], [1, 65, 13, 0, 11, 41, 50, 123, 1, 695]]"
3,3,50,0.17512,0.1887,"[[67, 196, 6, 57, 18, 1, 238, 278, 10, 129], [19, 359, 2, 19, 16, 6, 239, 121, 17, 202], [40, 105, 2, 128, 44, 4, 425, 189, 3, 60], [17, 62, 1, 141, 49, 1, 421, 212, 4, 92], [30, 87, 2, 166, 53, 0, 443, 148, 0, 71], [26, 69, 1, 151, 32, 1, 477, 171, 6, 66], [16, 79, 0, 100, 30, 3, 540, 170, 1, 61], [21, 150, 1, 112, 47, 2, 217, 298, 3, 149], [17, 340, 0, 37, 9, 4, 264, 61, 25, 243], [17, 245, 2, 17, 11, 3, 128, 161, 15, 401]]"
4,4,50,0.21228,0.2289,"[[104, 201, 22, 10, 53, 83, 31, 196, 33, 267], [10, 346, 9, 7, 57, 67, 54, 67, 25, 358], [32, 76, 26, 102, 165, 129, 202, 117, 12, 139], [3, 54, 18, 86, 172, 132, 231, 162, 9, 133], [6, 59, 20, 106, 232, 82, 264, 106, 4, 121], [8, 51, 10, 97, 142, 227, 233, 121, 11, 100], [2, 58, 3, 93, 136, 97, 394, 124, 1, 92], [6, 115, 8, 50, 151, 119, 75, 231, 5, 240], [14, 223, 7, 1, 32, 118, 51, 39, 59, 456], [6, 141, 4, 7, 50, 41, 35, 98, 34, 584]]"
5,5,50,0.24926,0.2641,"[[397, 137, 11, 5, 23, 4, 39, 137, 93, 154], [98, 325, 9, 7, 32, 7, 80, 60, 108, 274], [124, 72, 30, 61, 104, 33, 328, 142, 27, 79], [38, 64, 23, 61, 109, 24, 345, 205, 34, 97], [72, 51, 33, 67, 159, 11, 403, 121, 14, 69], [54, 55, 17, 77, 96, 51, 375, 150, 54, 71], [9, 51, 7, 69, 84, 10, 554, 146, 4, 66], [47, 117, 25, 39, 100, 39, 135, 349, 24, 125], [194, 159, 7, 3, 13, 7, 53, 38, 246, 280], [65, 127, 7, 3, 30, 6, 66, 126, 101, 469]]"
6,6,50,0.2655,0.2828,"[[482, 129, 10, 4, 25, 16, 36, 101, 46, 151], [137, 351, 4, 3, 35, 23, 73, 49, 48, 277], [129, 63, 33, 35, 122, 76, 311, 135, 16, 80], [45, 56, 26, 38, 112, 87, 302, 203, 27, 104], [76, 43, 38, 32, 178, 44, 378, 141, 13, 57], [47, 40, 19, 57, 103, 175, 295, 156, 44, 64], [9, 38, 9, 35, 94, 45, 568, 143, 1, 58], [45, 98, 20, 21, 113, 95, 105, 374, 12, 117], [276, 173, 8, 4, 14, 17, 30, 37, 167, 274], [84, 129, 4, 5, 32, 17, 60, 145, 62, 462]]"
7,7,50,0.28334,0.309,"[[531, 165, 6, 14, 38, 8, 22, 59, 61, 96], [123, 452, 5, 13, 42, 18, 55, 47, 53, 192], [149, 77, 58, 49, 219, 68, 205, 97, 22, 56], [61, 77, 35, 78, 163, 82, 215, 157, 30, 102], [90, 55, 38, 27, 332, 38, 239, 118, 19, 44], [58, 58, 40, 91, 161, 186, 181, 127, 53, 45], [10, 39, 27, 44, 192, 39, 473, 119, 6, 51], [58, 107, 19, 20, 162, 74, 64, 388, 23, 85], [286, 220, 10, 10, 16, 11, 20, 46, 213, 168], [89, 204, 10, 7, 40, 14, 46, 138, 73, 379]]"
8,8,50,0.2946,0.3189,"[[361, 197, 22, 43, 34, 34, 26, 66, 82, 135], [59, 459, 6, 35, 27, 23, 56, 42, 35, 258], [86, 66, 78, 143, 148, 116, 192, 86, 22, 63], [23, 58, 40, 213, 98, 119, 204, 119, 17, 109], [46, 50, 54, 107, 253, 74, 230, 105, 20, 61], [22, 42, 45, 196, 99, 249, 174, 94, 24, 55], [2, 27, 34, 125, 123, 51, 490, 89, 4, 55], [18, 74, 23, 87, 130, 92, 61, 403, 12, 100], [178, 238, 7, 24, 16, 25, 25, 48, 225, 214], [35, 189, 7, 44, 28, 22, 42, 123, 52, 458]]"
9,9,50,0.30104,0.3236,"[[397, 236, 24, 28, 25, 24, 46, 79, 81, 60], [51, 556, 10, 21, 21, 15, 65, 61, 32, 168], [92, 80, 94, 90, 111, 119, 233, 129, 28, 24], [27, 78, 55, 119, 73, 135, 266, 165, 18, 64], [55, 57, 63, 38, 189, 75, 286, 184, 20, 33], [28, 54, 64, 112, 65, 257, 227, 146, 18, 29], [3, 34, 42, 49, 106, 52, 561, 118, 4, 31], [26, 69, 29, 38, 85, 97, 86, 504, 18, 48], [185, 296, 8, 16, 15, 21, 33, 58, 244, 124], [36, 278, 8, 27, 17, 25, 77, 156, 61, 315]]"
