,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
2,2,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
3,3,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
4,4,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
5,5,10,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
6,6,10,1,0.10138,0.1008,"[[0, 0, 0, 7, 0, 0, 0, 0, 0, 993], [0, 0, 0, 4, 0, 0, 0, 0, 0, 996], [0, 0, 0, 3, 0, 0, 0, 0, 0, 997], [0, 0, 0, 8, 0, 0, 0, 0, 0, 992], [0, 0, 0, 3, 0, 0, 0, 0, 0, 997], [0, 0, 0, 15, 0, 0, 0, 0, 0, 985], [0, 0, 0, 3, 0, 0, 0, 0, 0, 997], [0, 0, 0, 6, 0, 0, 0, 0, 0, 994], [0, 0, 0, 10, 0, 0, 0, 0, 0, 990], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
7,7,10,1,0.11612,0.1159,"[[0, 0, 0, 57, 0, 0, 0, 0, 47, 896], [0, 0, 0, 72, 0, 0, 0, 0, 2, 926], [0, 0, 0, 59, 0, 0, 0, 0, 5, 936], [0, 0, 0, 174, 0, 0, 0, 0, 5, 821], [0, 0, 0, 81, 0, 0, 0, 0, 0, 919], [0, 0, 0, 207, 0, 0, 0, 0, 9, 784], [0, 0, 0, 54, 0, 0, 0, 0, 0, 946], [0, 0, 0, 81, 0, 0, 0, 0, 0, 919], [0, 0, 0, 104, 0, 0, 0, 0, 7, 889], [0, 0, 0, 18, 0, 0, 0, 0, 4, 978]]"
8,8,10,1,0.15534,0.1522,"[[0, 0, 0, 36, 7, 0, 0, 0, 444, 513], [0, 0, 0, 89, 19, 0, 0, 0, 115, 777], [0, 0, 0, 116, 52, 0, 0, 0, 155, 677], [0, 0, 0, 245, 84, 0, 0, 0, 66, 605], [0, 0, 0, 132, 120, 0, 0, 0, 41, 707], [0, 0, 0, 255, 84, 0, 0, 0, 134, 527], [0, 0, 0, 111, 142, 0, 0, 0, 12, 735], [0, 0, 0, 126, 74, 0, 0, 0, 45, 755], [0, 0, 0, 74, 2, 0, 0, 0, 283, 641], [0, 0, 0, 31, 24, 0, 0, 0, 71, 874]]"
9,9,10,1,0.18184,0.179,"[[0, 0, 0, 49, 34, 0, 0, 0, 389, 528], [0, 0, 0, 84, 47, 0, 0, 0, 38, 831], [0, 0, 0, 167, 295, 0, 0, 0, 111, 427], [0, 0, 2, 257, 260, 0, 3, 0, 37, 441], [0, 0, 0, 142, 434, 0, 0, 0, 31, 393], [0, 0, 0, 323, 239, 0, 1, 0, 55, 382], [0, 0, 0, 101, 475, 0, 7, 0, 6, 411], [0, 0, 0, 132, 210, 0, 1, 0, 24, 633], [0, 0, 0, 82, 12, 0, 0, 0, 185, 721], [0, 0, 0, 23, 45, 0, 0, 0, 25, 907]]"
