,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.28666,0.3095,0.3095,"[[565, 28, 10, 7, 44, 40, 24, 59, 218, 5], [146, 181, 10, 5, 85, 76, 80, 86, 285, 46], [184, 27, 46, 29, 339, 155, 99, 77, 34, 10], [79, 11, 20, 59, 244, 307, 133, 67, 59, 21], [80, 3, 18, 13, 519, 112, 115, 86, 49, 5], [46, 14, 25, 36, 267, 354, 96, 63, 89, 10], [28, 4, 10, 34, 410, 118, 338, 34, 9, 15], [85, 23, 12, 21, 209, 146, 49, 365, 58, 32], [262, 25, 3, 9, 39, 50, 23, 45, 530, 14], [142, 38, 5, 35, 53, 62, 64, 114, 349, 138]]"
1,1,10,0.29266,0.3094,0.3094,"[[340, 114, 51, 34, 0, 4, 27, 30, 110, 290], [24, 370, 27, 58, 1, 7, 71, 44, 54, 344], [90, 79, 250, 150, 0, 29, 184, 81, 15, 122], [17, 71, 108, 347, 0, 35, 159, 61, 12, 190], [25, 26, 222, 139, 0, 26, 316, 120, 18, 108], [9, 97, 128, 346, 0, 71, 148, 50, 12, 139], [4, 19, 114, 161, 0, 13, 528, 40, 1, 120], [18, 94, 108, 108, 0, 27, 68, 271, 10, 296], [53, 123, 13, 61, 0, 0, 10, 34, 248, 458], [16, 116, 17, 54, 0, 11, 40, 22, 55, 669]]"
2,2,10,0.29118,0.3141,0.3141,"[[560, 34, 18, 5, 56, 38, 17, 52, 207, 13], [140, 232, 18, 1, 105, 76, 56, 76, 234, 62], [164, 33, 82, 25, 368, 141, 66, 75, 30, 16], [77, 16, 33, 45, 280, 321, 85, 67, 47, 29], [76, 6, 43, 11, 554, 104, 77, 81, 39, 9], [43, 22, 49, 23, 301, 367, 58, 56, 62, 19], [24, 5, 26, 28, 489, 131, 237, 29, 9, 22], [79, 34, 33, 15, 219, 147, 34, 350, 41, 48], [250, 46, 7, 6, 48, 50, 18, 46, 505, 24], [122, 64, 8, 25, 69, 62, 42, 97, 302, 209]]"
3,3,10,0.29534,0.3136,0.3136,"[[324, 91, 32, 48, 0, 4, 35, 32, 148, 286], [24, 347, 19, 70, 0, 9, 90, 43, 64, 334], [91, 62, 146, 200, 0, 33, 250, 82, 24, 112], [16, 39, 57, 398, 0, 40, 217, 52, 17, 164], [28, 19, 97, 153, 0, 21, 448, 110, 27, 97], [8, 56, 67, 406, 0, 72, 191, 54, 23, 123], [4, 18, 53, 170, 0, 7, 618, 32, 1, 97], [17, 83, 64, 139, 0, 18, 121, 274, 10, 274], [44, 95, 8, 72, 0, 1, 13, 31, 292, 444], [16, 96, 4, 72, 0, 8, 55, 23, 61, 665]]"
4,4,10,0.28314,0.3082,0.3082,"[[622, 51, 29, 3, 60, 37, 5, 54, 122, 17], [178, 274, 34, 3, 117, 68, 23, 75, 161, 67], [168, 40, 137, 20, 356, 130, 34, 74, 20, 21], [82, 23, 62, 39, 312, 318, 33, 69, 30, 32], [82, 10, 71, 9, 573, 103, 33, 85, 26, 8], [51, 30, 82, 19, 319, 358, 26, 59, 38, 18], [24, 10, 49, 28, 594, 141, 89, 34, 6, 25], [80, 45, 49, 13, 218, 139, 21, 360, 26, 49], [320, 62, 11, 7, 67, 46, 8, 45, 393, 41], [154, 82, 18, 25, 80, 62, 19, 101, 222, 237]]"
5,5,10,0.2836,0.3019,0.3019,"[[241, 59, 9, 57, 0, 5, 52, 30, 256, 291], [18, 294, 8, 67, 0, 10, 111, 36, 107, 349], [74, 49, 57, 207, 0, 27, 340, 78, 50, 118], [11, 24, 15, 390, 0, 23, 287, 43, 33, 174], [18, 12, 25, 155, 0, 20, 544, 78, 47, 101], [5, 45, 18, 418, 0, 51, 244, 43, 41, 135], [3, 11, 15, 140, 0, 3, 706, 18, 2, 102], [10, 65, 25, 140, 0, 16, 184, 242, 18, 300], [28, 64, 1, 75, 0, 2, 18, 24, 374, 414], [9, 61, 3, 65, 0, 7, 69, 19, 103, 664]]"
6,6,10,0.27582,0.2954,0.2954,"[[641, 101, 63, 2, 44, 29, 1, 47, 54, 18], [206, 357, 47, 4, 119, 59, 11, 70, 69, 58], [171, 47, 253, 17, 284, 119, 10, 70, 11, 18], [87, 42, 151, 28, 275, 310, 9, 62, 9, 27], [86, 20, 165, 5, 517, 92, 11, 87, 10, 7], [52, 56, 178, 14, 282, 334, 3, 53, 14, 14], [23, 20, 144, 22, 580, 141, 21, 25, 2, 22], [86, 68, 111, 6, 185, 140, 6, 340, 11, 47], [405, 138, 22, 5, 66, 49, 1, 47, 233, 34], [203, 170, 42, 22, 77, 48, 5, 97, 106, 230]]"
7,7,10,0.27498,0.2882,0.2882,"[[158, 30, 2, 59, 0, 3, 60, 31, 372, 285], [11, 218, 2, 74, 1, 6, 126, 36, 173, 353], [54, 31, 11, 209, 0, 32, 398, 57, 83, 125], [7, 10, 1, 364, 1, 21, 322, 40, 53, 181], [11, 8, 4, 148, 0, 12, 586, 63, 63, 105], [4, 23, 3, 392, 0, 41, 300, 36, 62, 139], [2, 5, 1, 115, 0, 6, 748, 15, 4, 104], [6, 25, 4, 136, 1, 15, 225, 227, 37, 324], [19, 38, 0, 69, 0, 2, 21, 19, 454, 378], [4, 30, 0, 64, 0, 5, 76, 15, 145, 661]]"
8,8,10,0.25814,0.2733,0.2733,"[[658, 140, 86, 2, 30, 17, 0, 58, 3, 6], [210, 449, 86, 3, 85, 42, 6, 79, 2, 38], [161, 58, 364, 17, 211, 82, 7, 90, 2, 8], [79, 74, 252, 25, 211, 264, 5, 76, 1, 13], [91, 23, 272, 4, 409, 75, 7, 115, 0, 4], [51, 84, 325, 18, 176, 270, 0, 68, 1, 7], [19, 26, 249, 22, 502, 112, 12, 43, 0, 15], [67, 100, 171, 9, 126, 125, 2, 378, 0, 22], [515, 240, 56, 3, 40, 43, 1, 53, 25, 24], [233, 278, 81, 28, 59, 44, 1, 125, 8, 143]]"
9,9,10,0.2695,0.2842,0.2842,"[[143, 20, 2, 50, 2, 10, 61, 20, 415, 277], [8, 167, 2, 81, 3, 16, 122, 35, 231, 335], [46, 15, 3, 189, 2, 67, 406, 38, 98, 136], [4, 6, 1, 336, 2, 52, 317, 29, 62, 191], [9, 4, 0, 143, 4, 27, 587, 49, 69, 108], [3, 8, 2, 351, 0, 96, 288, 22, 83, 147], [2, 3, 0, 104, 1, 16, 745, 8, 7, 114], [5, 14, 3, 125, 2, 39, 231, 177, 48, 356], [16, 27, 0, 61, 2, 6, 22, 17, 524, 325], [5, 19, 0, 55, 1, 13, 76, 10, 174, 647]]"
10,10,10,0.26242,0.279,0.279,"[[651, 158, 73, 2, 19, 15, 1, 72, 4, 5], [186, 495, 67, 2, 71, 37, 9, 95, 2, 36], [164, 70, 334, 25, 176, 77, 15, 129, 1, 9], [78, 94, 229, 41, 166, 248, 5, 125, 1, 13], [92, 28, 263, 8, 355, 69, 15, 165, 0, 5], [49, 112, 280, 29, 140, 268, 3, 111, 1, 7], [19, 40, 247, 29, 449, 86, 35, 84, 0, 11], [64, 119, 135, 12, 98, 92, 6, 455, 0, 19], [494, 283, 42, 4, 24, 36, 2, 68, 21, 26], [222, 298, 58, 30, 45, 34, 5, 171, 2, 135]]"
11,11,10,0.27848,0.2913,0.2913,"[[213, 22, 5, 46, 7, 16, 61, 14, 362, 254], [13, 179, 8, 74, 9, 22, 126, 25, 220, 324], [65, 19, 21, 177, 12, 80, 397, 29, 75, 125], [10, 8, 9, 320, 5, 81, 307, 24, 57, 179], [14, 5, 7, 134, 17, 39, 582, 37, 63, 102], [4, 10, 7, 346, 6, 127, 283, 16, 75, 126], [3, 4, 2, 106, 3, 22, 746, 3, 8, 103], [12, 18, 5, 124, 15, 53, 235, 138, 40, 360], [24, 31, 0, 60, 5, 10, 25, 14, 511, 320], [9, 21, 3, 56, 3, 18, 75, 7, 167, 641]]"
12,12,10,0.27096,0.2903,0.2903,"[[632, 161, 58, 5, 19, 12, 2, 88, 9, 14], [153, 491, 56, 4, 58, 30, 11, 125, 16, 56], [158, 76, 305, 26, 163, 76, 18, 162, 4, 12], [72, 103, 201, 46, 148, 226, 13, 167, 2, 22], [86, 28, 241, 11, 320, 57, 24, 223, 3, 7], [48, 108, 237, 28, 130, 252, 7, 175, 5, 10], [17, 37, 240, 33, 410, 77, 46, 122, 0, 18], [58, 101, 101, 11, 88, 77, 6, 516, 4, 38], [420, 267, 27, 7, 18, 29, 2, 95, 86, 49], [170, 273, 40, 31, 38, 34, 7, 180, 18, 209]]"
13,13,10,0.27998,0.2968,0.2968,"[[249, 22, 8, 52, 9, 14, 59, 15, 330, 242], [16, 180, 10, 77, 14, 26, 127, 21, 221, 308], [74, 19, 25, 176, 19, 90, 400, 21, 64, 112], [10, 8, 12, 317, 10, 84, 321, 21, 54, 163], [17, 4, 8, 132, 22, 42, 584, 31, 61, 99], [5, 9, 8, 342, 7, 142, 290, 10, 75, 112], [3, 4, 6, 105, 4, 24, 746, 3, 7, 98], [15, 19, 7, 130, 21, 61, 242, 128, 37, 340], [29, 26, 1, 63, 7, 11, 24, 14, 531, 294], [13, 23, 3, 57, 4, 24, 73, 6, 169, 628]]"
