,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
1,1,10,0.1133,0.1168,0.1168,"[[0, 0, 0, 0, 0, 380, 0, 620, 0, 0], [0, 0, 0, 0, 0, 416, 0, 584, 0, 0], [0, 0, 0, 0, 0, 528, 0, 472, 0, 0], [0, 0, 0, 0, 0, 562, 0, 438, 0, 0], [0, 0, 0, 0, 0, 555, 0, 445, 0, 0], [0, 0, 0, 0, 0, 591, 0, 409, 0, 0], [0, 0, 0, 0, 0, 509, 0, 491, 0, 0], [0, 0, 0, 0, 0, 423, 0, 577, 0, 0], [0, 0, 0, 0, 0, 419, 0, 581, 0, 0], [0, 0, 0, 0, 0, 336, 0, 664, 0, 0]]"
2,2,10,0.11232,0.1164,0.1164,"[[0, 0, 0, 0, 1, 270, 649, 80, 0, 0], [0, 0, 0, 0, 0, 157, 783, 60, 0, 0], [0, 0, 0, 0, 0, 338, 587, 75, 0, 0], [0, 0, 0, 0, 0, 310, 611, 79, 0, 0], [0, 0, 0, 0, 0, 339, 607, 54, 0, 0], [0, 0, 0, 0, 0, 340, 581, 79, 0, 0], [0, 0, 0, 0, 0, 210, 733, 57, 0, 0], [0, 0, 0, 0, 0, 231, 678, 91, 0, 0], [0, 0, 0, 0, 0, 249, 688, 63, 0, 0], [0, 0, 0, 0, 2, 147, 762, 89, 0, 0]]"
3,3,10,0.10022,0.0995,0.0995,"[[0, 0, 0, 0, 993, 0, 7, 0, 0, 0], [0, 0, 0, 0, 965, 0, 35, 0, 0, 0], [0, 0, 0, 0, 991, 0, 9, 0, 0, 0], [0, 0, 0, 0, 985, 0, 15, 0, 0, 0], [0, 0, 0, 0, 992, 0, 8, 0, 0, 0], [0, 0, 0, 0, 958, 0, 42, 0, 0, 0], [0, 0, 0, 0, 997, 0, 3, 0, 0, 0], [0, 0, 0, 0, 985, 0, 15, 0, 0, 0], [0, 0, 0, 0, 986, 0, 14, 0, 0, 0], [0, 0, 0, 0, 981, 0, 19, 0, 0, 0]]"
4,4,10,0.1002,0.1003,0.1003,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 997, 3, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 998, 2, 0, 0, 0, 0]]"
5,5,10,0.1471,0.1574,0.1574,"[[224, 0, 0, 0, 76, 593, 77, 0, 0, 30], [39, 0, 0, 0, 180, 556, 180, 0, 0, 45], [27, 0, 0, 0, 140, 561, 261, 0, 0, 11], [9, 0, 0, 0, 144, 521, 316, 0, 0, 10], [7, 0, 0, 0, 192, 458, 337, 0, 0, 6], [12, 0, 0, 0, 108, 659, 217, 0, 0, 4], [1, 0, 0, 0, 217, 330, 450, 0, 0, 2], [17, 0, 0, 0, 201, 487, 287, 0, 0, 8], [173, 0, 0, 0, 107, 592, 75, 0, 0, 53], [44, 0, 0, 0, 275, 438, 194, 0, 0, 49]]"
6,6,10,0.1388,0.1412,0.1412,"[[246, 0, 0, 0, 33, 714, 4, 1, 0, 2], [45, 0, 0, 0, 136, 791, 27, 0, 0, 1], [39, 0, 0, 0, 134, 792, 35, 0, 0, 0], [9, 0, 0, 0, 133, 824, 34, 0, 0, 0], [11, 0, 0, 0, 201, 734, 54, 0, 0, 0], [9, 0, 0, 0, 112, 848, 31, 0, 0, 0], [1, 0, 0, 0, 274, 609, 116, 0, 0, 0], [13, 0, 0, 0, 195, 767, 24, 1, 0, 0], [178, 0, 0, 0, 31, 787, 2, 0, 0, 2], [46, 0, 0, 0, 191, 749, 14, 0, 0, 0]]"
7,7,10,0.10266,0.1058,0.1058,"[[8, 0, 0, 0, 688, 303, 0, 0, 0, 1], [0, 0, 0, 0, 887, 113, 0, 0, 0, 0], [1, 0, 0, 0, 943, 56, 0, 0, 0, 0], [0, 0, 0, 0, 963, 37, 0, 0, 0, 0], [1, 0, 0, 0, 982, 17, 0, 0, 0, 0], [0, 0, 0, 0, 933, 67, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 983, 17, 0, 0, 0, 0], [1, 0, 0, 0, 784, 214, 0, 0, 0, 1], [1, 0, 0, 0, 940, 58, 0, 0, 0, 1]]"
8,8,10,0.1519,0.157,0.157,"[[446, 0, 0, 0, 423, 91, 2, 0, 0, 38], [137, 0, 0, 0, 686, 152, 3, 0, 0, 22], [74, 0, 0, 0, 874, 48, 0, 0, 0, 4], [23, 0, 0, 0, 902, 70, 3, 0, 0, 2], [29, 0, 0, 0, 949, 17, 0, 0, 0, 5], [19, 0, 0, 0, 837, 140, 2, 0, 0, 2], [2, 0, 0, 0, 991, 4, 3, 0, 0, 0], [26, 0, 0, 0, 931, 35, 1, 0, 0, 7], [338, 0, 0, 0, 488, 120, 0, 0, 0, 54], [123, 0, 0, 0, 781, 61, 3, 0, 0, 32]]"
9,9,10,0.13748,0.1414,0.1414,"[[164, 0, 0, 0, 668, 44, 68, 0, 0, 56], [19, 0, 0, 0, 715, 39, 213, 0, 0, 14], [28, 0, 0, 0, 610, 9, 345, 0, 0, 8], [0, 0, 0, 0, 655, 5, 337, 0, 0, 3], [6, 0, 0, 0, 542, 2, 441, 0, 0, 9], [4, 0, 0, 0, 623, 9, 362, 0, 0, 2], [0, 0, 0, 0, 332, 0, 668, 0, 0, 0], [3, 0, 0, 0, 651, 0, 337, 0, 0, 9], [83, 0, 0, 0, 788, 35, 47, 0, 0, 47], [19, 0, 0, 0, 730, 16, 204, 0, 0, 31]]"
10,10,10,0.13008,0.1318,0.1318,"[[113, 0, 0, 0, 690, 28, 95, 0, 0, 74], [8, 0, 0, 0, 674, 21, 286, 0, 0, 11], [20, 0, 0, 0, 599, 7, 364, 0, 0, 10], [0, 0, 0, 0, 607, 1, 390, 0, 0, 2], [4, 0, 0, 0, 536, 0, 451, 0, 0, 9], [0, 0, 0, 0, 541, 3, 454, 0, 0, 2], [0, 0, 0, 0, 357, 0, 643, 0, 0, 0], [0, 0, 0, 0, 648, 0, 346, 0, 0, 6], [42, 0, 0, 0, 791, 11, 89, 0, 0, 67], [9, 0, 0, 0, 715, 6, 247, 0, 0, 23]]"
11,11,10,0.12968,0.1335,0.1335,"[[98, 0, 0, 0, 620, 59, 41, 22, 0, 160], [9, 0, 0, 0, 728, 87, 140, 0, 0, 36], [16, 0, 0, 0, 800, 17, 134, 9, 1, 23], [0, 0, 0, 0, 814, 9, 169, 1, 0, 7], [2, 0, 0, 0, 775, 3, 195, 2, 0, 23], [1, 0, 0, 0, 773, 11, 207, 1, 0, 7], [0, 0, 0, 0, 616, 1, 382, 1, 0, 0], [0, 0, 0, 0, 843, 2, 137, 5, 0, 13], [26, 0, 0, 0, 736, 41, 31, 12, 0, 154], [4, 0, 0, 0, 750, 28, 149, 5, 0, 64]]"
12,12,10,0.12836,0.13,0.13,"[[54, 3, 0, 0, 729, 28, 100, 2, 0, 84], [1, 0, 0, 0, 680, 34, 272, 3, 0, 10], [8, 0, 0, 0, 562, 10, 408, 1, 0, 11], [0, 0, 0, 0, 567, 2, 427, 0, 0, 4], [1, 0, 0, 0, 493, 1, 494, 0, 0, 11], [0, 1, 0, 0, 524, 3, 469, 1, 0, 2], [0, 0, 0, 0, 271, 0, 729, 0, 0, 0], [0, 0, 0, 0, 584, 1, 412, 0, 0, 3], [7, 0, 0, 0, 800, 14, 97, 5, 0, 77], [1, 1, 0, 0, 681, 6, 288, 2, 0, 21]]"
