,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.10404,0.1059,0.1059,"[[0, 0, 0, 0, 0, 843, 0, 157, 0, 0], [0, 0, 0, 0, 0, 809, 0, 191, 0, 0], [0, 0, 0, 0, 0, 893, 0, 107, 0, 0], [0, 0, 0, 0, 0, 879, 0, 121, 0, 0], [0, 0, 0, 0, 0, 921, 0, 79, 0, 0], [0, 0, 0, 0, 0, 885, 0, 115, 0, 0], [0, 0, 0, 0, 0, 900, 0, 100, 0, 0], [0, 0, 0, 0, 0, 826, 0, 174, 0, 0], [0, 0, 0, 0, 0, 854, 0, 146, 0, 0], [0, 0, 0, 0, 0, 786, 0, 214, 0, 0]]"
1,1,10,0.09806,0.1019,0.1019,"[[0, 0, 0, 0, 350, 650, 0, 0, 0, 0], [0, 0, 0, 0, 332, 668, 0, 0, 0, 0], [0, 0, 0, 0, 241, 759, 0, 0, 0, 0], [0, 0, 0, 0, 194, 806, 0, 0, 0, 0], [0, 0, 0, 0, 227, 773, 0, 0, 0, 0], [0, 0, 0, 0, 208, 792, 0, 0, 0, 0], [0, 0, 0, 0, 284, 716, 0, 0, 0, 0], [0, 0, 0, 0, 326, 674, 0, 0, 0, 0], [0, 0, 0, 0, 293, 707, 0, 0, 0, 0], [0, 0, 0, 0, 469, 531, 0, 0, 0, 0]]"
2,2,10,0.10772,0.11,0.11,"[[0, 0, 0, 0, 983, 17, 0, 0, 0, 0], [0, 0, 0, 0, 947, 53, 0, 0, 0, 0], [0, 0, 0, 0, 961, 39, 0, 0, 0, 0], [0, 0, 0, 0, 912, 88, 0, 0, 0, 0], [0, 0, 0, 0, 980, 20, 0, 0, 0, 0], [0, 0, 0, 0, 880, 120, 0, 0, 0, 0], [0, 0, 0, 0, 980, 20, 0, 0, 0, 0], [0, 0, 0, 0, 966, 34, 0, 0, 0, 0], [0, 0, 0, 0, 952, 48, 0, 0, 0, 0], [0, 0, 0, 0, 977, 23, 0, 0, 0, 0]]"
3,3,10,0.10018,0.1002,0.1002,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 998, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 998, 2, 0, 0, 0, 0]]"
4,4,10,0.10576,0.1081,0.1081,"[[0, 0, 0, 0, 981, 19, 0, 0, 0, 0], [0, 0, 0, 0, 966, 34, 0, 0, 0, 0], [0, 0, 0, 0, 986, 14, 0, 0, 0, 0], [0, 0, 0, 0, 960, 40, 0, 0, 0, 0], [0, 0, 0, 0, 996, 4, 0, 0, 0, 0], [0, 0, 0, 0, 915, 85, 0, 0, 0, 0], [0, 0, 0, 0, 995, 5, 0, 0, 0, 0], [0, 0, 0, 0, 980, 20, 0, 0, 0, 0], [0, 0, 0, 0, 961, 39, 0, 0, 0, 0], [0, 0, 0, 0, 985, 15, 0, 0, 0, 0]]"
5,5,10,0.1,0.1001,0.1001,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0]]"
6,6,10,0.1145,0.1193,0.1193,"[[0, 0, 0, 0, 573, 427, 0, 0, 0, 0], [0, 0, 0, 0, 811, 189, 0, 0, 0, 0], [0, 0, 0, 0, 892, 108, 0, 0, 0, 0], [0, 0, 0, 0, 865, 135, 0, 0, 0, 0], [0, 0, 0, 0, 954, 46, 0, 0, 0, 0], [0, 0, 0, 0, 761, 239, 0, 0, 0, 0], [0, 0, 0, 0, 985, 15, 0, 0, 0, 0], [0, 0, 0, 0, 912, 88, 0, 0, 0, 0], [0, 0, 0, 0, 652, 348, 0, 0, 0, 0], [0, 0, 0, 0, 886, 114, 0, 0, 0, 0]]"
7,7,10,0.1006,0.1009,0.1009,"[[0, 0, 0, 0, 978, 22, 0, 0, 0, 0], [0, 0, 0, 0, 998, 2, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 996, 4, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 990, 10, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0], [0, 0, 0, 0, 990, 10, 0, 0, 0, 0], [0, 0, 0, 0, 999, 1, 0, 0, 0, 0]]"
8,8,10,0.10024,0.1012,0.1012,"[[0, 0, 0, 0, 898, 102, 0, 0, 0, 0], [0, 0, 0, 0, 987, 13, 0, 0, 0, 0], [0, 0, 0, 0, 988, 12, 0, 0, 0, 0], [0, 0, 0, 0, 990, 10, 0, 0, 0, 0], [0, 0, 0, 0, 995, 5, 0, 0, 0, 0], [0, 0, 0, 0, 983, 17, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 956, 44, 0, 0, 0, 0], [0, 0, 0, 0, 996, 4, 0, 0, 0, 0]]"
9,9,10,0.12258,0.129,0.129,"[[108, 0, 0, 0, 405, 481, 0, 0, 0, 6], [31, 0, 0, 0, 685, 282, 0, 0, 0, 2], [19, 0, 0, 0, 854, 127, 0, 0, 0, 0], [3, 0, 0, 0, 864, 133, 0, 0, 0, 0], [6, 0, 0, 0, 939, 55, 0, 0, 0, 0], [1, 0, 0, 0, 759, 240, 0, 0, 0, 0], [1, 0, 0, 0, 987, 12, 0, 0, 0, 0], [5, 0, 0, 0, 910, 84, 0, 0, 0, 1], [70, 0, 0, 0, 491, 434, 0, 0, 0, 5], [29, 0, 0, 0, 804, 164, 0, 0, 0, 3]]"
