,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.26118,0.2825,0.2825,"[[214, 152, 11, 2, 258, 0, 98, 15, 150, 100], [0, 533, 2, 9, 63, 3, 206, 4, 33, 147], [46, 37, 10, 21, 356, 9, 449, 17, 13, 42], [2, 28, 2, 21, 252, 28, 592, 22, 7, 46], [13, 25, 1, 5, 409, 0, 487, 14, 15, 31], [2, 23, 2, 33, 249, 62, 584, 15, 10, 20], [0, 23, 1, 2, 155, 1, 771, 15, 2, 30], [4, 38, 2, 9, 382, 12, 318, 135, 7, 93], [27, 236, 1, 12, 139, 7, 117, 6, 280, 175], [3, 273, 0, 4, 80, 3, 168, 32, 47, 390]]"
1,1,10,0.25844,0.2716,0.2716,"[[59, 53, 38, 75, 551, 15, 121, 31, 56, 1], [1, 443, 8, 134, 140, 18, 219, 18, 19, 0], [2, 16, 65, 173, 360, 92, 263, 26, 3, 0], [0, 27, 9, 374, 96, 129, 352, 13, 0, 0], [1, 23, 6, 118, 475, 23, 330, 24, 0, 0], [0, 17, 13, 382, 107, 265, 193, 23, 0, 0], [0, 13, 3, 121, 164, 12, 682, 5, 0, 0], [0, 46, 9, 213, 206, 153, 147, 224, 2, 0], [9, 132, 8, 59, 455, 15, 192, 4, 125, 1], [2, 298, 8, 197, 170, 20, 239, 34, 28, 4]]"
2,2,10,0.21182,0.2294,0.2294,"[[90, 9, 69, 0, 578, 0, 144, 6, 104, 0], [13, 270, 20, 5, 337, 0, 267, 5, 83, 0], [3, 2, 89, 13, 615, 3, 264, 7, 4, 0], [0, 7, 5, 18, 410, 4, 546, 6, 4, 0], [1, 5, 6, 0, 778, 1, 206, 0, 3, 0], [0, 2, 21, 24, 407, 18, 513, 13, 2, 0], [0, 5, 3, 0, 410, 0, 578, 2, 1, 1], [2, 1, 12, 4, 654, 6, 180, 135, 6, 0], [15, 31, 14, 3, 376, 0, 243, 1, 317, 0], [9, 138, 30, 5, 379, 0, 362, 10, 66, 1]]"
3,3,10,0.2526,0.276,0.276,"[[84, 23, 139, 12, 450, 5, 198, 27, 60, 2], [8, 290, 71, 16, 231, 3, 334, 8, 34, 5], [2, 4, 223, 23, 391, 18, 310, 24, 5, 0], [0, 9, 53, 107, 216, 45, 532, 32, 4, 2], [0, 5, 31, 8, 652, 5, 248, 44, 7, 0], [0, 4, 81, 107, 232, 82, 439, 51, 3, 1], [0, 4, 22, 8, 244, 2, 714, 4, 2, 0], [1, 3, 24, 26, 355, 36, 211, 339, 1, 4], [15, 54, 30, 23, 334, 5, 300, 1, 236, 2], [5, 211, 60, 31, 233, 11, 370, 30, 16, 33]]"
4,4,10,0.2289,0.2408,0.2408,"[[57, 27, 100, 9, 465, 3, 281, 3, 54, 1], [11, 274, 31, 14, 164, 0, 480, 5, 21, 0], [3, 6, 217, 17, 300, 12, 429, 11, 5, 0], [0, 12, 38, 88, 138, 23, 686, 9, 6, 0], [0, 6, 47, 7, 543, 4, 374, 15, 4, 0], [0, 4, 69, 110, 139, 54, 605, 18, 1, 0], [0, 4, 23, 6, 148, 1, 815, 2, 1, 0], [1, 7, 24, 28, 362, 15, 356, 203, 3, 1], [9, 52, 22, 12, 375, 1, 377, 1, 151, 0], [3, 229, 31, 25, 193, 1, 486, 5, 21, 6]]"
5,5,10,0.4594,0.4828,0.4828,"[[472, 44, 112, 34, 74, 8, 84, 14, 140, 18], [23, 663, 28, 25, 31, 7, 72, 6, 102, 43], [33, 10, 414, 66, 134, 37, 271, 17, 14, 4], [8, 15, 98, 324, 52, 120, 344, 20, 12, 7], [19, 10, 98, 58, 428, 22, 289, 57, 18, 1], [2, 8, 120, 247, 44, 318, 215, 35, 8, 3], [0, 7, 38, 42, 59, 8, 838, 4, 3, 1], [9, 5, 60, 99, 112, 103, 118, 473, 7, 14], [95, 72, 36, 37, 66, 15, 50, 1, 615, 13], [29, 307, 37, 76, 32, 14, 105, 20, 97, 283]]"
6,6,10,0.49456,0.5287,0.5287,"[[469, 39, 58, 23, 109, 5, 62, 28, 150, 57], [26, 668, 15, 17, 30, 6, 42, 6, 74, 116], [34, 13, 360, 62, 216, 45, 189, 44, 24, 13], [6, 18, 63, 313, 90, 135, 283, 53, 17, 22], [15, 9, 45, 41, 542, 25, 177, 111, 28, 7], [3, 9, 84, 172, 84, 363, 182, 73, 13, 17], [0, 8, 36, 36, 108, 24, 761, 12, 10, 5], [4, 6, 23, 61, 106, 59, 77, 622, 13, 29], [69, 62, 13, 26, 56, 12, 30, 6, 682, 44], [22, 227, 9, 41, 21, 9, 51, 30, 83, 507]]"
7,7,10,0.30808,0.3308,0.3308,"[[196, 30, 318, 5, 246, 3, 147, 5, 50, 0], [36, 363, 56, 10, 154, 1, 329, 7, 41, 3], [6, 5, 476, 12, 219, 12, 264, 2, 3, 1], [3, 15, 149, 104, 178, 38, 489, 22, 2, 0], [3, 2, 137, 6, 595, 3, 231, 22, 1, 0], [0, 6, 177, 76, 217, 100, 392, 32, 0, 0], [0, 3, 72, 4, 135, 2, 780, 3, 1, 0], [1, 0, 68, 21, 349, 19, 197, 343, 2, 0], [53, 33, 121, 13, 223, 3, 227, 0, 326, 1], [17, 231, 92, 22, 181, 4, 380, 13, 35, 25]]"
8,8,10,0.46832,0.4949,0.4949,"[[489, 33, 108, 27, 94, 5, 74, 10, 149, 11], [37, 639, 18, 23, 36, 5, 87, 6, 123, 26], [30, 10, 418, 54, 164, 29, 256, 19, 15, 5], [9, 15, 81, 275, 87, 116, 384, 22, 8, 3], [17, 4, 84, 31, 520, 21, 249, 57, 17, 0], [3, 6, 102, 178, 89, 305, 271, 32, 10, 4], [1, 6, 31, 22, 65, 7, 858, 7, 1, 2], [9, 2, 44, 57, 183, 54, 121, 519, 9, 2], [75, 35, 33, 32, 55, 13, 55, 2, 690, 10], [37, 279, 31, 63, 55, 16, 129, 20, 134, 236]]"
9,9,10,0.54562,0.5603,0.5603,"[[533, 64, 76, 15, 38, 5, 31, 11, 168, 59], [28, 744, 10, 9, 5, 2, 18, 3, 60, 121], [48, 23, 454, 56, 131, 44, 164, 22, 37, 21], [17, 24, 89, 334, 68, 141, 229, 27, 30, 41], [29, 14, 100, 42, 494, 27, 169, 85, 30, 10], [12, 16, 106, 201, 61, 364, 152, 44, 24, 20], [1, 14, 48, 41, 69, 13, 779, 9, 14, 12], [24, 12, 40, 67, 96, 62, 48, 606, 12, 33], [66, 71, 18, 15, 19, 10, 13, 1, 729, 58], [22, 249, 15, 22, 8, 4, 33, 12, 69, 566]]"
10,10,10,0.544,0.5626,0.5626,"[[552, 49, 59, 21, 62, 6, 44, 13, 149, 45], [28, 729, 16, 8, 7, 5, 30, 4, 77, 96], [44, 18, 369, 73, 197, 44, 179, 36, 25, 15], [13, 20, 51, 353, 101, 150, 235, 35, 22, 20], [27, 9, 58, 31, 561, 30, 164, 91, 22, 7], [8, 9, 65, 212, 95, 390, 134, 57, 15, 15], [3, 10, 27, 39, 101, 15, 788, 9, 4, 4], [17, 9, 24, 66, 115, 62, 44, 632, 9, 22], [71, 55, 20, 23, 30, 9, 22, 1, 730, 39], [27, 234, 15, 37, 17, 8, 48, 16, 76, 522]]"
11,11,10,0.52194,0.5445,0.5445,"[[570, 80, 68, 18, 38, 4, 53, 6, 136, 27], [28, 795, 18, 7, 5, 2, 31, 5, 56, 53], [45, 29, 475, 51, 115, 28, 199, 20, 29, 9], [17, 30, 93, 312, 74, 127, 284, 24, 26, 13], [26, 11, 111, 37, 480, 17, 223, 65, 24, 6], [10, 24, 132, 196, 66, 320, 178, 38, 22, 14], [3, 19, 43, 28, 52, 15, 834, 3, 2, 1], [18, 20, 50, 60, 118, 50, 75, 581, 8, 20], [84, 84, 26, 18, 28, 5, 25, 2, 698, 30], [35, 365, 17, 26, 18, 6, 60, 10, 83, 380]]"
12,12,10,0.43872,0.4614,0.4614,"[[578, 24, 143, 9, 54, 2, 61, 4, 120, 5], [71, 540, 46, 11, 69, 2, 85, 3, 161, 12], [45, 4, 584, 19, 134, 7, 185, 6, 15, 1], [11, 6, 207, 175, 123, 42, 402, 12, 22, 0], [24, 2, 201, 7, 551, 7, 183, 13, 12, 0], [3, 1, 276, 147, 150, 149, 242, 19, 13, 0], [2, 0, 81, 4, 91, 0, 822, 0, 0, 0], [19, 3, 107, 29, 309, 23, 103, 401, 6, 0], [113, 32, 60, 8, 57, 1, 56, 0, 673, 0], [62, 218, 92, 28, 114, 9, 159, 16, 161, 141]]"
13,13,10,0.54992,0.5661,0.5661,"[[567, 44, 101, 24, 45, 4, 45, 15, 125, 30], [42, 750, 12, 13, 14, 2, 32, 7, 74, 54], [45, 14, 490, 58, 135, 34, 174, 23, 22, 5], [9, 26, 79, 377, 85, 117, 248, 29, 23, 7], [24, 8, 110, 33, 547, 26, 165, 63, 21, 3], [6, 9, 93, 214, 85, 370, 155, 45, 14, 9], [2, 11, 39, 33, 74, 7, 822, 5, 6, 1], [11, 7, 36, 68, 148, 54, 53, 601, 12, 10], [81, 47, 25, 27, 28, 10, 24, 0, 736, 22], [41, 309, 24, 41, 22, 12, 48, 21, 81, 401]]"
14,14,10,0.57186,0.5963,0.5963,"[[571, 37, 108, 25, 28, 6, 43, 12, 134, 36], [33, 735, 17, 16, 8, 6, 29, 6, 68, 82], [44, 10, 520, 77, 102, 49, 140, 28, 22, 8], [12, 17, 66, 399, 67, 194, 185, 28, 21, 11], [19, 5, 119, 45, 514, 45, 146, 87, 17, 3], [6, 11, 87, 176, 66, 488, 107, 39, 9, 11], [4, 8, 54, 42, 58, 14, 808, 6, 4, 2], [15, 4, 30, 64, 100, 81, 37, 649, 8, 12], [62, 47, 28, 23, 26, 14, 18, 1, 751, 30], [36, 210, 21, 36, 19, 16, 41, 20, 73, 528]]"
