,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1804,0.1893,"[[699, 0, 0, 138, 0, 0, 0, 25, 111, 27], [436, 0, 0, 246, 0, 0, 0, 84, 163, 71], [369, 3, 0, 462, 0, 0, 0, 116, 24, 26], [250, 1, 0, 584, 0, 0, 0, 115, 14, 36], [199, 2, 0, 581, 0, 0, 0, 170, 17, 31], [300, 1, 0, 545, 0, 0, 0, 114, 11, 29], [157, 1, 0, 649, 0, 0, 0, 166, 3, 24], [277, 0, 0, 405, 0, 0, 0, 145, 51, 122], [512, 0, 0, 160, 0, 0, 0, 17, 271, 40], [364, 0, 0, 131, 0, 0, 0, 104, 207, 194]]"
1,1,0.23346,0.2405,"[[175, 17, 0, 0, 2, 80, 72, 21, 356, 277], [19, 73, 1, 1, 1, 135, 184, 23, 257, 306], [45, 23, 0, 0, 4, 161, 515, 29, 105, 118], [14, 12, 1, 1, 6, 255, 499, 51, 40, 121], [21, 8, 0, 1, 2, 118, 685, 26, 37, 102], [7, 18, 0, 1, 0, 304, 495, 27, 57, 91], [6, 6, 0, 0, 2, 79, 813, 38, 4, 52], [10, 24, 0, 0, 2, 147, 425, 97, 29, 266], [38, 11, 0, 0, 0, 99, 46, 14, 371, 421], [12, 16, 0, 0, 0, 53, 153, 41, 156, 569]]"
2,2,0.10338,0.1024,"[[0, 3, 0, 33, 65, 0, 888, 11, 0, 0], [0, 12, 0, 13, 18, 0, 956, 1, 0, 0], [0, 0, 0, 15, 15, 0, 968, 2, 0, 0], [0, 1, 0, 4, 6, 0, 986, 3, 0, 0], [0, 0, 0, 1, 15, 0, 982, 2, 0, 0], [0, 0, 0, 2, 6, 0, 992, 0, 0, 0], [0, 2, 0, 2, 4, 0, 992, 0, 0, 0], [0, 1, 0, 3, 28, 0, 967, 1, 0, 0], [0, 1, 0, 13, 43, 0, 935, 8, 0, 0], [0, 8, 0, 12, 22, 0, 955, 3, 0, 0]]"
3,3,0.29502,0.3199,"[[541, 85, 1, 0, 73, 26, 17, 61, 168, 28], [93, 410, 1, 0, 80, 60, 54, 76, 139, 87], [158, 49, 5, 4, 438, 149, 54, 110, 20, 13], [76, 32, 3, 2, 322, 290, 56, 180, 14, 25], [89, 15, 0, 0, 637, 70, 72, 88, 20, 9], [44, 33, 1, 0, 322, 375, 48, 151, 21, 5], [22, 9, 0, 0, 569, 89, 176, 125, 2, 8], [69, 54, 1, 0, 272, 112, 26, 405, 17, 44], [260, 109, 1, 0, 47, 52, 11, 45, 431, 44], [135, 164, 0, 0, 44, 44, 63, 177, 156, 217]]"
4,4,0.2189,0.2302,"[[13, 56, 232, 121, 0, 6, 0, 7, 273, 292], [0, 297, 11, 125, 1, 29, 0, 15, 39, 483], [1, 149, 126, 512, 2, 11, 11, 17, 16, 155], [0, 114, 35, 591, 0, 31, 1, 9, 14, 205], [0, 251, 60, 392, 5, 10, 15, 18, 30, 219], [0, 89, 22, 621, 0, 78, 0, 17, 16, 157], [0, 355, 12, 356, 0, 1, 9, 9, 5, 253], [0, 103, 16, 336, 0, 12, 3, 91, 10, 429], [1, 48, 65, 116, 0, 19, 2, 0, 358, 391], [0, 77, 12, 115, 0, 10, 0, 11, 41, 734]]"
5,5,0.1907,0.2001,"[[660, 0, 0, 0, 267, 0, 7, 46, 20, 0], [563, 47, 0, 0, 294, 0, 15, 43, 38, 0], [146, 4, 1, 0, 776, 4, 13, 54, 2, 0], [62, 2, 1, 0, 821, 0, 18, 95, 1, 0], [81, 1, 0, 0, 879, 0, 5, 32, 2, 0], [52, 1, 0, 0, 853, 0, 20, 72, 2, 0], [17, 0, 0, 0, 931, 0, 15, 37, 0, 0], [114, 1, 0, 0, 594, 2, 7, 279, 3, 0], [653, 1, 0, 0, 206, 0, 5, 15, 120, 0], [472, 15, 0, 0, 314, 0, 15, 121, 63, 0]]"
6,6,0.16454,0.1725,"[[0, 5, 79, 795, 0, 0, 17, 0, 0, 104], [0, 28, 57, 625, 1, 0, 31, 3, 0, 255], [0, 5, 147, 608, 0, 0, 185, 0, 0, 55], [0, 2, 52, 719, 0, 0, 164, 0, 0, 63], [0, 18, 106, 441, 0, 0, 342, 1, 0, 92], [0, 9, 44, 783, 0, 0, 106, 0, 0, 58], [0, 25, 58, 366, 0, 0, 467, 0, 0, 84], [0, 6, 92, 595, 0, 0, 79, 2, 0, 226], [0, 3, 51, 751, 0, 0, 14, 0, 0, 181], [0, 8, 29, 576, 0, 0, 25, 0, 0, 362]]"
7,7,0.19928,0.2168,"[[415, 23, 0, 0, 138, 17, 0, 407, 0, 0], [84, 227, 0, 0, 176, 18, 0, 495, 0, 0], [83, 15, 0, 0, 595, 54, 0, 253, 0, 0], [18, 6, 0, 0, 565, 101, 0, 310, 0, 0], [40, 3, 0, 0, 790, 15, 0, 152, 0, 0], [16, 6, 0, 0, 525, 138, 0, 315, 0, 0], [5, 0, 0, 0, 861, 15, 0, 119, 0, 0], [24, 3, 0, 0, 354, 23, 0, 596, 0, 0], [372, 55, 0, 0, 122, 38, 0, 411, 2, 0], [96, 89, 0, 0, 167, 19, 0, 628, 1, 0]]"
8,8,0.17374,0.1765,"[[0, 0, 568, 104, 10, 0, 58, 0, 6, 254], [0, 5, 291, 156, 0, 0, 59, 0, 0, 489], [0, 0, 273, 462, 2, 0, 183, 0, 0, 80], [0, 0, 132, 555, 0, 0, 180, 0, 0, 133], [0, 0, 156, 478, 2, 0, 268, 0, 0, 96], [0, 0, 173, 662, 0, 0, 95, 0, 0, 70], [0, 0, 68, 587, 0, 0, 248, 0, 0, 97], [0, 0, 129, 450, 2, 0, 77, 0, 0, 342], [0, 0, 468, 78, 19, 0, 53, 0, 2, 380], [0, 1, 134, 138, 4, 0, 43, 0, 0, 680]]"
9,9,0.22552,0.2404,"[[913, 26, 0, 0, 22, 0, 5, 28, 6, 0], [691, 254, 0, 0, 19, 0, 10, 14, 12, 0], [468, 39, 3, 0, 288, 39, 22, 129, 12, 0], [409, 52, 5, 0, 173, 116, 51, 165, 29, 0], [368, 20, 5, 0, 430, 10, 38, 124, 5, 0], [345, 50, 5, 0, 154, 161, 55, 194, 36, 0], [231, 33, 3, 0, 450, 16, 173, 77, 17, 0], [355, 33, 1, 0, 119, 25, 18, 439, 10, 0], [912, 31, 0, 0, 4, 2, 2, 18, 31, 0], [752, 118, 0, 0, 19, 2, 36, 52, 21, 0]]"
