,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.20494,0.2075,"[[55, 18, 1, 71, 1, 49, 9, 1, 682, 113], [3, 66, 4, 75, 2, 147, 49, 3, 473, 178], [14, 47, 2, 228, 9, 239, 69, 6, 251, 135], [12, 19, 4, 342, 11, 235, 47, 1, 133, 196], [3, 30, 4, 302, 13, 247, 127, 4, 127, 143], [4, 26, 4, 299, 11, 262, 52, 4, 207, 131], [2, 31, 2, 210, 5, 361, 179, 6, 58, 146], [6, 33, 2, 252, 2, 139, 41, 16, 157, 352], [5, 13, 1, 78, 0, 59, 0, 0, 702, 142], [2, 22, 2, 62, 1, 44, 26, 4, 399, 438]]"
1,1,0.28118,0.3009,"[[464, 35, 0, 7, 7, 39, 34, 35, 281, 98], [78, 213, 1, 5, 5, 87, 103, 40, 307, 161], [184, 53, 4, 34, 104, 170, 273, 64, 47, 67], [87, 30, 2, 72, 75, 284, 211, 95, 60, 84], [78, 11, 1, 38, 178, 125, 400, 65, 45, 59], [87, 33, 4, 56, 80, 331, 203, 75, 80, 51], [36, 16, 0, 26, 74, 129, 580, 85, 9, 45], [65, 53, 1, 54, 118, 120, 138, 196, 60, 195], [158, 36, 0, 3, 3, 70, 9, 23, 558, 140], [61, 50, 1, 14, 11, 39, 71, 49, 291, 413]]"
2,2,0.34194,0.3691,"[[485, 54, 14, 15, 21, 16, 29, 50, 219, 97], [60, 416, 4, 12, 11, 38, 62, 27, 152, 218], [138, 53, 52, 81, 200, 121, 191, 87, 29, 48], [55, 35, 30, 125, 83, 261, 187, 107, 26, 91], [66, 20, 16, 47, 313, 89, 284, 89, 40, 36], [42, 41, 28, 88, 82, 375, 173, 94, 34, 43], [16, 20, 9, 36, 134, 82, 557, 84, 11, 51], [39, 64, 19, 56, 123, 103, 95, 328, 27, 146], [170, 73, 2, 7, 9, 47, 13, 24, 518, 137], [41, 121, 5, 24, 7, 20, 49, 43, 168, 522]]"
3,3,0.3865,0.4196,"[[469, 80, 32, 22, 22, 10, 27, 48, 208, 82], [27, 569, 3, 14, 6, 19, 34, 27, 105, 196], [87, 55, 108, 102, 157, 103, 197, 122, 35, 34], [31, 55, 36, 179, 30, 244, 189, 113, 32, 91], [53, 40, 38, 54, 288, 61, 273, 126, 41, 26], [19, 41, 38, 122, 40, 395, 149, 116, 34, 46], [5, 28, 17, 57, 105, 56, 613, 54, 13, 52], [20, 65, 26, 65, 66, 91, 62, 474, 19, 112], [129, 103, 7, 16, 10, 30, 13, 19, 567, 106], [23, 184, 3, 33, 2, 14, 36, 54, 117, 534]]"
4,4,0.41188,0.4523,"[[461, 88, 36, 15, 31, 8, 26, 34, 242, 59], [17, 660, 3, 14, 6, 13, 26, 28, 94, 139], [78, 42, 175, 84, 196, 75, 161, 119, 41, 29], [27, 55, 47, 196, 47, 208, 208, 88, 39, 85], [53, 41, 60, 47, 378, 27, 203, 124, 44, 23], [17, 45, 51, 145, 47, 363, 139, 118, 36, 39], [4, 21, 24, 53, 146, 33, 626, 41, 18, 34], [28, 61, 33, 55, 66, 72, 45, 539, 20, 81], [88, 120, 12, 12, 12, 24, 12, 15, 633, 72], [25, 237, 4, 33, 5, 8, 35, 44, 117, 492]]"
5,5,0.43332,0.4759,"[[483, 78, 53, 18, 29, 12, 25, 42, 191, 69], [18, 656, 5, 15, 6, 14, 23, 29, 87, 147], [64, 27, 257, 77, 169, 83, 151, 110, 37, 25], [21, 38, 59, 200, 41, 237, 206, 92, 33, 73], [43, 36, 89, 47, 374, 37, 182, 132, 37, 23], [11, 30, 64, 129, 39, 404, 138, 125, 28, 32], [3, 13, 38, 52, 121, 39, 650, 38, 16, 30], [19, 44, 33, 47, 61, 81, 40, 591, 17, 67], [99, 103, 15, 15, 14, 26, 13, 18, 627, 70], [24, 230, 4, 23, 7, 12, 32, 50, 101, 517]]"
6,6,0.44884,0.4939,"[[487, 95, 53, 18, 28, 11, 27, 34, 181, 66], [14, 707, 6, 15, 6, 12, 17, 27, 76, 120], [62, 34, 298, 68, 152, 90, 157, 80, 35, 24], [25, 40, 55, 220, 38, 245, 214, 70, 26, 67], [42, 38, 94, 43, 383, 40, 180, 119, 38, 23], [11, 33, 69, 123, 38, 427, 136, 106, 27, 30], [2, 14, 43, 46, 116, 34, 679, 24, 14, 28], [22, 43, 31, 42, 62, 98, 37, 585, 16, 64], [77, 121, 19, 13, 17, 20, 14, 16, 640, 63], [20, 259, 5, 16, 8, 12, 40, 39, 88, 513]]"
7,7,0.45658,0.495,"[[492, 114, 48, 23, 23, 9, 26, 29, 155, 81], [7, 756, 7, 11, 6, 12, 11, 13, 54, 123], [67, 44, 278, 82, 166, 86, 142, 70, 31, 34], [23, 45, 52, 251, 40, 225, 183, 81, 25, 75], [44, 45, 69, 60, 405, 39, 153, 120, 35, 30], [12, 35, 58, 145, 46, 419, 112, 107, 22, 44], [2, 26, 36, 65, 117, 36, 637, 31, 14, 36], [21, 58, 28, 40, 55, 88, 28, 589, 11, 82], [83, 135, 17, 12, 19, 17, 11, 7, 615, 84], [16, 306, 3, 16, 6, 13, 31, 30, 71, 508]]"
8,8,0.46686,0.511,"[[535, 78, 61, 18, 25, 7, 33, 25, 153, 65], [24, 701, 7, 12, 8, 13, 18, 19, 68, 130], [59, 32, 360, 51, 143, 59, 175, 59, 33, 29], [26, 33, 79, 240, 55, 182, 236, 71, 25, 53], [35, 32, 97, 40, 426, 24, 195, 104, 33, 14], [11, 24, 92, 137, 49, 356, 163, 115, 25, 28], [1, 15, 52, 43, 99, 16, 719, 21, 11, 23], [18, 33, 44, 34, 63, 62, 50, 626, 14, 56], [98, 99, 19, 12, 24, 14, 18, 14, 640, 62], [25, 268, 10, 11, 9, 12, 41, 41, 76, 507]]"
9,9,0.47908,0.5155,"[[552, 88, 54, 19, 22, 8, 33, 23, 137, 64], [20, 742, 7, 11, 6, 15, 17, 14, 61, 107], [72, 35, 363, 72, 131, 74, 147, 48, 31, 27], [26, 33, 71, 284, 47, 200, 205, 57, 28, 49], [38, 36, 111, 55, 410, 29, 167, 108, 32, 14], [11, 26, 86, 165, 38, 396, 130, 96, 25, 27], [1, 20, 60, 57, 100, 27, 684, 17, 13, 21], [22, 38, 42, 45, 50, 86, 44, 601, 13, 59], [106, 113, 17, 15, 16, 15, 17, 10, 636, 55], [25, 298, 8, 15, 7, 17, 36, 30, 77, 487]]"
10,10,0.48916,0.5207,"[[549, 69, 38, 19, 25, 8, 31, 30, 151, 80], [20, 708, 5, 8, 10, 11, 17, 15, 60, 146], [73, 34, 307, 78, 176, 66, 144, 62, 35, 25], [28, 30, 51, 291, 57, 185, 205, 70, 30, 53], [38, 30, 64, 65, 447, 24, 166, 117, 32, 17], [15, 21, 63, 169, 44, 382, 129, 117, 28, 32], [2, 18, 44, 56, 114, 21, 687, 23, 15, 20], [18, 26, 29, 50, 48, 72, 41, 635, 12, 69], [99, 96, 14, 14, 17, 13, 15, 13, 653, 66], [24, 251, 5, 18, 10, 10, 29, 31, 74, 548]]"
