,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
1,1,10,0.14304,0.1517,0.1517,"[[0, 0, 4, 81, 10, 0, 776, 5, 124, 0], [0, 0, 1, 182, 2, 0, 722, 11, 82, 0], [0, 0, 21, 311, 30, 0, 631, 4, 3, 0], [0, 0, 3, 332, 4, 0, 660, 0, 1, 0], [0, 0, 4, 104, 35, 0, 853, 2, 2, 0], [0, 0, 6, 431, 8, 0, 554, 0, 1, 0], [0, 0, 3, 117, 1, 0, 879, 0, 0, 0], [0, 0, 6, 263, 52, 0, 655, 19, 5, 0], [0, 0, 0, 67, 4, 0, 694, 4, 231, 0], [0, 0, 0, 173, 1, 0, 753, 1, 72, 0]]"
2,2,10,0.24906,0.2674,0.2674,"[[66, 0, 293, 139, 24, 0, 16, 5, 454, 3], [2, 32, 51, 417, 15, 2, 17, 9, 413, 42], [12, 0, 385, 246, 231, 10, 65, 16, 35, 0], [2, 2, 233, 558, 71, 10, 99, 4, 20, 1], [6, 0, 224, 185, 404, 1, 114, 24, 42, 0], [0, 1, 257, 534, 104, 28, 58, 7, 11, 0], [1, 0, 94, 324, 234, 0, 328, 8, 11, 0], [4, 0, 214, 409, 157, 2, 29, 156, 27, 2], [33, 5, 130, 116, 12, 0, 14, 0, 687, 3], [19, 9, 123, 401, 17, 1, 15, 10, 375, 30]]"
3,3,10,0.29702,0.3163,0.3163,"[[234, 10, 163, 131, 17, 2, 22, 1, 412, 8], [10, 255, 11, 270, 9, 0, 41, 2, 368, 34], [32, 4, 277, 325, 195, 44, 73, 8, 40, 2], [8, 10, 125, 644, 40, 40, 109, 2, 21, 1], [28, 6, 121, 322, 324, 9, 137, 18, 35, 0], [7, 3, 112, 640, 54, 112, 55, 6, 10, 1], [2, 10, 57, 303, 163, 5, 433, 7, 18, 2], [8, 5, 91, 537, 131, 13, 37, 140, 27, 11], [106, 23, 57, 102, 4, 1, 21, 0, 684, 2], [38, 102, 47, 354, 12, 2, 39, 9, 337, 60]]"
4,4,10,0.3438,0.3768,0.3768,"[[328, 16, 108, 112, 41, 4, 24, 10, 338, 19], [13, 329, 9, 222, 17, 7, 54, 9, 264, 76], [34, 6, 287, 295, 204, 42, 80, 17, 31, 4], [10, 6, 92, 648, 53, 57, 99, 13, 18, 4], [30, 5, 76, 297, 408, 10, 96, 41, 36, 1], [14, 2, 74, 592, 57, 182, 56, 15, 7, 1], [5, 10, 49, 294, 181, 8, 435, 9, 9, 0], [10, 6, 42, 423, 142, 27, 37, 293, 13, 7], [107, 26, 35, 88, 30, 3, 25, 3, 673, 10], [30, 119, 33, 305, 37, 6, 44, 35, 206, 185]]"
5,5,10,0.36478,0.3902,0.3902,"[[311, 19, 102, 81, 75, 2, 30, 17, 346, 17], [15, 355, 10, 179, 41, 2, 58, 13, 244, 83], [38, 5, 328, 290, 161, 10, 112, 19, 34, 3], [7, 5, 78, 645, 75, 9, 140, 17, 17, 7], [23, 3, 75, 250, 442, 1, 125, 50, 29, 2], [11, 4, 75, 702, 69, 30, 70, 28, 8, 3], [5, 6, 50, 239, 160, 2, 516, 11, 11, 0], [7, 7, 35, 365, 145, 16, 48, 364, 6, 7], [93, 31, 32, 74, 37, 0, 25, 5, 692, 11], [26, 149, 29, 236, 57, 3, 52, 45, 184, 219]]"
6,6,10,0.41688,0.4575,0.4575,"[[420, 52, 82, 73, 55, 4, 25, 25, 238, 26], [18, 583, 13, 92, 30, 6, 45, 18, 135, 60], [43, 9, 360, 202, 148, 48, 133, 29, 22, 6], [9, 19, 74, 542, 86, 45, 168, 30, 16, 11], [31, 11, 61, 181, 467, 20, 136, 72, 20, 1], [13, 10, 73, 473, 79, 209, 88, 43, 8, 4], [6, 22, 46, 164, 140, 15, 584, 15, 7, 1], [5, 12, 32, 220, 121, 42, 63, 492, 3, 10], [130, 66, 27, 59, 33, 2, 23, 7, 637, 16], [28, 261, 22, 121, 55, 6, 51, 62, 113, 281]]"
7,7,10,0.42114,0.4569,0.4569,"[[292, 35, 96, 71, 57, 2, 21, 29, 380, 17], [15, 547, 11, 87, 28, 4, 37, 25, 195, 51], [31, 10, 416, 221, 108, 25, 103, 41, 40, 5], [4, 15, 84, 585, 73, 36, 121, 42, 32, 8], [23, 10, 85, 182, 432, 14, 112, 108, 32, 2], [5, 7, 80, 538, 61, 159, 72, 55, 18, 5], [6, 16, 66, 192, 122, 12, 552, 19, 11, 4], [6, 13, 41, 215, 105, 36, 41, 527, 10, 6], [36, 43, 23, 55, 27, 3, 14, 4, 783, 12], [22, 218, 25, 123, 43, 10, 46, 75, 162, 276]]"
8,8,10,0.4515,0.4931,0.4931,"[[423, 59, 89, 46, 56, 6, 20, 25, 266, 10], [25, 675, 10, 46, 25, 16, 36, 13, 125, 29], [46, 14, 444, 110, 122, 83, 124, 24, 29, 4], [14, 27, 92, 420, 73, 145, 165, 31, 27, 6], [26, 17, 86, 99, 481, 55, 134, 78, 22, 2], [12, 13, 81, 300, 75, 352, 102, 48, 12, 5], [4, 25, 61, 77, 135, 39, 642, 8, 8, 1], [7, 26, 50, 119, 127, 99, 50, 508, 7, 7], [81, 63, 27, 40, 23, 6, 15, 5, 733, 7], [30, 308, 29, 74, 47, 16, 54, 46, 143, 253]]"
9,9,10,0.46606,0.5081,0.5081,"[[418, 68, 79, 37, 66, 1, 26, 18, 273, 14], [25, 714, 5, 35, 24, 5, 29, 6, 111, 46], [43, 18, 424, 125, 147, 55, 129, 24, 31, 4], [8, 28, 101, 441, 96, 89, 165, 28, 29, 15], [24, 16, 73, 85, 534, 31, 132, 70, 30, 5], [7, 18, 89, 334, 93, 275, 107, 51, 18, 8], [1, 25, 52, 78, 141, 20, 664, 6, 9, 4], [8, 37, 51, 136, 137, 56, 48, 502, 10, 15], [64, 68, 17, 30, 27, 3, 16, 6, 753, 16], [20, 276, 25, 49, 50, 9, 42, 35, 138, 356]]"
10,10,10,0.48106,0.5225,0.5225,"[[447, 62, 85, 52, 53, 1, 23, 31, 228, 18], [21, 729, 7, 42, 22, 2, 26, 16, 80, 55], [44, 16, 443, 146, 133, 35, 115, 34, 28, 6], [12, 19, 93, 492, 101, 49, 141, 54, 21, 18], [26, 15, 73, 95, 544, 16, 112, 98, 16, 5], [6, 17, 83, 405, 94, 209, 104, 66, 9, 7], [1, 19, 55, 87, 150, 10, 656, 8, 7, 7], [5, 24, 44, 132, 131, 45, 35, 566, 4, 14], [64, 64, 21, 36, 25, 3, 15, 13, 735, 24], [25, 253, 21, 61, 43, 8, 37, 63, 85, 404]]"
11,11,10,0.48676,0.5304,0.5304,"[[493, 43, 84, 55, 41, 1, 21, 23, 222, 17], [22, 697, 7, 58, 22, 3, 27, 13, 103, 48], [46, 17, 463, 128, 109, 51, 119, 34, 28, 5], [11, 15, 99, 510, 81, 80, 128, 36, 26, 14], [26, 9, 89, 103, 510, 29, 120, 87, 23, 4], [7, 12, 90, 353, 68, 295, 90, 66, 13, 6], [1, 15, 62, 97, 125, 22, 655, 9, 10, 4], [9, 21, 54, 142, 104, 58, 38, 555, 6, 13], [82, 51, 20, 38, 23, 3, 15, 10, 741, 17], [26, 250, 32, 79, 32, 12, 33, 49, 102, 385]]"
12,12,10,0.49336,0.538,0.538,"[[516, 51, 81, 46, 59, 3, 21, 27, 177, 19], [29, 669, 8, 54, 30, 5, 20, 16, 88, 81], [52, 14, 488, 107, 137, 55, 89, 35, 17, 6], [12, 15, 111, 462, 94, 92, 126, 53, 19, 16], [24, 8, 73, 88, 585, 34, 78, 90, 15, 5], [6, 14, 93, 303, 91, 325, 83, 67, 10, 8], [2, 14, 62, 77, 162, 29, 632, 9, 6, 7], [8, 19, 47, 105, 131, 69, 29, 574, 5, 13], [102, 48, 23, 35, 28, 2, 10, 13, 711, 28], [35, 207, 35, 65, 45, 11, 29, 64, 91, 418]]"
13,13,10,0.50232,0.5469,0.5469,"[[471, 57, 77, 46, 29, 2, 27, 31, 239, 21], [14, 733, 7, 48, 12, 2, 22, 13, 83, 66], [42, 18, 498, 113, 81, 45, 131, 39, 27, 6], [10, 25, 111, 478, 60, 77, 146, 50, 25, 18], [26, 12, 91, 94, 475, 25, 146, 103, 24, 4], [4, 17, 91, 322, 59, 302, 106, 76, 15, 8], [0, 17, 58, 79, 90, 13, 720, 9, 7, 7], [8, 26, 45, 124, 82, 56, 42, 594, 6, 17], [51, 62, 22, 36, 16, 1, 13, 11, 764, 24], [26, 242, 30, 57, 22, 7, 39, 57, 86, 434]]"
14,14,10,0.5029,0.5463,0.5463,"[[527, 56, 82, 36, 37, 2, 29, 27, 184, 20], [24, 739, 11, 42, 23, 8, 20, 12, 80, 41], [44, 14, 515, 96, 113, 54, 101, 33, 24, 6], [11, 25, 133, 435, 87, 100, 125, 42, 25, 17], [25, 10, 90, 81, 551, 26, 101, 91, 21, 4], [4, 15, 98, 283, 84, 333, 92, 64, 20, 7], [3, 16, 69, 66, 133, 22, 669, 8, 7, 7], [9, 22, 52, 102, 125, 59, 35, 578, 8, 10], [83, 74, 24, 33, 20, 2, 11, 10, 720, 23], [38, 269, 30, 62, 29, 8, 34, 54, 80, 396]]"
15,15,10,0.51464,0.5567,0.5567,"[[520, 63, 67, 35, 30, 3, 23, 24, 210, 25], [19, 746, 9, 41, 8, 4, 16, 11, 72, 74], [50, 21, 473, 145, 88, 44, 111, 35, 27, 6], [13, 25, 83, 529, 60, 72, 118, 46, 29, 25], [27, 14, 68, 122, 506, 19, 111, 103, 22, 8], [10, 19, 77, 361, 56, 294, 88, 68, 18, 9], [2, 18, 48, 99, 100, 16, 689, 8, 10, 10], [6, 27, 39, 138, 77, 60, 35, 593, 6, 19], [59, 72, 23, 39, 15, 1, 8, 8, 742, 33], [22, 230, 27, 63, 21, 5, 29, 49, 79, 475]]"
16,16,10,0.5236,0.563,0.563,"[[552, 66, 64, 30, 26, 3, 19, 25, 195, 20], [22, 769, 6, 28, 10, 6, 12, 9, 79, 59], [48, 19, 496, 113, 101, 55, 93, 39, 26, 10], [13, 36, 97, 452, 85, 104, 108, 52, 32, 21], [28, 14, 68, 89, 556, 28, 90, 96, 22, 9], [10, 18, 81, 271, 69, 356, 86, 77, 21, 11], [5, 21, 57, 76, 134, 19, 660, 10, 10, 8], [8, 31, 41, 92, 100, 56, 28, 616, 8, 20], [74, 72, 17, 29, 14, 2, 8, 10, 752, 22], [33, 280, 21, 55, 22, 7, 28, 50, 83, 421]]"
17,17,10,0.52156,0.562,0.562,"[[510, 59, 61, 28, 31, 3, 24, 34, 229, 21], [20, 743, 10, 32, 10, 6, 20, 11, 89, 59], [48, 14, 490, 119, 90, 54, 104, 43, 30, 8], [12, 30, 93, 480, 68, 89, 121, 56, 30, 21], [25, 10, 72, 94, 527, 26, 110, 106, 24, 6], [9, 15, 74, 297, 70, 334, 96, 76, 21, 8], [4, 19, 45, 73, 105, 20, 705, 12, 10, 7], [6, 21, 39, 108, 86, 56, 32, 628, 10, 14], [58, 61, 17, 32, 16, 0, 10, 12, 773, 21], [27, 254, 23, 49, 22, 8, 32, 53, 102, 430]]"
