,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.5645,"[[449, 40, 89, 32, 54, 9, 30, 29, 210, 58], [19, 723, 16, 16, 10, 7, 24, 8, 59, 118], [44, 6, 414, 102, 182, 66, 117, 33, 20, 16], [6, 16, 69, 441, 96, 142, 146, 46, 18, 20], [18, 5, 81, 52, 579, 34, 98, 115, 8, 10], [3, 10, 68, 237, 102, 388, 96, 71, 7, 18], [5, 9, 46, 69, 97, 21, 717, 15, 7, 14], [14, 8, 34, 74, 117, 71, 34, 626, 4, 18], [64, 60, 21, 38, 26, 4, 14, 8, 726, 39], [34, 182, 21, 36, 11, 6, 33, 37, 58, 582]]"
1,1,10,10,0.5686,"[[521, 31, 71, 29, 36, 6, 30, 24, 195, 57], [30, 668, 14, 15, 9, 7, 23, 7, 70, 157], [59, 9, 402, 111, 174, 53, 117, 33, 24, 18], [10, 14, 67, 491, 83, 128, 121, 38, 25, 23], [27, 9, 78, 62, 559, 36, 101, 107, 11, 10], [9, 10, 62, 264, 102, 371, 90, 60, 10, 22], [6, 9, 48, 85, 98, 11, 706, 12, 11, 14], [16, 6, 30, 91, 123, 73, 31, 600, 7, 23], [79, 54, 16, 33, 18, 5, 12, 5, 743, 35], [48, 145, 17, 42, 12, 6, 23, 19, 63, 625]]"
2,2,10,10,0.57,"[[504, 33, 82, 31, 34, 4, 31, 31, 194, 56], [23, 682, 15, 20, 11, 6, 30, 7, 58, 148], [55, 8, 430, 109, 155, 49, 120, 35, 20, 19], [8, 15, 65, 467, 79, 139, 139, 42, 23, 23], [22, 6, 84, 60, 533, 36, 112, 124, 11, 12], [4, 9, 64, 250, 85, 386, 106, 68, 9, 19], [7, 5, 49, 79, 84, 15, 727, 14, 7, 13], [16, 7, 32, 81, 107, 77, 38, 621, 3, 18], [71, 55, 23, 38, 19, 5, 12, 8, 731, 38], [35, 152, 21, 37, 9, 5, 34, 31, 57, 619]]"
3,3,10,10,0.5723,"[[517, 31, 78, 27, 46, 9, 28, 25, 183, 56], [25, 693, 15, 16, 12, 8, 22, 7, 56, 146], [49, 7, 405, 100, 191, 70, 111, 28, 20, 19], [9, 15, 56, 445, 99, 169, 121, 41, 20, 25], [19, 8, 66, 61, 575, 38, 93, 119, 10, 11], [5, 11, 53, 215, 104, 426, 81, 76, 9, 20], [7, 6, 41, 83, 106, 24, 697, 14, 7, 15], [15, 4, 27, 69, 130, 82, 27, 620, 5, 21], [77, 58, 19, 39, 18, 8, 10, 7, 727, 37], [43, 151, 18, 35, 15, 5, 30, 27, 58, 618]]"
4,4,10,10,0.578,"[[540, 27, 77, 23, 38, 8, 23, 31, 169, 64], [32, 679, 14, 20, 10, 5, 22, 7, 53, 158], [53, 9, 407, 102, 181, 63, 108, 37, 19, 21], [10, 17, 58, 465, 83, 143, 125, 52, 20, 27], [22, 8, 65, 64, 554, 35, 97, 132, 11, 12], [8, 10, 57, 251, 91, 399, 80, 75, 8, 21], [8, 9, 41, 83, 90, 20, 708, 15, 10, 16], [20, 5, 28, 71, 99, 72, 27, 651, 4, 23], [79, 58, 15, 36, 18, 7, 9, 8, 728, 42], [45, 140, 17, 32, 9, 4, 24, 31, 49, 649]]"
5,5,10,10,0.5746,"[[496, 32, 98, 27, 37, 7, 38, 26, 193, 46], [28, 721, 18, 16, 9, 6, 28, 6, 59, 109], [43, 10, 461, 87, 163, 60, 116, 25, 20, 15], [9, 16, 74, 435, 89, 147, 148, 42, 22, 18], [17, 5, 90, 54, 566, 30, 106, 114, 11, 7], [7, 13, 62, 211, 103, 416, 101, 67, 8, 12], [8, 7, 51, 68, 91, 13, 729, 12, 11, 10], [15, 7, 40, 71, 120, 70, 34, 623, 5, 15], [73, 56, 24, 30, 22, 6, 15, 6, 736, 32], [46, 176, 25, 37, 19, 8, 34, 29, 63, 563]]"
6,6,10,10,0.5754,"[[526, 27, 79, 33, 36, 10, 33, 21, 182, 53], [30, 676, 17, 19, 9, 9, 29, 6, 59, 146], [56, 6, 414, 96, 144, 82, 133, 30, 20, 19], [8, 16, 49, 466, 63, 164, 144, 44, 21, 25], [19, 6, 70, 65, 535, 43, 115, 121, 12, 14], [5, 9, 52, 237, 76, 436, 95, 64, 8, 18], [8, 6, 42, 82, 72, 21, 737, 11, 7, 14], [18, 4, 28, 78, 100, 92, 34, 622, 3, 21], [74, 57, 21, 35, 19, 7, 12, 7, 732, 36], [44, 145, 16, 43, 11, 10, 35, 23, 63, 610]]"
7,7,10,10,0.5826,"[[523, 24, 75, 23, 32, 7, 24, 30, 194, 68], [29, 647, 13, 17, 9, 6, 17, 5, 63, 194], [54, 5, 416, 100, 182, 69, 95, 36, 21, 22], [9, 12, 55, 485, 76, 148, 106, 51, 28, 30], [22, 6, 66, 63, 567, 37, 81, 134, 12, 12], [8, 10, 56, 244, 86, 411, 68, 86, 11, 20], [9, 13, 48, 75, 97, 23, 687, 17, 13, 18], [19, 5, 30, 69, 96, 74, 19, 657, 8, 23], [69, 48, 18, 34, 11, 5, 9, 7, 762, 37], [41, 117, 16, 36, 9, 5, 20, 30, 55, 671]]"
8,8,10,10,0.5775,"[[554, 30, 79, 23, 29, 9, 25, 31, 169, 51], [37, 685, 18, 15, 13, 7, 20, 8, 64, 133], [56, 7, 440, 103, 170, 68, 84, 32, 23, 17], [9, 13, 59, 439, 76, 188, 120, 45, 25, 26], [22, 5, 81, 58, 566, 42, 78, 127, 13, 8], [7, 8, 62, 219, 82, 453, 66, 75, 14, 14], [12, 10, 59, 75, 109, 26, 672, 17, 11, 9], [18, 5, 38, 71, 112, 83, 17, 635, 6, 15], [79, 50, 20, 33, 18, 6, 8, 7, 750, 29], [54, 148, 19, 32, 16, 15, 33, 33, 69, 581]]"
9,9,10,10,0.578,"[[539, 28, 85, 24, 36, 7, 33, 26, 170, 52], [34, 662, 19, 18, 9, 7, 24, 9, 59, 159], [53, 5, 434, 91, 175, 67, 111, 31, 19, 14], [10, 11, 59, 425, 80, 187, 143, 38, 23, 24], [20, 4, 78, 58, 583, 29, 91, 118, 9, 10], [7, 7, 59, 212, 100, 447, 82, 62, 9, 15], [10, 5, 50, 71, 94, 27, 710, 15, 7, 11], [17, 4, 36, 68, 116, 79, 29, 629, 5, 17], [77, 47, 23, 32, 19, 8, 16, 6, 736, 36], [47, 127, 19, 40, 14, 14, 38, 31, 55, 615]]"
10,10,10,10,0.5883,"[[572, 34, 70, 26, 35, 6, 23, 28, 131, 75], [28, 708, 12, 16, 5, 6, 18, 5, 34, 168], [59, 7, 415, 113, 152, 70, 98, 42, 21, 23], [10, 16, 50, 493, 69, 169, 98, 44, 18, 33], [22, 8, 74, 75, 529, 43, 88, 141, 8, 12], [5, 12, 44, 254, 71, 443, 69, 70, 10, 22], [8, 16, 57, 86, 75, 33, 688, 17, 6, 14], [19, 6, 27, 76, 94, 77, 23, 647, 2, 29], [93, 59, 16, 38, 12, 4, 10, 6, 710, 52], [39, 141, 13, 31, 5, 7, 22, 25, 39, 678]]"
11,11,10,10,0.589,"[[544, 44, 72, 22, 38, 9, 25, 25, 161, 60], [21, 749, 13, 13, 7, 6, 20, 4, 47, 120], [56, 12, 431, 91, 162, 71, 105, 31, 24, 17], [11, 16, 57, 460, 68, 181, 113, 43, 23, 28], [23, 9, 76, 62, 560, 34, 89, 124, 11, 12], [6, 12, 58, 213, 86, 458, 76, 61, 11, 19], [8, 16, 53, 73, 83, 28, 702, 17, 7, 13], [19, 6, 30, 62, 110, 82, 27, 634, 5, 25], [78, 57, 19, 30, 19, 6, 11, 6, 733, 41], [40, 176, 14, 34, 8, 9, 26, 27, 47, 619]]"
