,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.72672,0.7302,0.7302,"[[764, 16, 24, 23, 28, 8, 10, 10, 78, 39], [11, 868, 8, 12, 2, 3, 3, 4, 26, 63], [65, 7, 562, 85, 85, 69, 64, 33, 20, 10], [26, 11, 40, 559, 50, 182, 60, 31, 20, 21], [22, 2, 50, 59, 713, 38, 42, 56, 15, 3], [11, 4, 43, 179, 49, 630, 24, 43, 8, 9], [5, 5, 38, 62, 35, 27, 806, 6, 11, 5], [11, 2, 30, 53, 53, 66, 8, 763, 4, 10], [54, 33, 11, 18, 9, 5, 5, 6, 838, 21], [24, 92, 7, 15, 7, 5, 9, 11, 31, 799]]"
1,1,10,0.7297,0.731,0.731,"[[745, 19, 31, 25, 23, 6, 14, 10, 80, 47], [14, 864, 5, 11, 1, 2, 5, 3, 25, 70], [62, 10, 575, 77, 83, 63, 66, 36, 18, 10], [21, 13, 45, 556, 54, 160, 73, 36, 21, 21], [22, 3, 43, 62, 722, 32, 45, 57, 10, 4], [13, 5, 47, 196, 52, 595, 31, 43, 9, 9], [2, 7, 42, 54, 35, 22, 817, 5, 11, 5], [12, 5, 29, 50, 59, 49, 10, 772, 3, 11], [54, 23, 8, 21, 5, 4, 7, 4, 852, 22], [18, 91, 6, 14, 8, 3, 8, 9, 31, 812]]"
2,2,10,0.72944,0.7303,0.7303,"[[756, 20, 29, 18, 24, 5, 17, 10, 78, 43], [11, 860, 4, 11, 2, 2, 5, 2, 26, 77], [60, 8, 549, 73, 96, 77, 74, 36, 17, 10], [25, 12, 40, 538, 60, 176, 75, 33, 20, 21], [24, 1, 35, 51, 730, 33, 48, 62, 12, 4], [12, 4, 40, 161, 55, 616, 42, 50, 6, 14], [4, 4, 37, 55, 34, 24, 816, 6, 12, 8], [14, 3, 27, 49, 55, 59, 8, 768, 3, 14], [53, 26, 9, 20, 6, 3, 6, 5, 845, 27], [20, 81, 4, 12, 8, 3, 9, 8, 30, 825]]"
3,3,10,0.73314,0.7265,0.7265,"[[772, 20, 27, 24, 23, 8, 13, 11, 62, 40], [16, 863, 7, 6, 5, 2, 5, 5, 12, 79], [63, 12, 550, 66, 93, 75, 77, 42, 13, 9], [23, 10, 31, 534, 62, 174, 82, 42, 19, 23], [20, 2, 40, 55, 728, 34, 43, 66, 8, 4], [14, 5, 34, 182, 52, 602, 37, 60, 4, 10], [8, 3, 33, 52, 40, 26, 820, 5, 8, 5], [15, 2, 24, 42, 51, 52, 10, 793, 2, 9], [75, 43, 8, 21, 8, 4, 4, 6, 796, 35], [19, 88, 7, 16, 8, 3, 12, 14, 26, 807]]"
4,4,10,0.7312,0.7314,0.7314,"[[733, 19, 37, 21, 28, 8, 15, 10, 85, 44], [10, 864, 5, 12, 4, 2, 3, 2, 26, 72], [54, 8, 566, 77, 91, 67, 81, 29, 12, 15], [20, 11, 40, 546, 58, 167, 85, 32, 19, 22], [17, 1, 41, 49, 723, 34, 58, 62, 11, 4], [10, 4, 45, 176, 53, 605, 42, 46, 7, 12], [3, 3, 30, 49, 35, 20, 841, 6, 8, 5], [13, 2, 26, 47, 58, 59, 7, 771, 2, 15], [54, 23, 8, 17, 9, 3, 11, 5, 839, 31], [18, 82, 6, 10, 7, 2, 9, 11, 29, 826]]"
5,5,10,0.7341,0.7336,0.7336,"[[765, 16, 35, 26, 23, 6, 16, 10, 67, 36], [14, 864, 6, 10, 2, 3, 3, 4, 28, 66], [60, 10, 588, 60, 93, 69, 61, 34, 14, 11], [21, 10, 49, 528, 59, 179, 76, 36, 19, 23], [21, 4, 38, 48, 742, 31, 41, 60, 11, 4], [10, 4, 49, 166, 52, 620, 29, 53, 6, 11], [4, 3, 44, 51, 34, 28, 814, 6, 12, 4], [13, 1, 31, 42, 58, 59, 7, 772, 5, 12], [60, 29, 11, 13, 5, 6, 7, 6, 831, 32], [23, 91, 4, 13, 11, 3, 6, 12, 25, 812]]"
6,6,10,0.73648,0.7351,0.7351,"[[755, 19, 33, 19, 26, 8, 14, 11, 78, 37], [11, 873, 7, 7, 5, 3, 4, 4, 18, 68], [64, 8, 565, 67, 92, 73, 64, 40, 16, 11], [21, 9, 39, 543, 60, 185, 67, 33, 21, 22], [23, 4, 42, 51, 721, 30, 41, 72, 12, 4], [12, 3, 43, 152, 44, 634, 31, 63, 7, 11], [4, 5, 38, 49, 35, 27, 819, 4, 12, 7], [13, 3, 25, 47, 47, 51, 9, 791, 3, 11], [61, 39, 12, 12, 6, 5, 7, 5, 830, 23], [20, 89, 5, 12, 7, 5, 6, 10, 26, 820]]"
7,7,10,0.735,0.7304,0.7304,"[[752, 15, 36, 25, 23, 7, 17, 9, 71, 45], [9, 864, 7, 8, 4, 3, 5, 3, 16, 81], [60, 11, 579, 75, 82, 68, 72, 28, 15, 10], [23, 9, 50, 537, 56, 175, 76, 30, 20, 24], [21, 3, 52, 51, 710, 33, 50, 64, 12, 4], [12, 3, 47, 183, 48, 612, 32, 48, 5, 10], [3, 5, 41, 53, 26, 23, 828, 3, 12, 6], [15, 3, 29, 53, 52, 60, 10, 762, 3, 13], [57, 30, 9, 16, 6, 4, 9, 4, 836, 29], [20, 82, 6, 14, 6, 3, 10, 11, 24, 824]]"
8,8,10,0.73512,0.7341,0.7341,"[[752, 17, 32, 16, 27, 7, 17, 9, 82, 41], [10, 881, 8, 10, 1, 2, 5, 3, 20, 60], [59, 11, 585, 58, 86, 68, 71, 33, 16, 13], [21, 14, 49, 538, 55, 170, 72, 36, 20, 25], [20, 5, 42, 52, 722, 35, 45, 65, 10, 4], [13, 3, 47, 171, 48, 614, 30, 56, 7, 11], [6, 3, 39, 49, 33, 22, 823, 6, 11, 8], [14, 3, 31, 44, 51, 60, 10, 771, 2, 14], [53, 38, 9, 15, 4, 4, 6, 6, 832, 33], [19, 88, 5, 12, 4, 3, 10, 11, 25, 823]]"
9,9,10,0.73516,0.7371,0.7371,"[[772, 22, 29, 20, 21, 5, 11, 7, 75, 38], [12, 885, 7, 8, 1, 2, 6, 2, 23, 54], [70, 9, 602, 61, 72, 64, 66, 27, 15, 14], [28, 13, 51, 560, 57, 140, 72, 29, 24, 26], [22, 4, 48, 47, 724, 29, 51, 59, 13, 3], [13, 5, 52, 191, 49, 586, 37, 44, 9, 14], [4, 4, 43, 49, 29, 19, 834, 4, 8, 6], [19, 3, 31, 46, 50, 56, 11, 767, 4, 13], [59, 32, 7, 13, 4, 7, 5, 3, 842, 28], [21, 103, 6, 14, 3, 3, 12, 11, 28, 799]]"
