,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.23002,0.2403,"[[9, 13, 0, 28, 9, 24, 10, 10, 788, 109], [2, 38, 0, 48, 13, 55, 34, 13, 587, 210], [3, 15, 0, 238, 126, 94, 92, 35, 298, 99], [6, 4, 0, 273, 87, 178, 49, 44, 228, 131], [2, 1, 0, 241, 247, 71, 132, 47, 161, 98], [2, 8, 0, 236, 82, 201, 49, 39, 296, 87], [1, 8, 0, 262, 176, 64, 264, 49, 82, 94], [4, 21, 0, 170, 82, 92, 23, 135, 213, 260], [0, 7, 0, 19, 0, 49, 2, 4, 778, 141], [2, 5, 0, 54, 7, 19, 24, 13, 418, 458]]"
1,1,0.32822,0.3594,"[[521, 119, 28, 1, 9, 27, 49, 152, 55, 39], [87, 624, 3, 1, 2, 14, 60, 60, 30, 119], [102, 63, 134, 2, 130, 58, 337, 158, 6, 10], [32, 56, 74, 4, 49, 152, 410, 197, 0, 26], [53, 27, 79, 6, 240, 27, 408, 152, 3, 5], [28, 33, 109, 5, 56, 225, 342, 188, 8, 6], [6, 24, 50, 1, 61, 20, 748, 77, 0, 13], [30, 46, 35, 0, 93, 65, 149, 552, 3, 27], [318, 180, 12, 0, 3, 36, 48, 70, 204, 129], [82, 261, 4, 1, 3, 23, 105, 123, 56, 342]]"
2,2,0.30998,0.3322,"[[58, 29, 36, 116, 10, 6, 4, 3, 580, 158], [1, 187, 0, 93, 2, 16, 3, 19, 187, 492], [33, 6, 131, 436, 138, 49, 38, 14, 103, 52], [16, 8, 15, 746, 16, 33, 21, 10, 54, 81], [29, 7, 63, 308, 317, 25, 53, 23, 114, 61], [4, 1, 26, 710, 23, 116, 4, 11, 60, 45], [2, 3, 29, 477, 134, 20, 207, 9, 68, 51], [38, 5, 10, 376, 82, 65, 7, 177, 79, 161], [2, 23, 1, 80, 1, 10, 0, 4, 717, 162], [0, 28, 2, 126, 4, 5, 7, 3, 159, 666]]"
3,3,0.32076,0.3466,"[[657, 126, 43, 0, 6, 0, 50, 104, 7, 7], [179, 740, 5, 0, 0, 2, 28, 35, 1, 10], [113, 56, 246, 0, 10, 23, 354, 193, 2, 3], [39, 75, 84, 0, 12, 78, 430, 266, 3, 13], [66, 38, 91, 0, 26, 10, 514, 252, 3, 0], [35, 55, 121, 0, 8, 118, 362, 287, 8, 6], [6, 33, 46, 0, 5, 5, 807, 90, 2, 6], [38, 66, 31, 0, 5, 14, 141, 695, 0, 10], [592, 200, 15, 0, 8, 5, 46, 48, 72, 14], [167, 527, 12, 0, 4, 1, 56, 117, 11, 105]]"
4,4,0.21864,0.2318,"[[20, 0, 0, 442, 1, 0, 0, 0, 480, 57], [1, 2, 0, 344, 4, 4, 0, 1, 328, 316], [4, 0, 19, 780, 61, 2, 1, 0, 113, 20], [3, 0, 0, 919, 5, 0, 0, 0, 38, 35], [2, 0, 7, 662, 146, 0, 4, 1, 152, 26], [0, 0, 1, 939, 9, 2, 0, 0, 36, 13], [0, 0, 0, 752, 82, 1, 15, 0, 124, 26], [0, 0, 1, 709, 19, 9, 0, 8, 160, 94], [1, 1, 0, 213, 1, 0, 0, 0, 704, 80], [0, 1, 0, 280, 2, 3, 0, 0, 231, 483]]"
5,5,0.265,0.2836,"[[371, 213, 26, 0, 11, 0, 110, 269, 0, 0], [13, 804, 1, 0, 0, 1, 82, 99, 0, 0], [57, 52, 94, 0, 1, 13, 349, 434, 0, 0], [7, 44, 12, 0, 2, 17, 377, 540, 1, 0], [28, 31, 16, 0, 9, 4, 376, 536, 0, 0], [8, 33, 22, 0, 2, 20, 381, 532, 2, 0], [3, 18, 5, 0, 0, 0, 721, 253, 0, 0], [6, 37, 5, 0, 0, 2, 136, 814, 0, 0], [293, 409, 10, 0, 21, 4, 144, 116, 2, 1], [21, 574, 0, 0, 0, 2, 104, 298, 0, 1]]"
6,6,0.19294,0.2014,"[[1, 0, 2, 568, 11, 0, 3, 0, 412, 3], [0, 0, 0, 591, 21, 2, 3, 0, 325, 58], [0, 0, 0, 717, 192, 0, 0, 0, 90, 1], [0, 0, 0, 905, 39, 0, 5, 0, 48, 3], [0, 0, 0, 529, 341, 1, 0, 0, 128, 1], [0, 0, 0, 911, 41, 1, 2, 0, 41, 4], [0, 0, 0, 589, 281, 0, 17, 0, 112, 1], [0, 0, 0, 740, 73, 0, 1, 0, 185, 1], [0, 0, 0, 321, 2, 1, 0, 0, 670, 6], [0, 0, 0, 476, 6, 5, 7, 0, 427, 79]]"
7,7,0.15878,0.1632,"[[129, 858, 0, 0, 0, 1, 2, 10, 0, 0], [5, 990, 0, 0, 0, 3, 0, 2, 0, 0], [58, 618, 3, 0, 0, 50, 37, 234, 0, 0], [27, 629, 0, 0, 0, 99, 6, 238, 0, 1], [25, 548, 0, 0, 1, 67, 44, 315, 0, 0], [13, 619, 0, 0, 0, 89, 4, 275, 0, 0], [15, 497, 1, 0, 0, 155, 66, 266, 0, 0], [17, 611, 0, 0, 0, 17, 1, 354, 0, 0], [111, 885, 0, 0, 0, 0, 0, 4, 0, 0], [5, 971, 0, 0, 0, 1, 0, 23, 0, 0]]"
8,8,0.20672,0.2212,"[[37, 0, 219, 504, 58, 0, 3, 3, 146, 30], [1, 1, 9, 688, 78, 6, 12, 11, 124, 70], [1, 0, 277, 574, 117, 1, 3, 1, 17, 9], [0, 0, 46, 888, 54, 1, 0, 0, 8, 3], [1, 0, 185, 420, 372, 0, 1, 4, 9, 8], [1, 0, 48, 886, 53, 6, 0, 1, 3, 2], [0, 0, 110, 598, 250, 0, 30, 0, 7, 5], [3, 0, 55, 708, 152, 0, 0, 43, 12, 27], [2, 0, 55, 478, 32, 1, 0, 0, 394, 38], [3, 0, 13, 658, 34, 2, 10, 4, 112, 164]]"
9,9,0.19286,0.209,"[[465, 520, 0, 0, 0, 1, 8, 3, 3, 0], [7, 969, 0, 0, 0, 2, 2, 5, 5, 10], [248, 540, 51, 0, 3, 26, 77, 37, 11, 7], [126, 643, 9, 0, 4, 73, 42, 48, 21, 34], [162, 513, 16, 0, 9, 39, 149, 80, 22, 10], [82, 662, 16, 0, 2, 84, 21, 89, 23, 21], [65, 528, 8, 0, 4, 60, 253, 37, 27, 18], [66, 645, 2, 0, 1, 26, 9, 185, 13, 53], [249, 729, 0, 0, 0, 0, 1, 1, 13, 7], [23, 903, 0, 0, 0, 1, 2, 4, 6, 61]]"
10,10,0.17488,0.1844,"[[1, 0, 639, 263, 72, 2, 10, 1, 11, 1], [0, 0, 199, 579, 128, 2, 42, 0, 16, 34], [0, 0, 644, 263, 83, 1, 6, 1, 1, 1], [0, 0, 262, 635, 83, 1, 18, 0, 0, 1], [0, 0, 480, 174, 324, 1, 17, 2, 0, 2], [0, 0, 270, 643, 70, 3, 12, 1, 0, 1], [0, 0, 390, 287, 174, 0, 148, 0, 0, 1], [0, 0, 251, 448, 258, 2, 8, 33, 0, 0], [0, 0, 534, 358, 54, 0, 14, 0, 35, 5], [0, 0, 231, 624, 77, 1, 37, 1, 8, 21]]"
11,11,0.19968,0.2069,"[[235, 708, 0, 0, 0, 17, 6, 25, 0, 9], [5, 951, 0, 0, 0, 23, 2, 15, 0, 4], [120, 430, 50, 0, 15, 149, 52, 171, 0, 13], [55, 476, 1, 0, 1, 322, 17, 108, 0, 20], [85, 376, 16, 0, 26, 171, 66, 255, 1, 4], [35, 483, 3, 0, 1, 299, 3, 170, 1, 5], [19, 345, 5, 0, 4, 395, 116, 97, 1, 18], [21, 478, 0, 0, 1, 115, 6, 361, 0, 18], [161, 796, 1, 0, 0, 11, 1, 18, 0, 12], [9, 844, 0, 0, 0, 52, 2, 62, 0, 31]]"
