,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,10,0.10168,0.1017,"[[0, 0, 0, 997, 0, 0, 0, 0, 3, 0], [0, 0, 0, 992, 0, 0, 0, 0, 8, 0], [0, 0, 0, 998, 0, 0, 0, 0, 2, 0], [0, 0, 0, 998, 0, 0, 0, 0, 2, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 999, 0, 0, 0, 0, 1, 0], [0, 0, 0, 998, 0, 0, 0, 0, 2, 0], [0, 0, 0, 990, 0, 0, 0, 0, 10, 0], [0, 0, 0, 981, 0, 0, 0, 0, 19, 0], [0, 0, 0, 976, 0, 0, 0, 0, 24, 0]]"
2,2,10,0.09994,0.1,"[[0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 999, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1000, 0, 0, 0, 0, 0, 0], [0, 0, 0, 999, 0, 1, 0, 0, 0, 0]]"
3,3,10,0.10332,0.1023,"[[0, 6, 0, 939, 0, 0, 0, 53, 2, 0], [0, 5, 0, 973, 0, 0, 0, 19, 3, 0], [0, 0, 0, 976, 0, 0, 0, 24, 0, 0], [0, 1, 0, 982, 0, 0, 0, 17, 0, 0], [0, 0, 0, 992, 0, 0, 0, 8, 0, 0], [0, 2, 0, 986, 0, 0, 0, 11, 1, 0], [0, 0, 0, 999, 0, 0, 0, 1, 0, 0], [0, 1, 0, 970, 0, 0, 0, 28, 1, 0], [0, 15, 0, 958, 0, 0, 0, 19, 8, 0], [0, 5, 0, 956, 0, 0, 0, 37, 2, 0]]"
4,4,10,0.18758,0.1979,"[[183, 2, 0, 139, 0, 5, 10, 19, 642, 0], [72, 1, 0, 284, 0, 15, 64, 35, 529, 0], [86, 2, 0, 559, 0, 14, 102, 24, 213, 0], [77, 1, 0, 580, 0, 17, 115, 33, 177, 0], [42, 1, 0, 598, 0, 0, 218, 30, 111, 0], [84, 0, 0, 534, 0, 20, 85, 34, 243, 0], [42, 1, 0, 578, 0, 0, 306, 28, 45, 0], [93, 3, 0, 466, 0, 9, 70, 149, 210, 0], [80, 1, 0, 124, 0, 22, 15, 19, 739, 0], [155, 0, 0, 241, 0, 4, 28, 68, 503, 1]]"
5,5,10,0.20162,0.2042,"[[0, 0, 0, 23, 0, 18, 35, 8, 847, 69], [1, 2, 0, 36, 0, 66, 116, 36, 648, 95], [0, 0, 0, 137, 0, 96, 293, 31, 326, 117], [0, 0, 0, 154, 0, 135, 255, 34, 277, 145], [0, 0, 0, 165, 0, 72, 452, 28, 187, 96], [1, 0, 0, 138, 0, 137, 227, 34, 374, 89], [0, 0, 0, 130, 0, 82, 582, 31, 89, 86], [0, 3, 0, 119, 0, 72, 193, 110, 264, 239], [0, 0, 0, 15, 0, 28, 16, 14, 852, 75], [1, 1, 0, 46, 0, 19, 88, 50, 590, 205]]"
6,6,10,0.2335,0.2403,"[[121, 12, 0, 23, 1, 39, 40, 26, 551, 187], [7, 26, 0, 37, 0, 114, 122, 68, 453, 173], [31, 4, 0, 93, 0, 133, 369, 68, 185, 117], [8, 7, 0, 133, 1, 192, 311, 100, 118, 130], [6, 6, 0, 93, 2, 74, 557, 75, 93, 94], [8, 10, 0, 120, 1, 215, 292, 75, 188, 91], [2, 5, 0, 67, 0, 83, 681, 67, 21, 74], [13, 9, 0, 88, 6, 94, 236, 197, 99, 258], [22, 3, 0, 30, 0, 52, 16, 34, 636, 207], [10, 6, 0, 44, 0, 40, 95, 86, 327, 392]]"
7,7,10,0.25234,0.2626,"[[390, 10, 0, 30, 0, 55, 44, 36, 237, 198], [36, 72, 0, 28, 3, 155, 124, 81, 339, 162], [101, 15, 0, 91, 12, 163, 375, 87, 77, 79], [34, 6, 0, 110, 5, 255, 309, 123, 65, 93], [33, 3, 0, 57, 10, 101, 585, 84, 47, 80], [39, 12, 0, 126, 5, 281, 299, 87, 88, 63], [9, 3, 0, 48, 6, 102, 691, 88, 9, 44], [28, 21, 0, 70, 18, 122, 243, 225, 53, 220], [160, 9, 0, 29, 0, 74, 16, 42, 436, 234], [31, 19, 0, 31, 2, 57, 98, 103, 248, 411]]"
8,8,10,0.2655,0.2823,"[[479, 42, 0, 41, 6, 42, 41, 74, 118, 157], [87, 205, 0, 28, 18, 126, 109, 106, 189, 132], [135, 40, 0, 85, 68, 144, 350, 116, 23, 39], [45, 27, 0, 144, 37, 213, 296, 163, 23, 52], [46, 11, 0, 69, 101, 80, 523, 102, 19, 49], [46, 51, 0, 120, 46, 271, 283, 111, 31, 41], [13, 7, 0, 53, 41, 79, 680, 104, 2, 21], [40, 49, 0, 71, 84, 98, 197, 315, 25, 121], [286, 57, 0, 28, 4, 66, 19, 60, 268, 212], [63, 60, 0, 35, 11, 46, 92, 156, 177, 360]]"
9,9,10,0.28434,0.3051,"[[456, 59, 0, 50, 12, 33, 33, 62, 132, 163], [65, 275, 0, 36, 18, 102, 90, 83, 175, 156], [128, 40, 0, 126, 103, 152, 267, 111, 29, 44], [44, 38, 0, 211, 69, 210, 210, 138, 22, 58], [44, 12, 0, 106, 205, 81, 376, 100, 25, 51], [51, 59, 0, 181, 71, 273, 202, 99, 22, 42], [15, 9, 0, 84, 80, 97, 590, 99, 2, 24], [36, 64, 0, 106, 118, 105, 115, 301, 21, 134], [220, 77, 0, 43, 1, 52, 13, 48, 322, 224], [48, 88, 0, 44, 9, 41, 81, 102, 169, 418]]"
