,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.1008,"[[0, 0, 0, 0, 0, 0, 1, 0, 0, 999], [0, 0, 0, 0, 0, 0, 2, 0, 0, 998], [0, 0, 0, 0, 0, 0, 4, 0, 0, 996], [0, 0, 0, 0, 0, 0, 18, 0, 0, 982], [0, 0, 0, 0, 0, 0, 3, 0, 0, 997], [0, 0, 0, 0, 0, 0, 32, 0, 0, 968], [0, 0, 0, 0, 0, 0, 8, 0, 0, 992], [0, 0, 0, 0, 0, 0, 7, 0, 0, 993], [0, 0, 0, 0, 0, 0, 5, 0, 0, 995], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,10,10,0.1012,"[[0, 0, 0, 0, 0, 0, 0, 1, 0, 999], [0, 0, 0, 0, 0, 0, 1, 0, 0, 999], [0, 0, 0, 0, 0, 0, 1, 0, 0, 999], [0, 0, 0, 0, 0, 0, 7, 0, 0, 993], [0, 0, 0, 0, 0, 0, 1, 0, 0, 999], [0, 0, 0, 0, 0, 0, 11, 0, 0, 989], [0, 0, 0, 0, 0, 0, 12, 0, 0, 988], [0, 0, 0, 0, 0, 0, 1, 0, 0, 999], [0, 0, 0, 0, 0, 0, 2, 0, 0, 998], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
2,2,10,10,0.1544,"[[0, 0, 0, 0, 0, 1, 93, 117, 0, 789], [0, 1, 0, 0, 0, 0, 191, 14, 0, 794], [0, 0, 0, 0, 0, 2, 455, 42, 0, 501], [0, 0, 0, 0, 0, 1, 565, 38, 0, 396], [0, 0, 0, 0, 0, 0, 601, 14, 0, 385], [0, 0, 0, 0, 0, 0, 572, 36, 0, 392], [0, 0, 0, 0, 0, 0, 629, 26, 0, 345], [0, 0, 0, 0, 0, 1, 348, 36, 0, 615], [0, 0, 0, 0, 0, 0, 170, 28, 0, 802], [0, 0, 0, 0, 0, 0, 107, 15, 0, 878]]"
3,3,10,10,0.1615,"[[0, 0, 0, 0, 0, 272, 3, 13, 0, 712], [0, 0, 0, 0, 0, 269, 18, 5, 0, 708], [0, 0, 0, 0, 0, 599, 47, 3, 0, 351], [0, 0, 0, 0, 0, 665, 57, 7, 0, 271], [0, 0, 0, 0, 0, 664, 65, 1, 0, 270], [0, 0, 0, 0, 0, 759, 22, 1, 0, 218], [0, 0, 0, 0, 0, 714, 85, 5, 0, 196], [0, 0, 0, 0, 0, 528, 19, 3, 0, 450], [0, 0, 0, 0, 0, 280, 9, 0, 0, 711], [0, 0, 0, 0, 0, 219, 10, 3, 0, 768]]"
4,4,10,10,0.1751,"[[0, 26, 0, 0, 0, 26, 70, 11, 0, 867], [0, 92, 0, 0, 0, 14, 182, 4, 0, 708], [0, 9, 0, 0, 0, 52, 481, 10, 0, 448], [0, 10, 0, 0, 0, 69, 546, 24, 0, 351], [0, 4, 0, 0, 0, 31, 650, 7, 0, 308], [0, 11, 0, 0, 0, 101, 540, 14, 0, 334], [0, 1, 0, 0, 0, 43, 707, 13, 0, 236], [0, 9, 0, 0, 0, 61, 363, 22, 0, 545], [0, 74, 0, 0, 0, 28, 100, 2, 0, 796], [0, 34, 0, 0, 0, 21, 111, 5, 0, 829]]"
5,5,10,10,0.167,"[[0, 37, 0, 0, 0, 0, 280, 0, 0, 683], [0, 144, 0, 0, 0, 0, 348, 0, 0, 508], [0, 23, 0, 0, 0, 0, 770, 0, 0, 207], [0, 13, 0, 0, 0, 0, 874, 0, 0, 113], [0, 5, 0, 0, 0, 0, 877, 0, 0, 118], [0, 15, 0, 0, 0, 0, 900, 1, 0, 84], [0, 4, 0, 0, 0, 0, 954, 0, 0, 42], [0, 9, 0, 0, 0, 0, 746, 1, 0, 244], [0, 95, 0, 0, 0, 0, 308, 0, 0, 597], [0, 66, 0, 0, 0, 0, 363, 0, 0, 571]]"
6,6,10,10,0.1341,"[[42, 114, 0, 0, 0, 0, 647, 61, 0, 136], [7, 167, 0, 0, 0, 0, 740, 32, 0, 54], [5, 35, 0, 0, 0, 0, 917, 11, 0, 32], [1, 7, 0, 0, 0, 0, 970, 11, 0, 11], [2, 11, 0, 0, 0, 0, 954, 15, 0, 18], [1, 4, 0, 0, 0, 0, 983, 6, 0, 6], [0, 2, 0, 0, 0, 0, 993, 3, 0, 2], [0, 6, 0, 0, 0, 0, 946, 37, 0, 11], [10, 156, 0, 0, 0, 0, 716, 32, 0, 86], [7, 76, 0, 0, 0, 0, 769, 46, 0, 102]]"
7,7,10,10,0.2118,"[[207, 335, 0, 0, 0, 8, 184, 114, 0, 152], [57, 558, 0, 0, 0, 8, 241, 57, 0, 79], [39, 133, 0, 0, 0, 3, 702, 71, 0, 52], [5, 66, 0, 0, 0, 8, 762, 127, 0, 32], [18, 55, 0, 0, 0, 1, 831, 65, 0, 30], [4, 63, 0, 0, 0, 6, 824, 86, 0, 17], [1, 31, 0, 0, 0, 1, 915, 41, 0, 11], [6, 86, 0, 0, 0, 4, 592, 238, 0, 74], [110, 500, 0, 0, 0, 13, 197, 66, 0, 114], [58, 360, 0, 0, 0, 8, 248, 132, 0, 194]]"
8,8,10,10,0.223,"[[303, 239, 0, 0, 0, 19, 124, 140, 0, 175], [134, 453, 0, 0, 0, 48, 159, 83, 0, 123], [62, 102, 0, 0, 0, 41, 630, 101, 1, 63], [9, 55, 0, 0, 0, 40, 681, 177, 0, 38], [25, 29, 0, 0, 0, 20, 793, 87, 0, 46], [7, 62, 0, 0, 0, 52, 733, 123, 0, 23], [3, 24, 0, 0, 0, 28, 863, 68, 0, 14], [15, 73, 0, 0, 0, 42, 472, 328, 0, 70], [202, 393, 0, 0, 0, 38, 110, 94, 2, 161], [118, 260, 0, 0, 0, 44, 160, 187, 2, 229]]"
9,9,10,10,0.2295,"[[159, 266, 0, 0, 0, 8, 77, 101, 0, 389], [36, 490, 0, 0, 0, 28, 113, 87, 0, 246], [28, 127, 0, 0, 0, 42, 539, 148, 0, 116], [1, 90, 0, 0, 0, 54, 557, 210, 0, 88], [9, 41, 0, 0, 0, 15, 736, 117, 0, 82], [4, 105, 0, 0, 0, 49, 601, 173, 0, 68], [0, 38, 0, 0, 0, 30, 805, 95, 0, 32], [2, 90, 0, 0, 0, 19, 343, 393, 0, 153], [79, 424, 0, 0, 0, 27, 57, 60, 0, 353], [33, 266, 0, 0, 0, 21, 114, 167, 0, 399]]"
