,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.31246,0.339,0.339,"[[290, 127, 98, 6, 17, 62, 45, 104, 100, 151], [15, 519, 9, 7, 6, 70, 32, 50, 35, 257], [41, 33, 115, 15, 195, 96, 337, 137, 14, 17], [4, 41, 51, 31, 77, 130, 450, 180, 6, 30], [23, 16, 44, 7, 321, 44, 393, 129, 9, 14], [7, 24, 64, 13, 152, 196, 360, 159, 8, 17], [2, 13, 22, 24, 135, 40, 665, 86, 1, 12], [8, 20, 47, 9, 137, 73, 156, 492, 8, 50], [122, 133, 34, 3, 4, 55, 43, 58, 264, 284], [10, 188, 4, 16, 3, 39, 66, 128, 49, 497]]"
1,1,10,0.31432,0.337,0.337,"[[327, 191, 38, 3, 8, 73, 37, 84, 59, 180], [7, 621, 2, 5, 4, 62, 18, 40, 21, 220], [49, 44, 63, 11, 124, 186, 334, 154, 8, 27], [6, 55, 14, 20, 33, 227, 406, 198, 6, 35], [28, 23, 28, 7, 201, 97, 438, 155, 7, 16], [8, 48, 38, 7, 75, 282, 335, 184, 6, 17], [1, 22, 12, 16, 81, 80, 674, 100, 0, 14], [8, 31, 25, 8, 77, 120, 140, 522, 5, 64], [164, 203, 16, 4, 3, 44, 32, 49, 178, 307], [7, 267, 2, 8, 3, 50, 44, 112, 25, 482]]"
2,2,10,0.32804,0.3515,0.3515,"[[291, 108, 65, 11, 14, 91, 30, 76, 117, 197], [13, 519, 3, 6, 4, 77, 17, 40, 37, 284], [38, 32, 79, 28, 179, 217, 272, 119, 13, 23], [4, 42, 18, 48, 67, 264, 357, 157, 7, 36], [21, 18, 39, 10, 302, 107, 353, 123, 9, 18], [6, 29, 44, 23, 118, 337, 286, 131, 10, 16], [2, 16, 15, 38, 124, 95, 630, 62, 0, 18], [6, 18, 34, 26, 115, 141, 113, 472, 9, 66], [123, 111, 21, 7, 5, 52, 31, 42, 300, 308], [11, 179, 3, 13, 3, 58, 41, 105, 50, 537]]"
3,3,10,0.33418,0.3655,0.3655,"[[413, 98, 74, 12, 14, 50, 34, 60, 97, 148], [37, 531, 7, 10, 5, 51, 20, 36, 50, 253], [46, 31, 157, 37, 160, 130, 296, 109, 15, 19], [13, 43, 67, 59, 59, 205, 383, 123, 8, 40], [38, 15, 64, 17, 281, 75, 373, 114, 8, 15], [13, 37, 90, 36, 104, 285, 302, 106, 12, 15], [3, 17, 34, 46, 113, 52, 655, 58, 3, 19], [16, 24, 60, 33, 101, 112, 130, 450, 9, 65], [230, 103, 28, 9, 6, 32, 32, 32, 296, 232], [23, 169, 4, 21, 3, 33, 55, 85, 79, 528]]"
4,4,10,0.34304,0.3657,0.3657,"[[406, 153, 39, 14, 18, 64, 18, 71, 68, 149], [29, 630, 3, 9, 5, 50, 16, 38, 23, 197], [49, 38, 83, 38, 206, 233, 193, 133, 13, 14], [16, 48, 32, 66, 88, 278, 276, 158, 6, 32], [41, 20, 30, 15, 375, 126, 246, 127, 5, 15], [14, 44, 36, 35, 135, 371, 211, 134, 9, 11], [2, 17, 9, 51, 191, 94, 537, 78, 3, 18], [18, 30, 37, 33, 116, 139, 81, 487, 6, 53], [248, 162, 14, 12, 5, 39, 20, 37, 247, 216], [19, 264, 1, 20, 2, 46, 43, 100, 50, 455]]"
5,5,10,0.35708,0.3797,0.3797,"[[380, 131, 38, 17, 13, 53, 23, 60, 157, 128], [15, 639, 2, 8, 4, 32, 19, 28, 71, 182], [52, 40, 111, 41, 171, 211, 197, 135, 20, 22], [22, 58, 37, 73, 66, 277, 274, 140, 10, 43], [40, 19, 47, 17, 330, 123, 251, 138, 19, 16], [22, 57, 47, 43, 105, 368, 203, 126, 15, 14], [1, 26, 19, 51, 156, 90, 557, 75, 6, 19], [23, 37, 34, 40, 92, 137, 84, 475, 9, 69], [170, 148, 11, 10, 3, 29, 19, 30, 420, 160], [17, 254, 1, 20, 2, 28, 46, 83, 105, 444]]"
6,6,10,0.34854,0.379,0.379,"[[285, 88, 60, 15, 15, 56, 35, 68, 208, 170], [11, 537, 4, 5, 4, 39, 23, 28, 81, 268], [37, 32, 160, 46, 152, 144, 265, 124, 20, 20], [9, 35, 52, 88, 46, 211, 369, 130, 11, 49], [27, 19, 64, 21, 269, 77, 354, 131, 19, 19], [9, 34, 74, 52, 80, 322, 271, 122, 15, 21], [1, 20, 32, 50, 107, 45, 662, 56, 2, 25], [9, 20, 53, 38, 81, 116, 116, 485, 14, 68], [97, 96, 17, 12, 5, 32, 35, 30, 475, 201], [8, 186, 3, 18, 2, 29, 56, 78, 113, 507]]"
7,7,10,0.3547,0.378,0.378,"[[308, 109, 65, 13, 15, 41, 28, 56, 190, 175], [16, 573, 5, 7, 6, 33, 25, 36, 76, 223], [43, 38, 155, 45, 168, 173, 221, 122, 16, 19], [18, 42, 57, 83, 58, 249, 311, 128, 8, 46], [30, 17, 69, 19, 327, 95, 276, 128, 20, 19], [14, 51, 79, 45, 103, 330, 238, 108, 14, 18], [1, 21, 24, 55, 147, 70, 601, 60, 5, 16], [14, 29, 48, 43, 91, 121, 104, 472, 14, 64], [132, 109, 23, 9, 5, 26, 28, 30, 442, 196], [13, 187, 6, 24, 2, 28, 59, 85, 107, 489]]"
8,8,10,0.35402,0.3801,0.3801,"[[358, 119, 45, 5, 12, 48, 39, 49, 125, 200], [16, 576, 5, 3, 5, 29, 32, 20, 51, 263], [47, 38, 133, 25, 149, 213, 249, 109, 15, 22], [16, 48, 45, 59, 47, 261, 352, 109, 12, 51], [37, 19, 60, 8, 284, 108, 328, 118, 12, 26], [15, 51, 55, 31, 82, 361, 266, 103, 14, 22], [1, 21, 25, 33, 104, 71, 671, 49, 2, 23], [14, 31, 48, 24, 82, 130, 118, 456, 12, 85], [170, 115, 10, 5, 6, 27, 31, 24, 353, 259], [11, 212, 6, 12, 3, 24, 64, 62, 56, 550]]"
9,9,10,0.35798,0.3868,0.3868,"[[431, 100, 56, 11, 16, 44, 30, 58, 101, 153], [34, 572, 3, 6, 4, 28, 23, 29, 43, 258], [46, 34, 135, 42, 156, 220, 211, 121, 15, 20], [15, 38, 43, 87, 52, 286, 296, 126, 7, 50], [47, 16, 63, 16, 299, 112, 294, 126, 8, 19], [14, 41, 58, 48, 86, 385, 218, 117, 13, 20], [2, 21, 21, 50, 119, 72, 625, 65, 3, 22], [18, 21, 47, 37, 83, 134, 99, 487, 7, 67], [243, 100, 22, 11, 7, 31, 26, 30, 330, 200], [27, 192, 4, 15, 2, 26, 54, 91, 72, 517]]"
10,10,10,0.36196,0.3905,0.3905,"[[391, 105, 42, 10, 26, 43, 34, 67, 156, 126], [19, 577, 3, 6, 7, 25, 28, 33, 72, 230], [49, 32, 116, 39, 210, 193, 201, 123, 15, 22], [11, 35, 37, 88, 78, 259, 306, 129, 11, 46], [42, 18, 45, 18, 378, 95, 255, 121, 15, 13], [15, 36, 46, 47, 126, 360, 223, 116, 16, 15], [1, 20, 18, 48, 160, 64, 601, 63, 4, 21], [17, 19, 32, 33, 108, 122, 96, 505, 10, 58], [180, 106, 17, 9, 8, 30, 32, 32, 415, 171], [15, 211, 4, 13, 5, 25, 63, 89, 101, 474]]"
11,11,10,0.3643,0.3904,0.3904,"[[340, 126, 60, 13, 21, 44, 30, 78, 130, 158], [10, 668, 3, 7, 3, 29, 19, 36, 41, 184], [39, 31, 137, 39, 190, 210, 182, 136, 13, 23], [9, 48, 42, 77, 69, 289, 260, 152, 7, 47], [26, 24, 59, 16, 356, 104, 236, 147, 13, 19], [9, 41, 59, 43, 97, 384, 201, 137, 13, 16], [1, 25, 20, 47, 152, 68, 592, 73, 2, 20], [10, 29, 35, 36, 93, 127, 81, 519, 9, 61], [144, 165, 18, 12, 6, 24, 33, 35, 357, 206], [9, 280, 2, 19, 3, 26, 48, 84, 55, 474]]"
12,12,10,0.36974,0.3999,0.3999,"[[422, 98, 45, 15, 21, 28, 33, 53, 167, 118], [21, 579, 4, 6, 6, 20, 25, 27, 97, 215], [52, 27, 142, 33, 180, 178, 218, 128, 21, 21], [16, 38, 50, 88, 61, 244, 313, 126, 13, 51], [48, 19, 51, 18, 352, 85, 269, 128, 15, 15], [19, 43, 59, 46, 105, 354, 226, 114, 17, 17], [1, 20, 24, 38, 140, 59, 626, 63, 7, 22], [21, 23, 39, 33, 90, 113, 97, 507, 10, 67], [189, 103, 18, 7, 9, 17, 34, 29, 451, 143], [15, 205, 6, 13, 2, 21, 54, 81, 125, 478]]"
13,13,10,0.3686,0.3984,0.3984,"[[387, 87, 68, 14, 20, 44, 29, 61, 139, 151], [17, 572, 8, 6, 3, 33, 22, 35, 65, 239], [42, 25, 202, 33, 145, 217, 193, 105, 16, 22], [12, 30, 69, 80, 44, 337, 273, 96, 12, 47], [39, 17, 87, 19, 292, 128, 278, 111, 10, 19], [12, 33, 84, 49, 70, 451, 179, 94, 13, 15], [1, 15, 35, 37, 116, 99, 621, 49, 6, 21], [14, 18, 63, 39, 67, 149, 97, 474, 10, 69], [187, 107, 27, 11, 9, 32, 31, 26, 394, 176], [14, 201, 9, 11, 2, 35, 54, 78, 85, 511]]"
14,14,10,0.37434,0.4053,0.4053,"[[373, 73, 76, 28, 23, 29, 30, 61, 181, 126], [15, 511, 9, 11, 7, 19, 25, 37, 84, 282], [37, 22, 189, 59, 191, 176, 172, 112, 17, 25], [11, 30, 65, 123, 66, 279, 255, 115, 11, 45], [33, 16, 81, 25, 372, 91, 220, 127, 18, 17], [9, 27, 71, 70, 101, 401, 176, 111, 14, 20], [1, 13, 31, 54, 167, 66, 575, 64, 6, 23], [17, 13, 48, 44, 89, 126, 78, 505, 10, 70], [141, 92, 25, 17, 10, 25, 29, 30, 466, 165], [17, 161, 9, 21, 2, 23, 46, 89, 94, 538]]"
15,15,10,0.37374,0.4043,0.4043,"[[396, 71, 47, 13, 23, 36, 31, 68, 174, 141], [14, 551, 3, 4, 2, 25, 18, 32, 80, 271], [44, 27, 161, 21, 160, 231, 186, 125, 17, 28], [14, 33, 47, 61, 48, 355, 254, 115, 17, 56], [46, 18, 55, 17, 320, 114, 264, 132, 16, 18], [16, 36, 51, 33, 83, 458, 167, 115, 19, 22], [1, 17, 19, 31, 130, 96, 608, 64, 7, 27], [17, 18, 38, 22, 79, 148, 87, 505, 12, 74], [163, 95, 17, 6, 8, 29, 27, 27, 464, 164], [15, 186, 3, 10, 2, 32, 44, 76, 113, 519]]"
16,16,10,0.37588,0.4065,0.4065,"[[391, 69, 59, 16, 37, 36, 31, 83, 180, 98], [21, 561, 6, 3, 6, 31, 21, 38, 93, 220], [37, 24, 172, 25, 207, 211, 166, 121, 18, 19], [12, 31, 48, 67, 72, 333, 243, 138, 15, 41], [37, 16, 41, 18, 392, 102, 226, 139, 15, 14], [13, 30, 52, 33, 113, 435, 171, 124, 16, 13], [1, 18, 23, 38, 177, 76, 575, 65, 5, 22], [18, 13, 37, 25, 102, 140, 75, 524, 10, 56], [156, 95, 18, 9, 16, 29, 31, 38, 479, 129], [23, 186, 9, 12, 4, 35, 42, 95, 125, 469]]"
17,17,10,0.38432,0.4116,0.4116,"[[418, 94, 39, 23, 22, 24, 27, 51, 188, 114], [17, 633, 5, 7, 3, 18, 17, 31, 78, 191], [50, 31, 151, 38, 157, 215, 175, 135, 21, 27], [24, 43, 43, 85, 41, 332, 237, 117, 15, 63], [43, 18, 53, 22, 319, 121, 233, 145, 22, 24], [19, 41, 45, 56, 72, 444, 154, 124, 18, 27], [3, 22, 17, 36, 126, 94, 598, 67, 7, 30], [20, 25, 26, 37, 65, 131, 80, 520, 14, 82], [161, 133, 15, 12, 7, 21, 22, 25, 466, 138], [19, 246, 8, 13, 2, 23, 36, 71, 100, 482]]"
18,18,10,0.38382,0.4118,0.4118,"[[439, 75, 47, 20, 25, 27, 34, 57, 164, 112], [21, 563, 6, 8, 2, 21, 25, 37, 83, 234], [50, 26, 197, 31, 149, 207, 186, 114, 17, 23], [16, 25, 57, 83, 46, 350, 264, 92, 15, 52], [43, 16, 71, 26, 320, 117, 252, 121, 15, 19], [20, 30, 58, 45, 75, 451, 181, 108, 15, 17], [2, 12, 26, 33, 128, 94, 627, 46, 6, 26], [23, 19, 43, 34, 75, 144, 93, 491, 9, 69], [181, 104, 20, 11, 8, 25, 32, 24, 443, 152], [22, 190, 11, 16, 4, 25, 56, 71, 101, 504]]"
19,19,10,0.38638,0.418,0.418,"[[461, 86, 59, 25, 26, 35, 28, 51, 128, 101], [23, 629, 4, 6, 3, 28, 18, 28, 60, 201], [44, 30, 190, 45, 148, 245, 155, 104, 17, 22], [17, 36, 53, 94, 44, 401, 207, 87, 12, 49], [46, 18, 69, 25, 320, 148, 225, 120, 12, 17], [20, 35, 47, 53, 66, 520, 145, 86, 12, 16], [1, 22, 21, 40, 130, 116, 591, 50, 7, 22], [23, 22, 42, 45, 65, 161, 79, 494, 6, 63], [203, 130, 24, 12, 8, 30, 25, 22, 408, 138], [29, 244, 6, 17, 2, 38, 39, 69, 83, 473]]"
20,20,10,0.38644,0.4176,0.4176,"[[411, 87, 51, 24, 40, 23, 34, 65, 170, 95], [24, 617, 9, 11, 5, 8, 21, 36, 65, 204], [35, 28, 172, 68, 173, 162, 186, 134, 17, 25], [10, 31, 40, 121, 58, 277, 265, 125, 13, 60], [33, 17, 50, 30, 350, 102, 241, 142, 16, 19], [14, 31, 47, 75, 80, 411, 181, 122, 15, 24], [1, 13, 18, 39, 152, 65, 617, 63, 5, 27], [18, 21, 25, 46, 73, 106, 86, 547, 11, 67], [155, 132, 21, 15, 14, 13, 33, 28, 442, 147], [27, 236, 8, 18, 3, 15, 43, 81, 81, 488]]"
21,21,10,0.38836,0.4219,0.4219,"[[403, 80, 23, 22, 30, 28, 35, 45, 234, 100], [16, 609, 5, 9, 3, 13, 18, 27, 97, 203], [51, 31, 151, 53, 153, 215, 186, 108, 20, 32], [19, 33, 35, 119, 50, 328, 242, 87, 22, 65], [43, 19, 44, 26, 338, 118, 245, 123, 26, 18], [19, 30, 37, 74, 72, 468, 155, 104, 19, 22], [2, 15, 22, 39, 129, 83, 617, 53, 9, 31], [22, 20, 27, 45, 65, 132, 83, 507, 15, 84], [135, 108, 15, 14, 10, 21, 26, 23, 527, 121], [16, 230, 3, 23, 3, 25, 34, 59, 127, 480]]"
22,22,10,0.38924,0.4159,0.4159,"[[329, 70, 34, 18, 42, 27, 40, 70, 247, 123], [12, 597, 8, 10, 4, 9, 27, 34, 81, 218], [46, 24, 157, 35, 186, 196, 198, 116, 20, 22], [9, 29, 42, 89, 66, 295, 284, 118, 21, 47], [29, 17, 45, 26, 370, 94, 251, 123, 29, 16], [12, 25, 42, 52, 90, 436, 198, 105, 19, 21], [1, 14, 23, 25, 145, 67, 642, 52, 4, 27], [12, 16, 26, 27, 91, 133, 91, 521, 16, 67], [93, 110, 11, 11, 12, 14, 41, 31, 527, 150], [9, 222, 9, 12, 5, 19, 44, 76, 113, 491]]"
23,23,10,0.38504,0.4172,0.4172,"[[343, 67, 55, 18, 41, 40, 47, 79, 227, 83], [16, 588, 7, 2, 5, 30, 24, 34, 99, 195], [35, 24, 200, 26, 146, 251, 178, 102, 24, 14], [11, 29, 52, 81, 42, 375, 248, 101, 19, 42], [28, 19, 65, 23, 318, 127, 266, 116, 28, 10], [8, 20, 47, 49, 67, 527, 162, 87, 19, 14], [1, 17, 23, 27, 125, 93, 639, 50, 6, 19], [14, 11, 37, 24, 69, 171, 91, 519, 15, 49], [103, 111, 14, 13, 19, 30, 40, 33, 529, 108], [21, 225, 7, 10, 3, 41, 43, 85, 137, 428]]"
24,24,10,0.38788,0.4187,0.4187,"[[373, 50, 45, 15, 42, 44, 41, 82, 210, 98], [21, 510, 6, 5, 2, 32, 23, 44, 100, 257], [41, 17, 190, 25, 143, 265, 169, 107, 23, 20], [9, 20, 40, 68, 46, 397, 254, 102, 19, 45], [32, 10, 49, 22, 319, 157, 243, 127, 25, 16], [8, 17, 32, 40, 65, 556, 148, 95, 24, 15], [1, 9, 20, 25, 128, 113, 624, 50, 7, 23], [14, 7, 28, 29, 61, 178, 87, 532, 15, 49], [115, 86, 11, 13, 19, 28, 38, 36, 512, 142], [20, 156, 6, 10, 4, 37, 45, 93, 126, 503]]"
