,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0.15678,0.1519,0.1519,"[[4, 0, 0, 7, 26, 65, 1, 0, 710, 187], [0, 0, 0, 4, 15, 183, 0, 0, 540, 258], [1, 1, 0, 8, 30, 232, 1, 0, 456, 271], [2, 1, 0, 36, 50, 320, 1, 0, 300, 290], [0, 1, 0, 13, 23, 368, 2, 0, 288, 305], [2, 0, 0, 25, 60, 269, 0, 0, 401, 243], [0, 0, 0, 6, 21, 465, 2, 0, 220, 286], [0, 0, 0, 21, 34, 210, 0, 0, 306, 429], [2, 0, 0, 9, 21, 102, 0, 0, 701, 165], [0, 0, 0, 7, 7, 66, 2, 0, 434, 484]]"
1,1,5,0.23284,0.2411,0.2411,"[[445, 14, 4, 33, 2, 48, 14, 12, 330, 98], [118, 54, 6, 33, 4, 136, 68, 37, 394, 150], [224, 28, 21, 137, 5, 227, 146, 49, 67, 96], [140, 13, 17, 234, 12, 271, 103, 50, 42, 118], [102, 19, 12, 190, 21, 216, 246, 62, 45, 87], [185, 23, 13, 199, 14, 283, 98, 51, 53, 81], [58, 20, 11, 123, 10, 268, 356, 60, 17, 77], [92, 29, 12, 187, 7, 137, 79, 93, 87, 277], [196, 6, 3, 29, 0, 80, 1, 12, 527, 146], [96, 14, 6, 38, 1, 40, 44, 46, 338, 377]]"
2,2,5,0.2656,0.2778,0.2778,"[[499, 41, 0, 15, 1, 33, 46, 42, 183, 140], [113, 189, 2, 12, 5, 94, 125, 55, 232, 173], [173, 48, 2, 58, 23, 124, 386, 77, 29, 80], [83, 32, 4, 114, 29, 200, 318, 106, 18, 96], [77, 10, 2, 51, 44, 86, 560, 70, 28, 72], [93, 42, 4, 98, 26, 251, 300, 88, 38, 60], [28, 13, 0, 44, 13, 78, 675, 104, 4, 41], [54, 45, 2, 76, 46, 90, 228, 188, 34, 237], [248, 43, 0, 13, 4, 69, 15, 25, 379, 204], [83, 50, 0, 20, 4, 36, 87, 71, 212, 437]]"
3,3,5,0.2887,0.3098,0.3098,"[[458, 60, 1, 29, 7, 30, 41, 56, 192, 126], [78, 305, 1, 12, 4, 72, 115, 55, 190, 168], [142, 58, 1, 81, 76, 126, 334, 91, 33, 58], [46, 36, 5, 121, 57, 217, 289, 124, 25, 80], [62, 13, 0, 53, 132, 94, 478, 82, 30, 56], [42, 57, 4, 92, 65, 291, 272, 95, 34, 48], [16, 17, 0, 38, 50, 84, 650, 108, 2, 35], [33, 57, 0, 68, 97, 102, 179, 271, 27, 166], [180, 78, 0, 10, 1, 70, 16, 43, 418, 184], [49, 77, 0, 22, 6, 34, 79, 69, 213, 451]]"
4,4,5,0.31548,0.3393,0.3393,"[[454, 74, 6, 17, 19, 37, 30, 74, 181, 108], [71, 400, 3, 7, 16, 46, 76, 40, 153, 188], [124, 54, 18, 65, 220, 127, 210, 104, 33, 45], [40, 33, 21, 81, 133, 246, 220, 130, 22, 74], [57, 15, 8, 40, 312, 96, 312, 98, 26, 36], [29, 46, 12, 65, 134, 340, 200, 114, 25, 35], [10, 14, 6, 27, 142, 86, 575, 97, 3, 40], [30, 59, 7, 40, 161, 101, 119, 340, 22, 121], [170, 86, 1, 5, 7, 65, 13, 51, 415, 187], [45, 122, 7, 18, 8, 31, 56, 80, 175, 458]]"
5,5,5,0.34174,0.371,0.371,"[[518, 90, 17, 18, 18, 9, 30, 54, 165, 81], [64, 509, 6, 15, 10, 15, 48, 29, 114, 190], [132, 67, 52, 112, 188, 79, 192, 112, 28, 38], [54, 48, 32, 187, 81, 173, 193, 124, 22, 86], [67, 30, 19, 75, 307, 52, 277, 112, 33, 28], [39, 62, 36, 138, 78, 282, 189, 114, 25, 37], [12, 28, 11, 56, 130, 60, 556, 83, 7, 57], [38, 85, 19, 68, 106, 68, 98, 384, 22, 112], [214, 112, 2, 24, 7, 25, 12, 30, 444, 130], [47, 176, 6, 29, 5, 12, 40, 59, 155, 471]]"
6,6,5,0.37012,0.3933,0.3933,"[[418, 88, 42, 14, 20, 12, 24, 57, 237, 88], [26, 575, 6, 15, 8, 24, 35, 33, 97, 181], [86, 58, 119, 87, 166, 114, 184, 117, 35, 34], [29, 50, 62, 140, 53, 238, 180, 124, 32, 92], [45, 35, 66, 45, 289, 67, 265, 122, 43, 23], [18, 45, 61, 112, 50, 364, 158, 122, 31, 39], [3, 25, 32, 50, 139, 64, 548, 73, 11, 55], [22, 71, 41, 55, 86, 94, 67, 442, 22, 100], [112, 126, 12, 16, 8, 35, 10, 23, 548, 110], [17, 206, 6, 25, 2, 18, 38, 62, 136, 490]]"
7,7,5,0.3877,0.4179,0.4179,"[[501, 94, 39, 18, 20, 10, 19, 52, 182, 65], [35, 632, 3, 17, 8, 15, 24, 27, 82, 157], [82, 57, 135, 113, 160, 94, 169, 128, 31, 31], [35, 66, 53, 221, 35, 186, 168, 107, 36, 93], [49, 45, 74, 71, 293, 45, 238, 125, 40, 20], [16, 48, 56, 180, 38, 337, 137, 111, 33, 44], [3, 32, 27, 76, 126, 48, 566, 55, 11, 56], [27, 67, 48, 64, 66, 78, 55, 480, 17, 98], [158, 135, 10, 19, 9, 24, 12, 19, 529, 85], [32, 220, 4, 34, 1, 13, 29, 56, 126, 485]]"
8,8,5,0.38512,0.4157,0.4157,"[[533, 98, 33, 14, 10, 8, 14, 32, 177, 81], [30, 661, 1, 19, 2, 13, 9, 23, 96, 146], [101, 80, 170, 128, 77, 111, 135, 126, 28, 44], [48, 92, 56, 274, 7, 207, 100, 75, 31, 110], [63, 63, 79, 93, 177, 71, 214, 165, 41, 34], [34, 66, 48, 225, 8, 354, 55, 117, 33, 60], [12, 67, 39, 135, 47, 77, 473, 63, 17, 70], [33, 95, 39, 89, 18, 86, 20, 478, 17, 125], [164, 143, 13, 12, 4, 21, 3, 9, 537, 94], [28, 252, 5, 33, 0, 5, 15, 39, 123, 500]]"
9,9,5,0.41254,0.4521,0.4521,"[[458, 75, 47, 13, 32, 12, 27, 33, 247, 56], [21, 649, 3, 16, 7, 16, 27, 28, 93, 140], [70, 36, 189, 82, 179, 86, 194, 93, 38, 33], [20, 51, 58, 201, 39, 205, 233, 77, 36, 80], [44, 37, 82, 38, 343, 39, 253, 97, 45, 22], [13, 41, 66, 118, 43, 384, 168, 98, 35, 34], [2, 20, 32, 48, 126, 26, 661, 36, 15, 34], [21, 59, 39, 46, 73, 84, 68, 516, 23, 71], [94, 113, 13, 9, 13, 27, 15, 13, 637, 66], [25, 223, 7, 25, 3, 12, 43, 46, 133, 483]]"
