round, train_acc, test_acc, f1, time_stamp
0, 0, 0.3675, 0, 8839.531978845596
1, 0, 0.4868, 0, 19052.054201602936
2, 0, 0.5273, 0, 29228.200086593628
3, 0, 0.556, 0, 37453.09984898567
4, 0, 0.5702, 0, 45708.039875268936
5, 0, 0.5887, 0, 54059.782663583755
6, 0, 0.6025, 0, 62328.370366573334
7, 0, 0.6206, 0, 70742.39932179451
8, 0, 0.6218, 0, 76895.26079845428
9, 0, 0.6302, 0, 82650.46159934998
10, 0, 0.6389, 0, 88457.12397742271
11, 0, 0.644, 0, 94237.67192935944
12, 0, 0.6454, 0, 100038.54105687141
13, 0, 0.6485, 0, 105980.99282932281
14, 0, 0.6516, 0, 111747.14811062813
15, 0, 0.6547, 0, 117451.42711758614
16, 0, 0.6554, 0, 123071.56976032257
17, 0, 0.6579, 0, 128765.0765247345
18, 0, 0.6578, 0, 134573.09724593163
19, 0, 0.6612, 0, 140339.0160496235
20, 0, 0.6608, 0, 146212.19668579102
21, 0, 0.6657, 0, 152986.18564677238
22, 0, 0.6676, 0, 160070.58813023567
23, 0, 0.6659, 0, 168893.64535951614
24, 0, 0.6694, 0, 176764.15478539467
25, 0, 0.6735, 0, 183384.86977767944
26, 0, 0.6736, 0, 189154.29679179192
27, 0, 0.6745, 0, 195058.09310150146
28, 0, 0.6718, 0, 200883.84918141365
29, 0, 0.6749, 0, 206759.75471043587
30, 0, 0.6746, 0, 212648.1558661461
31, 0, 0.6769, 0, 218476.39410305023
32, 0, 0.6756, 0, 224118.79944825172
33, 0, 0.677, 0, 229818.14537596703
34, 0, 0.6742, 0, 235570.36669397354
35, 0, 0.6795, 0, 241196.744918108
36, 0, 0.682, 0, 246800.68412470818
37, 0, 0.6799, 0, 253155.18976259232
38, 0, 0.6779, 0, 259084.7510035038
39, 0, 0.6809, 0, 264671.65668940544
40, 0, 0.6795, 0, 271340.5004425049
41, 0, 0.6795, 0, 279466.3660492897
42, 0, 0.6817, 0, 289206.15913796425
43, 0, 0.6807, 0, 299777.2942535877
44, 0, 0.6825, 0, 310180.4842329025
45, 0, 0.683, 0, 320527.51311278343
46, 0, 0.6829, 0, 330866.38489985466
47, 0, 0.6792, 0, 340183.2836136818
48, 0, 0.6828, 0, 346627.7937479019
49, 0, 0.683, 0, 354481.1482281685
