round, train_acc, test_acc, f1, time_stamp
0, 0.22986, 0.2278, 0.2278, 817.6177942752838
1, 0.25394, 0.2692, 0.2692, 1625.3046267032623
2, 0.30176, 0.3286, 0.3286, 2437.420548915863
3, 0.33302, 0.3609, 0.3609, 3248.0721950531006
4, 0.36164, 0.3913, 0.3913, 4057.36385345459
5, 0.3871, 0.4242, 0.4242, 4864.887752532959
6, 0.39534, 0.4371, 0.4371, 5671.398302793503
7, 0.409, 0.4526, 0.4526, 6477.566368103027
8, 0.40936, 0.4494, 0.4494, 7290.462008476257
9, 0.4259, 0.4634, 0.4634, 8100.710641384125
10, 0.4064, 0.4449, 0.4449, 8913.056814670563
11, 0.42566, 0.4653, 0.4653, 9735.03342795372
12, 0.40812, 0.4451, 0.4451, 10596.931525230408
13, 0.3672, 0.4057, 0.4057, 11430.816836118698
14, 0.1, 0.1, 0.1, 12307.211405992508
15, 0.1, 0.1, 0.1, 13182.598616361618
16, 0.1, 0.1, 0.1, 14021.13474702835
17, 0.1, 0.1, 0.1, 14850.304673433304
18, 0.1, 0.1, 0.1, 15674.908207654953
19, 0.1, 0.1, 0.1, 16497.051504135132
20, 0.1, 0.1, 0.1, 17325.14344382286
21, 0.1, 0.1, 0.1, 18155.111258268356
22, 0.1, 0.1, 0.1, 18989.15349841118
23, 0.1, 0.1, 0.1, 19796.75214290619
24, 0.1, 0.1, 0.1, 20607.061534404755
25, 0.1, 0.1, 0.1, 21417.088560819626
26, 0.1, 0.1, 0.1, 22205.306770324707
27, 0.1, 0.1, 0.1, 22992.706340789795
28, 0.1, 0.1, 0.1, 23780.47043967247
29, 0.1, 0.1, 0.1, 24566.77468585968
30, 0.1, 0.1, 0.1, 25352.578320264816
31, 0.1, 0.1, 0.1, 26140.875438928604
32, 0.1, 0.1, 0.1, 26931.7910220623
33, 0.1, 0.1, 0.1, 27731.917565345764
34, 0.1, 0.1, 0.1, 28527.135278463364
35, 0.1, 0.1, 0.1, 29323.722341775894
36, 0.1, 0.1, 0.1, 30127.90792822838
37, 0.1, 0.1, 0.1, 30932.794431209564
38, 0.1, 0.1, 0.1, 31739.12382555008
39, 0.1, 0.1, 0.1, 32549.92336678505
40, 0.1, 0.1, 0.1, 33362.62548112869
41, 0.1, 0.1, 0.1, 34159.38818979263
42, 0.1, 0.1, 0.1, 34953.10078883171
43, 0.1, 0.1, 0.1, 35747.99494123459
44, 0.1, 0.1, 0.1, 36541.913140535355
45, 0.1, 0.1, 0.1, 37338.21527314186
46, 0.1, 0.1, 0.1, 38143.33488559723
47, 0.1, 0.1, 0.1, 38947.39110183716
48, 0.1, 0.1, 0.1, 39748.84691238403
49, 0.1, 0.1, 0.1, 40551.298414707184
