round, train_acc, test_acc, f1, time_stamp
0, 0.15646, 0.1525, 0.1525, 675.076648235321
1, 0.21354, 0.2191, 0.2191, 1349.3864562511444
2, 0.22038, 0.2293, 0.2293, 2029.0431520938873
3, 0.26438, 0.2828, 0.2828, 2710.626729249954
4, 0.28016, 0.3013, 0.3013, 3391.8066079616547
5, 0.28736, 0.3054, 0.3054, 4071.693882226944
6, 0.31532, 0.3407, 0.3407, 4752.490040779114
7, 0.33458, 0.3607, 0.3607, 5431.2788002491
8, 0.35382, 0.386, 0.386, 6110.1107885837555
9, 0.3612, 0.3936, 0.3936, 6789.596351623535
10, 0.37932, 0.4123, 0.4123, 7468.408509492874
11, 0.3923, 0.424, 0.424, 8147.760988235474
12, 0.3977, 0.429, 0.429, 8826.014787912369
13, 0.38554, 0.4184, 0.4184, 9503.201281309128
14, 0.39764, 0.4334, 0.4334, 10182.098276376724
15, 0.12486, 0.1288, 0.1288, 10859.460780858994
16, 0.1, 0.1, 0.1, 11530.122758865356
17, 0.1, 0.1, 0.1, 12195.81598520279
18, 0.1, 0.1, 0.1, 12864.41248369217
19, 0.1, 0.1, 0.1, 13531.191401720047
20, 0.1, 0.1, 0.1, 14199.77979016304
21, 0.1, 0.1, 0.1, 14867.340523958206
22, 0.1, 0.1, 0.1, 15534.995684862137
23, 0.1, 0.1, 0.1, 16202.578914880753
24, 0.1, 0.1, 0.1, 16870.15040588379
25, 0.1, 0.1, 0.1, 17540.49319601059
26, 0.1, 0.1, 0.1, 18216.99887561798
27, 0.1, 0.1, 0.1, 18889.58653640747
28, 0.1, 0.1, 0.1, 19561.09155869484
29, 0.1, 0.1, 0.1, 20234.918447971344
30, 0.1, 0.1, 0.1, 20907.28808617592
31, 0.1, 0.1, 0.1, 21578.13618159294
32, 0.1, 0.1, 0.1, 22250.404491901398
33, 0.1, 0.1, 0.1, 22923.89664030075
34, 0.1, 0.1, 0.1, 23596.61735844612
35, 0.1, 0.1, 0.1, 24267.532672405243
36, 0.1, 0.1, 0.1, 24940.710525512695
37, 0.1, 0.1, 0.1, 25613.846029043198
38, 0.1, 0.1, 0.1, 26294.800622940063
39, 0.1, 0.1, 0.1, 26972.740663528442
40, 0.1, 0.1, 0.1, 27653.151709794998
41, 0.1, 0.1, 0.1, 28331.708176851273
42, 0.1, 0.1, 0.1, 29009.837465286255
43, 0.1, 0.1, 0.1, 29685.933733940125
44, 0.1, 0.1, 0.1, 30363.58096885681
45, 0.1, 0.1, 0.1, 31044.19720840454
46, 0.1, 0.1, 0.1, 31730.11319899559
47, 0.1, 0.1, 0.1, 32424.68471956253
48, 0.1, 0.1, 0.1, 33104.02709579468
49, 0.1, 0.1, 0.1, 33786.10523414612
