round, train_acc, test_acc, f1, time_stamp
0, 0.32466, 0.3542, 0.3542, 613.5927307605743
1, 0.4457, 0.4862, 0.4862, 1226.8630850315094
2, 0.48336, 0.5229, 0.5229, 1840.166300535202
3, 0.50864, 0.5454, 0.5454, 2453.99663066864
4, 0.5307, 0.5626, 0.5626, 3066.82456946373
5, 0.54736, 0.572, 0.572, 3680.230650663376
6, 0.56142, 0.5868, 0.5868, 4293.325970411301
7, 0.57774, 0.5947, 0.5947, 4906.688563108444
8, 0.58576, 0.6067, 0.6067, 5519.98172211647
9, 0.59034, 0.6096, 0.6096, 6132.964999914169
10, 0.59926, 0.6174, 0.6174, 6744.3254108428955
11, 0.60752, 0.6221, 0.6221, 7355.211591720581
12, 0.61148, 0.6274, 0.6274, 7966.578916549683
13, 0.6163, 0.6312, 0.6312, 8577.958728075027
14, 0.62262, 0.6357, 0.6357, 9189.194240808487
15, 0.62316, 0.6374, 0.6374, 9796.376029968262
16, 0.62832, 0.6355, 0.6355, 10401.483943939209
17, 0.63234, 0.6363, 0.6363, 11006.975305557251
18, 0.63732, 0.6432, 0.6432, 11611.724071264267
19, 0.63732, 0.6448, 0.6448, 12216.72112607956
20, 0.63752, 0.6435, 0.6435, 12821.65466761589
21, 0.6421, 0.6461, 0.6461, 13426.13147687912
22, 0.64162, 0.6449, 0.6449, 14030.922338962555
23, 0.6466, 0.6471, 0.6471, 14635.201852321625
24, 0.64666, 0.6506, 0.6506, 15240.576590776443
25, 0.65046, 0.6511, 0.6511, 15845.634697675705
26, 0.65248, 0.6491, 0.6491, 16450.803063869476
27, 0.65404, 0.6546, 0.6546, 17055.488253355026
28, 0.65286, 0.6538, 0.6538, 17661.001242876053
29, 0.65578, 0.6507, 0.6507, 18266.057654857635
30, 0.65538, 0.6532, 0.6532, 18870.936487436295
31, 0.65566, 0.6546, 0.6546, 19475.67110133171
32, 0.65968, 0.6528, 0.6528, 20080.654465436935
33, 0.65776, 0.6565, 0.6565, 20685.67969751358
34, 0.66504, 0.6569, 0.6569, 21290.615755558014
35, 0.66292, 0.6594, 0.6594, 21895.41288948059
36, 0.66614, 0.6586, 0.6586, 22500.61465883255
37, 0.66372, 0.6592, 0.6592, 23105.411641836166
38, 0.66448, 0.661, 0.661, 23931.418291330338
39, 0.6677, 0.6618, 0.6618, 24695.23050069809
40, 0.66838, 0.6641, 0.6641, 25301.00057554245
41, 0.66898, 0.6596, 0.6596, 25907.02932691574
42, 0.6708, 0.663, 0.663, 26513.258641958237
43, 0.6686, 0.6642, 0.6642, 27119.14795589447
44, 0.66976, 0.6622, 0.6622, 27724.74975323677
45, 0.67124, 0.6605, 0.6605, 28330.689115285873
46, 0.67154, 0.6602, 0.6602, 28936.641783475876
47, 0.67228, 0.6618, 0.6618, 29543.122905254364
48, 0.67216, 0.6659, 0.6659, 30148.80128455162
49, 0.67086, 0.665, 0.665, 30754.48037624359
