,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.3687,0,0
1,1,5,0,0.4893,0,0
2,2,5,0,0.5278,0,0
3,3,5,0,0.549,0,0
4,4,5,0,0.5735,0,0
5,5,5,0,0.5878,0,0
6,6,5,0,0.6051,0,0
7,7,5,0,0.6157,0,0
8,8,5,0,0.6274,0,0
9,9,5,0,0.6332,0,0
10,10,5,0,0.6367,0,0
11,11,5,0,0.6441,0,0
12,12,5,0,0.6477,0,0
13,13,5,0,0.6526,0,0
14,14,5,0,0.6582,0,0
15,15,5,0,0.6573,0,0
16,16,5,0,0.6616,0,0
17,17,5,0,0.6642,0,0
18,18,5,0,0.6657,0,0
19,19,5,0,0.6688,0,0
20,20,5,0,0.6692,0,0
21,21,5,0,0.6715,0,0
22,22,5,0,0.6726,0,0
23,23,5,0,0.6746,0,0
24,24,5,0,0.6764,0,0
25,25,5,0,0.679,0,0
26,26,5,0,0.6812,0,0
27,27,5,0,0.6806,0,0
28,28,5,0,0.682,0,0
29,29,5,0,0.6819,0,0
30,30,5,0,0.6839,0,0
31,31,5,0,0.6847,0,0
32,32,5,0,0.6856,0,0
33,33,5,0,0.6851,0,0
34,34,5,0,0.6825,0,0
35,35,5,0,0.6854,0,0
36,36,5,0,0.6867,0,0
37,37,5,0,0.6885,0,0
38,38,5,0,0.6901,0,0
39,39,5,0,0.6897,0,0
40,40,5,0,0.6919,0,0
41,41,5,0,0.6922,0,0
42,42,5,0,0.6898,0,0
43,43,5,0,0.6935,0,0
44,44,5,0,0.6922,0,0
45,45,5,0,0.6956,0,0
46,46,5,0,0.6946,0,0
47,47,5,0,0.6953,0,0
48,48,5,0,0.6962,0,0
49,49,5,0,0.6935,0,0
