round, train_acc, test_acc, f1, time_stamp
0, 0, 0.2085, 0, 3780.459140062332
1, 0, 0.3287, 0, 7555.129957437515
2, 0, 0.4711, 0, 11359.886216640472
3, 0, 0.2755, 0, 15154.305053472519
4, 0, 0.4967, 0, 18947.60734820366
5, 0, 0.5244, 0, 22742.515310287476
6, 0, 0.6067, 0, 26542.378952026367
7, 0, 0.5648, 0, 30339.937972068787
8, 0, 0.5286, 0, 34143.087332487106
9, 0, 0.5817, 0, 37938.446664094925
10, 0, 0.6452, 0, 41724.20212459564
11, 0, 0.6574, 0, 45503.96821498871
12, 0, 0.629, 0, 49281.95578408241
13, 0, 0.6642, 0, 53068.29881429672
14, 0, 0.6072, 0, 56853.84562253952
15, 0, 0.6459, 0, 60632.692004442215
16, 0, 0.6537, 0, 64415.671251297
17, 0, 0.6442, 0, 68184.72000098228
18, 0, 0.6673, 0, 71945.8483839035
19, 0, 0.6278, 0, 75704.7451710701
20, 0, 0.6814, 0, 79463.27830767632
21, 0, 0.5937, 0, 83222.11466693878
22, 0, 0.6461, 0, 86977.29374480247
23, 0, 0.6721, 0, 90736.06571221352
24, 0, 0.677, 0, 94492.09496641159
25, 0, 0.6535, 0, 98251.92229866982
26, 0, 0.6943, 0, 102696.65970945358
27, 0, 0.6724, 0, 107146.6020796299
28, 0, 0.6085, 0, 111577.11822342873
29, 0, 0.681, 0, 117048.243090868
30, 0, 0.6776, 0, 121510.10016107559
31, 0, 0.6657, 0, 125972.32130789757
32, 0, 0.6468, 0, 130434.31189250946
33, 0, 0.6672, 0, 134893.59055495262
34, 0, 0.6959, 0, 139333.92412686348
35, 0, 0.6953, 0, 143619.99441242218
36, 0, 0.6952, 0, 147457.8004181385
37, 0, 0.6849, 0, 151250.4083287716
38, 0, 0.6882, 0, 155043.53084039688
39, 0, 0.6724, 0, 158842.88740944862
40, 0, 0.6933, 0, 162636.80860710144
41, 0, 0.6629, 0, 166436.2362627983
42, 0, 0.6853, 0, 170232.7536714077
43, 0, 0.6778, 0, 174035.29987812042
44, 0, 0.6841, 0, 177839.43645381927
45, 0, 0.6994, 0, 181630.08574008942
46, 0, 0.6617, 0, 185386.3541584015
47, 0, 0.6702, 0, 189137.6167898178
48, 0, 0.6206, 0, 192884.64793038368
49, 0, 0.6952, 0, 196629.7771806717
