,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.2869,0,0
1,1,5,0,0.3783,0,0
2,2,5,0,0.4349,0,0
3,3,5,0,0.4761,0,0
4,4,5,0,0.5083,0,0
5,5,5,0,0.5277,0,0
6,6,5,0,0.5265,0,0
7,7,5,0,0.5474,0,0
8,8,5,0,0.5591,0,0
9,9,5,0,0.5672,0,0
10,10,5,0,0.5785,0,0
11,11,5,0,0.5867,0,0
12,12,5,0,0.5965,0,0
13,13,5,0,0.6031,0,0
14,14,5,0,0.6078,0,0
15,15,5,0,0.6109,0,0
16,16,5,0,0.6178,0,0
17,17,5,0,0.6224,0,0
18,18,5,0,0.624,0,0
19,19,5,0,0.6308,0,0
20,20,5,0,0.634,0,0
21,21,5,0,0.6373,0,0
22,22,5,0,0.6383,0,0
23,23,5,0,0.6418,0,0
24,24,5,0,0.6328,0,0
25,25,5,0,0.6471,0,0
26,26,5,0,0.6496,0,0
27,27,5,0,0.6545,0,0
28,28,5,0,0.6511,0,0
29,29,5,0,0.6567,0,0
30,30,5,0,0.6586,0,0
31,31,5,0,0.6587,0,0
32,32,5,0,0.6599,0,0
33,33,5,0,0.665,0,0
34,34,5,0,0.6677,0,0
35,35,5,0,0.668,0,0
36,36,5,0,0.6676,0,0
37,37,5,0,0.6697,0,0
38,38,5,0,0.662,0,0
39,39,5,0,0.6725,0,0
40,40,5,0,0.672,0,0
41,41,5,0,0.6732,0,0
42,42,5,0,0.6718,0,0
43,43,5,0,0.6741,0,0
44,44,5,0,0.6773,0,0
45,45,5,0,0.6767,0,0
46,46,5,0,0.678,0,0
47,47,5,0,0.6787,0,0
48,48,5,0,0.6746,0,0
49,49,5,0,0.6771,0,0
