,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.2268,0.2357,"[[0, 71, 21, 2, 16, 79, 5, 25, 646, 135], [1, 228, 42, 10, 39, 99, 17, 38, 349, 177], [0, 66, 149, 7, 166, 171, 66, 66, 200, 109], [0, 50, 92, 24, 206, 264, 20, 108, 95, 141], [0, 39, 129, 17, 296, 141, 96, 97, 89, 96], [1, 78, 86, 11, 172, 312, 19, 94, 129, 98], [1, 42, 142, 16, 306, 122, 147, 96, 21, 107], [0, 83, 49, 12, 156, 156, 12, 173, 110, 249], [1, 72, 11, 6, 13, 115, 0, 12, 611, 159], [0, 84, 45, 4, 24, 45, 13, 47, 321, 417]]"
1,1,0.26948,0.2836,"[[121, 68, 0, 5, 5, 37, 34, 39, 544, 147], [9, 265, 0, 2, 5, 52, 84, 57, 333, 193], [43, 81, 0, 27, 72, 153, 303, 108, 146, 67], [32, 50, 0, 31, 73, 266, 214, 148, 75, 111], [28, 25, 1, 22, 136, 110, 449, 98, 62, 69], [30, 63, 0, 24, 87, 302, 195, 115, 122, 62], [12, 34, 0, 20, 55, 96, 605, 113, 15, 50], [18, 106, 1, 14, 91, 99, 121, 288, 69, 193], [26, 62, 0, 6, 1, 56, 10, 22, 614, 203], [9, 72, 2, 8, 9, 33, 59, 57, 277, 474]]"
2,2,0.30862,0.3354,"[[442, 49, 0, 2, 13, 52, 30, 58, 295, 59], [50, 296, 1, 1, 9, 48, 77, 43, 311, 164], [136, 57, 2, 18, 228, 200, 170, 111, 51, 27], [81, 32, 2, 13, 146, 329, 152, 144, 46, 55], [62, 13, 1, 7, 366, 146, 232, 106, 37, 30], [81, 39, 3, 13, 159, 389, 136, 110, 47, 23], [18, 24, 2, 15, 209, 123, 478, 91, 11, 29], [74, 45, 1, 7, 153, 148, 66, 372, 46, 88], [137, 56, 0, 4, 2, 66, 12, 25, 581, 117], [44, 78, 0, 4, 7, 41, 70, 51, 290, 415]]"
3,3,0.33892,0.3698,"[[564, 61, 1, 7, 12, 37, 33, 63, 147, 75], [88, 452, 0, 6, 7, 24, 47, 28, 128, 220], [142, 58, 18, 40, 225, 129, 204, 138, 22, 24], [81, 47, 6, 68, 117, 234, 220, 137, 19, 71], [76, 20, 9, 21, 370, 92, 254, 124, 13, 21], [71, 42, 12, 39, 138, 344, 171, 131, 22, 30], [15, 28, 9, 41, 165, 63, 560, 69, 6, 44], [71, 46, 2, 19, 143, 110, 74, 440, 16, 79], [265, 85, 1, 10, 3, 46, 14, 24, 394, 158], [80, 129, 0, 15, 7, 18, 62, 44, 157, 488]]"
4,4,0.36858,0.4011,"[[501, 91, 7, 18, 8, 36, 23, 76, 145, 95], [30, 578, 0, 10, 6, 22, 20, 26, 81, 227], [94, 65, 48, 81, 196, 135, 189, 141, 22, 29], [36, 54, 17, 161, 62, 257, 183, 134, 9, 87], [57, 28, 23, 45, 349, 92, 222, 141, 16, 27], [26, 34, 28, 114, 75, 401, 125, 139, 15, 43], [6, 31, 18, 74, 137, 63, 552, 63, 6, 50], [40, 52, 8, 44, 106, 117, 51, 484, 9, 89], [194, 120, 1, 19, 1, 42, 12, 26, 398, 187], [36, 198, 0, 29, 4, 11, 31, 43, 109, 539]]"
5,5,0.38966,0.4292,"[[478, 97, 31, 22, 14, 20, 14, 40, 189, 95], [20, 616, 2, 15, 4, 18, 13, 18, 88, 206], [85, 57, 159, 112, 178, 119, 111, 120, 29, 30], [33, 51, 50, 309, 39, 216, 110, 96, 11, 85], [52, 33, 81, 76, 353, 61, 137, 154, 27, 26], [27, 32, 69, 196, 36, 397, 64, 120, 21, 38], [5, 33, 53, 137, 162, 51, 444, 57, 5, 53], [36, 46, 24, 77, 70, 109, 29, 510, 11, 88], [157, 118, 2, 23, 9, 26, 5, 13, 499, 148], [29, 216, 2, 39, 5, 8, 21, 42, 111, 527]]"
6,6,0.40184,0.4377,"[[485, 103, 29, 20, 15, 13, 13, 35, 208, 79], [20, 670, 2, 11, 2, 17, 8, 23, 88, 159], [95, 55, 141, 124, 158, 121, 110, 134, 30, 32], [30, 54, 29, 335, 20, 232, 92, 95, 14, 99], [56, 42, 51, 91, 305, 61, 147, 185, 30, 32], [25, 36, 38, 220, 27, 409, 52, 126, 21, 46], [6, 32, 36, 157, 121, 58, 449, 66, 6, 69], [36, 46, 12, 84, 45, 100, 23, 551, 15, 88], [145, 129, 6, 16, 6, 25, 5, 13, 540, 115], [32, 269, 1, 23, 5, 6, 15, 38, 119, 492]]"
7,7,0.4144,0.452,"[[505, 81, 31, 17, 15, 12, 14, 24, 210, 91], [19, 637, 3, 8, 2, 16, 10, 15, 95, 195], [96, 51, 190, 107, 153, 115, 114, 110, 32, 32], [36, 55, 42, 315, 15, 224, 120, 83, 17, 93], [62, 42, 72, 85, 315, 54, 167, 146, 30, 27], [24, 34, 59, 193, 25, 414, 64, 116, 25, 46], [6, 28, 47, 157, 105, 44, 507, 44, 7, 55], [41, 49, 22, 70, 48, 105, 27, 530, 19, 89], [144, 123, 7, 15, 5, 19, 6, 15, 558, 108], [27, 218, 6, 25, 4, 10, 18, 28, 115, 549]]"
8,8,0.42468,0.4637,"[[473, 79, 44, 23, 21, 17, 22, 33, 210, 78], [11, 665, 8, 11, 3, 19, 15, 21, 77, 170], [70, 37, 171, 105, 176, 131, 163, 94, 23, 30], [20, 40, 48, 323, 21, 231, 174, 71, 13, 59], [48, 28, 52, 80, 324, 62, 241, 115, 30, 20], [12, 25, 48, 204, 35, 427, 99, 102, 23, 25], [2, 23, 30, 127, 88, 40, 613, 29, 7, 41], [26, 31, 24, 81, 58, 121, 40, 544, 13, 62], [109, 121, 14, 17, 10, 29, 12, 13, 572, 103], [23, 243, 7, 35, 5, 15, 29, 35, 83, 525]]"
9,9,0.43462,0.4704,"[[476, 70, 47, 24, 27, 16, 19, 37, 215, 69], [14, 638, 7, 14, 5, 18, 19, 22, 101, 162], [72, 34, 201, 94, 190, 138, 123, 97, 24, 27], [17, 37, 45, 305, 38, 257, 145, 70, 10, 76], [36, 24, 65, 77, 351, 67, 189, 138, 33, 20], [13, 24, 47, 177, 38, 458, 76, 112, 22, 33], [2, 24, 28, 129, 111, 45, 585, 33, 7, 36], [22, 24, 27, 75, 61, 126, 24, 563, 15, 63], [112, 98, 18, 15, 14, 26, 11, 16, 604, 86], [22, 221, 11, 27, 5, 11, 28, 50, 102, 523]]"
