round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 36.60597491264343
1, 0.1, 0.1, 0.1, 72.3481936454773
2, 0.1, 0.1, 0.1, 106.52638721466064
3, 0.1, 0.1, 0.1, 141.00420379638672
4, 0.1, 0.1, 0.1, 175.10495710372925
5, 0.1, 0.1, 0.1, 209.65409660339355
6, 0.1, 0.1, 0.1, 243.9784791469574
7, 0.1, 0.1, 0.1, 278.4803261756897
8, 0.1, 0.1, 0.1, 313.29747009277344
9, 0.1, 0.1, 0.1, 347.81255316734314
10, 0.1, 0.1, 0.1, 382.5952434539795
11, 0.1, 0.1, 0.1, 417.33206272125244
12, 0.1, 0.1, 0.1, 451.75137853622437
13, 0.1, 0.1, 0.1, 485.8883695602417
14, 0.1, 0.1, 0.1, 520.806676864624
15, 0.1, 0.1, 0.1, 555.8156011104584
16, 0.1, 0.1, 0.1, 590.6212158203125
17, 0.1, 0.1, 0.1, 625.1176097393036
18, 0.1, 0.1, 0.1, 659.7341363430023
19, 0.1, 0.1, 0.1, 694.5187456607819
20, 0.1, 0.1, 0.1, 729.6964018344879
21, 0.1, 0.1, 0.1, 764.7333261966705
22, 0.1, 0.1, 0.1, 799.3786509037018
23, 0.1, 0.1, 0.1, 834.0214354991913
24, 0.1, 0.1, 0.1, 868.7749497890472
25, 0.10006, 0.1002, 0.1002, 903.3287742137909
26, 0.10182, 0.1032, 0.1032, 938.0886335372925
27, 0.11172, 0.1123, 0.1123, 972.9317200183868
28, 0.1028, 0.1023, 0.1023, 1007.9130125045776
29, 0.09944, 0.1, 0.1, 1043.485925912857
30, 0.0996, 0.0999, 0.0999, 1079.1829793453217
31, 0.09992, 0.0996, 0.0996, 1113.4656019210815
32, 0.10004, 0.0999, 0.0999, 1147.8541526794434
33, 0.10006, 0.1001, 0.1001, 1182.565083026886
34, 0.10048, 0.1005, 0.1005, 1216.8292388916016
35, 0.10196, 0.102, 0.102, 1251.4854669570923
36, 0.105, 0.1055, 0.1055, 1286.2750318050385
37, 0.11194, 0.1128, 0.1128, 1320.9672272205353
38, 0.12334, 0.1232, 0.1232, 1355.6534144878387
39, 0.13528, 0.1344, 0.1344, 1390.6737520694733
40, 0.14336, 0.1426, 0.1426, 1425.1255917549133
41, 0.14106, 0.1431, 0.1431, 1459.5207443237305
42, 0.13316, 0.1328, 0.1328, 1494.2571136951447
43, 0.11924, 0.1221, 0.1221, 1529.0512833595276
44, 0.10766, 0.1096, 0.1096, 1563.4450883865356
45, 0.10208, 0.1024, 0.1024, 1598.543779373169
46, 0.10038, 0.1005, 0.1005, 1633.4714715480804
47, 0.09998, 0.1, 0.1, 1667.6724112033844
48, 0.1, 0.1, 0.1, 1702.7579898834229
49, 0.1, 0.1, 0.1, 1737.9834899902344
50, 0.1, 0.1, 0.1, 1772.9419181346893
51, 0.1, 0.1, 0.1, 1807.2614061832428
52, 0.1, 0.1, 0.1, 1842.5551433563232
53, 0.1, 0.1, 0.1, 1877.4856781959534
54, 0.1, 0.1, 0.1, 1912.4473464488983
55, 0.1, 0.1, 0.1, 1947.2251262664795
56, 0.1, 0.1, 0.1, 1981.7383847236633
57, 0.1, 0.1, 0.1, 2017.9111063480377
58, 0.1, 0.1, 0.1, 2052.988813638687
59, 0.1, 0.1, 0.1, 2087.3305883407593
60, 0.1, 0.1, 0.1, 2121.8276946544647
61, 0.1, 0.1, 0.1, 2155.9843163490295
62, 0.1, 0.1, 0.1, 2190.4923803806305
63, 0.1, 0.1, 0.1, 2224.7687644958496
64, 0.1, 0.1, 0.1, 2259.4851536750793
65, 0.1, 0.1, 0.1, 2294.194911003113
66, 0.1, 0.1, 0.1, 2328.531150817871
67, 0.1, 0.1, 0.1, 2363.549872636795
68, 0.1, 0.1, 0.1, 2398.158807992935
69, 0.1, 0.1, 0.1, 2432.8002548217773
70, 0.1, 0.1, 0.1, 2467.1328258514404
71, 0.1, 0.1, 0.1, 2502.007213830948
72, 0.1, 0.1, 0.1, 2536.7607700824738
73, 0.1, 0.1, 0.1, 2572.297213792801
74, 0.1, 0.1, 0.1, 2607.099522590637
75, 0.1, 0.1, 0.1, 2641.9761798381805
76, 0.1, 0.1, 0.1, 2677.2134516239166
77, 0.1, 0.1, 0.1, 2712.1421489715576
78, 0.1, 0.1, 0.1, 2747.0701508522034
79, 0.1, 0.1, 0.1, 2782.0233216285706
80, 0.1, 0.1, 0.1, 2816.745990753174
81, 0.1, 0.1, 0.1, 2852.681298971176
82, 0.1, 0.1, 0.1, 2888.5515611171722
83, 0.1, 0.1, 0.1, 2923.053078174591
84, 0.1, 0.1, 0.1, 2957.5489740371704
85, 0.1, 0.1, 0.1, 2991.990166425705
86, 0.1, 0.1, 0.1, 3026.2700097560883
