,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.1,0,0
1,1,5,0,0.1,0,0
2,2,5,0,0.1,0,0
3,3,5,0,0.1005,0,0
4,4,5,0,0.1035,0,0
5,5,5,0,0.1,0,0
6,6,5,0,0.1,0,0
7,7,5,0,0.1,0,0
8,8,5,0,0.1,0,0
9,9,5,0,0.1,0,0
10,10,5,0,0.1,0,0
11,11,5,0,0.1,0,0
12,12,5,0,0.1,0,0
13,13,5,0,0.1027,0,0
14,14,5,0,0.1123,0,0
15,15,5,0,0.1195,0,0
16,16,5,0,0.1436,0,0
17,17,5,0,0.1557,0,0
18,18,5,0,0.1724,0,0
19,19,5,0,0.1769,0,0
20,20,5,0,0.1783,0,0
21,21,5,0,0.1562,0,0
22,22,5,0,0.1713,0,0
23,23,5,0,0.1754,0,0
24,24,5,0,0.1785,0,0
25,25,5,0,0.1777,0,0
26,26,5,0,0.1854,0,0
27,27,5,0,0.1861,0,0
28,28,5,0,0.189,0,0
29,29,5,0,0.2001,0,0
30,30,5,0,0.2081,0,0
31,31,5,0,0.2084,0,0
32,32,5,0,0.2101,0,0
33,33,5,0,0.2225,0,0
34,34,5,0,0.224,0,0
35,35,5,0,0.222,0,0
36,36,5,0,0.2262,0,0
37,37,5,0,0.2303,0,0
38,38,5,0,0.2289,0,0
39,39,5,0,0.2355,0,0
40,40,5,0,0.2349,0,0
41,41,5,0,0.2309,0,0
42,42,5,0,0.2442,0,0
43,43,5,0,0.2422,0,0
44,44,5,0,0.2462,0,0
45,45,5,0,0.2532,0,0
46,46,5,0,0.2601,0,0
47,47,5,0,0.2617,0,0
48,48,5,0,0.2738,0,0
49,49,5,0,0.2725,0,0
50,50,5,0,0.2787,0,0
51,51,5,0,0.2742,0,0
52,52,5,0,0.2806,0,0
53,53,5,0,0.2763,0,0
54,54,5,0,0.2836,0,0
55,55,5,0,0.2862,0,0
56,56,5,0,0.2883,0,0
57,57,5,0,0.2882,0,0
58,58,5,0,0.2977,0,0
59,59,5,0,0.3013,0,0
60,60,5,0,0.3011,0,0
61,61,5,0,0.3029,0,0
62,62,5,0,0.3017,0,0
63,63,5,0,0.3029,0,0
64,64,5,0,0.3082,0,0
65,65,5,0,0.3125,0,0
66,66,5,0,0.3194,0,0
67,67,5,0,0.3193,0,0
68,68,5,0,0.3153,0,0
69,69,5,0,0.3226,0,0
70,70,5,0,0.3194,0,0
71,71,5,0,0.3331,0,0
72,72,5,0,0.3285,0,0
73,73,5,0,0.3297,0,0
74,74,5,0,0.3385,0,0
75,75,5,0,0.3375,0,0
76,76,5,0,0.3391,0,0
77,77,5,0,0.3422,0,0
78,78,5,0,0.3483,0,0
79,79,5,0,0.3478,0,0
80,80,5,0,0.3486,0,0
81,81,5,0,0.3526,0,0
82,82,5,0,0.3574,0,0
83,83,5,0,0.3589,0,0
84,84,5,0,0.3597,0,0
85,85,5,0,0.362,0,0
86,86,5,0,0.3656,0,0
87,87,5,0,0.367,0,0
88,88,5,0,0.3626,0,0
89,89,5,0,0.3739,0,0
90,90,5,0,0.3692,0,0
91,91,5,0,0.374,0,0
92,92,5,0,0.3758,0,0
93,93,5,0,0.3784,0,0
94,94,5,0,0.3809,0,0
95,95,5,0,0.3811,0,0
96,96,5,0,0.3829,0,0
97,97,5,0,0.3836,0,0
98,98,5,0,0.3869,0,0
99,99,5,0,0.389,0,0
100,100,5,0,0.3901,0,0
101,101,5,0,0.391,0,0
102,102,5,0,0.3891,0,0
103,103,5,0,0.3931,0,0
104,104,5,0,0.3963,0,0
105,105,5,0,0.3954,0,0
106,106,5,0,0.4002,0,0
107,107,5,0,0.3988,0,0
108,108,5,0,0.4011,0,0
109,109,5,0,0.401,0,0
110,110,5,0,0.4013,0,0
111,111,5,0,0.4025,0,0
112,112,5,0,0.4042,0,0
113,113,5,0,0.4066,0,0
114,114,5,0,0.4072,0,0
115,115,5,0,0.4092,0,0
116,116,5,0,0.4096,0,0
117,117,5,0,0.412,0,0
118,118,5,0,0.411,0,0
119,119,5,0,0.4153,0,0
120,120,5,0,0.4141,0,0
121,121,5,0,0.4166,0,0
122,122,5,0,0.4163,0,0
123,123,5,0,0.4166,0,0
124,124,5,0,0.4193,0,0
125,125,5,0,0.4208,0,0
126,126,5,0,0.4208,0,0
127,127,5,0,0.4221,0,0
128,128,5,0,0.42,0,0
129,129,5,0,0.423,0,0
130,130,5,0,0.4226,0,0
131,131,5,0,0.4237,0,0
132,132,5,0,0.4253,0,0
133,133,5,0,0.426,0,0
134,134,5,0,0.4246,0,0
135,135,5,0,0.429,0,0
136,136,5,0,0.4275,0,0
137,137,5,0,0.4292,0,0
138,138,5,0,0.4305,0,0
139,139,5,0,0.4312,0,0
140,140,5,0,0.43,0,0
141,141,5,0,0.4332,0,0
142,142,5,0,0.4356,0,0
143,143,5,0,0.4341,0,0
144,144,5,0,0.4341,0,0
145,145,5,0,0.4359,0,0
146,146,5,0,0.4388,0,0
147,147,5,0,0.4399,0,0
148,148,5,0,0.4377,0,0
149,149,5,0,0.4387,0,0
150,150,5,0,0.4384,0,0
151,151,5,0,0.4421,0,0
152,152,5,0,0.4414,0,0
153,153,5,0,0.4435,0,0
154,154,5,0,0.4434,0,0
155,155,5,0,0.4451,0,0
156,156,5,0,0.4434,0,0
157,157,5,0,0.4432,0,0
158,158,5,0,0.4447,0,0
159,159,5,0,0.4456,0,0
160,160,5,0,0.4453,0,0
161,161,5,0,0.446,0,0
162,162,5,0,0.4471,0,0
163,163,5,0,0.4483,0,0
164,164,5,0,0.4468,0,0
165,165,5,0,0.4471,0,0
166,166,5,0,0.4483,0,0
167,167,5,0,0.4499,0,0
168,168,5,0,0.452,0,0
169,169,5,0,0.4536,0,0
170,170,5,0,0.4509,0,0
171,171,5,0,0.4514,0,0
172,172,5,0,0.4517,0,0
173,173,5,0,0.4538,0,0
174,174,5,0,0.4535,0,0
175,175,5,0,0.4515,0,0
176,176,5,0,0.4548,0,0
177,177,5,0,0.4538,0,0
178,178,5,0,0.4539,0,0
179,179,5,0,0.4546,0,0
180,180,5,0,0.4556,0,0
181,181,5,0,0.4533,0,0
182,182,5,0,0.4546,0,0
183,183,5,0,0.4584,0,0
184,184,5,0,0.4564,0,0
185,185,5,0,0.4562,0,0
186,186,5,0,0.4596,0,0
187,187,5,0,0.4597,0,0
188,188,5,0,0.4607,0,0
189,189,5,0,0.4594,0,0
190,190,5,0,0.4601,0,0
191,191,5,0,0.4595,0,0
192,192,5,0,0.4623,0,0
193,193,5,0,0.4611,0,0
194,194,5,0,0.4609,0,0
195,195,5,0,0.4615,0,0
196,196,5,0,0.462,0,0
197,197,5,0,0.4653,0,0
198,198,5,0,0.4639,0,0
199,199,5,0,0.4635,0,0
