round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 135.9132330417633
1, 0, 0.1, 0, 279.9500687122345
2, 0, 0.1, 0, 424.6386229991913
3, 0, 0.1005, 0, 566.9409966468811
4, 0, 0.1035, 0, 711.6978530883789
5, 0, 0.1, 0, 856.4169962406158
6, 0, 0.1, 0, 997.1390252113342
7, 0, 0.1, 0, 1141.2745523452759
8, 0, 0.1, 0, 1281.5213639736176
9, 0, 0.1, 0, 1421.91796875
10, 0, 0.1, 0, 1554.0697085857391
11, 0, 0.1, 0, 1683.5412085056305
12, 0, 0.1, 0, 1825.1885330677032
13, 0, 0.1027, 0, 1960.426381111145
14, 0, 0.1123, 0, 2096.907068967819
15, 0, 0.1195, 0, 2227.5682940483093
16, 0, 0.1436, 0, 2364.3599107265472
17, 0, 0.1557, 0, 2506.7261748313904
18, 0, 0.1724, 0, 2647.93643951416
19, 0, 0.1769, 0, 2781.8183603286743
20, 0, 0.1783, 0, 2916.4872274398804
21, 0, 0.1562, 0, 3046.497787952423
22, 0, 0.1713, 0, 3180.170063972473
23, 0, 0.1754, 0, 3304.7727177143097
24, 0, 0.1785, 0, 3430.75944852829
25, 0, 0.1777, 0, 3560.7828435897827
26, 0, 0.1854, 0, 3701.8776030540466
27, 0, 0.1861, 0, 3840.9424607753754
28, 0, 0.189, 0, 3980.9971010684967
29, 0, 0.2001, 0, 4113.732212781906
30, 0, 0.2081, 0, 4245.0090255737305
31, 0, 0.2084, 0, 4375.861778259277
32, 0, 0.2101, 0, 4501.164432287216
33, 0, 0.2225, 0, 4627.308205366135
34, 0, 0.224, 0, 4752.93631029129
35, 0, 0.222, 0, 4893.046369791031
36, 0, 0.2262, 0, 5031.963657855988
37, 0, 0.2303, 0, 5173.557205200195
38, 0, 0.2289, 0, 5298.7856957912445
39, 0, 0.2355, 0, 5436.273275613785
40, 0, 0.2349, 0, 5561.771499156952
41, 0, 0.2309, 0, 5694.387450933456
42, 0, 0.2442, 0, 5834.661604881287
43, 0, 0.2422, 0, 5975.6021592617035
44, 0, 0.2462, 0, 6105.820546865463
45, 0, 0.2532, 0, 6240.976176738739
46, 0, 0.2601, 0, 6373.106284618378
47, 0, 0.2617, 0, 6497.450829982758
48, 0, 0.2738, 0, 6623.853428840637
49, 0, 0.2725, 0, 6764.547127008438
50, 0, 0.2787, 0, 6904.998069524765
51, 0, 0.2742, 0, 7044.208585739136
52, 0, 0.2806, 0, 7173.310120582581
53, 0, 0.2763, 0, 7309.174603223801
54, 0, 0.2836, 0, 7441.164930105209
55, 0, 0.2862, 0, 7572.234478473663
56, 0, 0.2883, 0, 7698.921754837036
57, 0, 0.2882, 0, 7832.140496253967
58, 0, 0.2977, 0, 7971.354058742523
59, 0, 0.3013, 0, 8111.967675924301
60, 0, 0.3011, 0, 8252.221529483795
61, 0, 0.3029, 0, 8388.8533141613
62, 0, 0.3017, 0, 8513.976844787598
63, 0, 0.3029, 0, 8637.458369731903
64, 0, 0.3082, 0, 8765.46659874916
65, 0, 0.3125, 0, 8906.773177623749
66, 0, 0.3194, 0, 9047.530700922012
67, 0, 0.3193, 0, 9187.8888194561
68, 0, 0.3153, 0, 9321.059173583984
69, 0, 0.3226, 0, 9453.063060998917
70, 0, 0.3194, 0, 9583.065693378448
71, 0, 0.3331, 0, 9714.254401445389
72, 0, 0.3285, 0, 9852.257317304611
73, 0, 0.3297, 0, 9983.012424707413
74, 0, 0.3385, 0, 10108.39995598793
75, 0, 0.3375, 0, 10236.341392993927
76, 0, 0.3391, 0, 10361.038415908813
77, 0, 0.3422, 0, 10501.380259037018
78, 0, 0.3483, 0, 10640.278370380402
79, 0, 0.3478, 0, 10762.197939395905
80, 0, 0.3486, 0, 10889.828364610672
81, 0, 0.3526, 0, 11027.720750808716
82, 0, 0.3574, 0, 11162.549896478653
83, 0, 0.3589, 0, 11288.423689365387
84, 0, 0.3597, 0, 11430.034130811691
85, 0, 0.362, 0, 11570.814539909363
86, 0, 0.3656, 0, 11710.697225809097
87, 0, 0.367, 0, 11843.344943523407
88, 0, 0.3626, 0, 11970.794023990631
89, 0, 0.3739, 0, 12101.062579154968
90, 0, 0.3692, 0, 12221.704986810684
91, 0, 0.374, 0, 12347.779354095459
92, 0, 0.3758, 0, 12472.834606170654
93, 0, 0.3784, 0, 12601.145244836807
94, 0, 0.3809, 0, 12728.788558721542
95, 0, 0.3811, 0, 12856.46624994278
96, 0, 0.3829, 0, 12989.004030942917
97, 0, 0.3836, 0, 13114.695945739746
98, 0, 0.3869, 0, 13242.117613315582
99, 0, 0.389, 0, 13375.065069913864
100, 0, 0.3901, 0, 13511.914744853973
101, 0, 0.391, 0, 13644.37656378746
102, 0, 0.3891, 0, 13777.374094724655
103, 0, 0.3931, 0, 13900.307271718979
104, 0, 0.3963, 0, 14035.859216451645
105, 0, 0.3954, 0, 14168.024745225906
106, 0, 0.4002, 0, 14293.420511722565
107, 0, 0.3988, 0, 14428.939086914062
108, 0, 0.4011, 0, 14561.526494979858
109, 0, 0.401, 0, 14689.565977811813
110, 0, 0.4013, 0, 14827.295651435852
111, 0, 0.4025, 0, 14956.84856557846
112, 0, 0.4042, 0, 15090.574057340622
113, 0, 0.4066, 0, 15225.935717821121
114, 0, 0.4072, 0, 15361.437374830246
115, 0, 0.4092, 0, 15493.045515537262
116, 0, 0.4096, 0, 15622.958734989166
117, 0, 0.412, 0, 15762.452233791351
118, 0, 0.411, 0, 15892.399493217468
119, 0, 0.4153, 0, 16013.287577152252
120, 0, 0.4141, 0, 16131.512858867645
121, 0, 0.4166, 0, 16250.329538106918
122, 0, 0.4163, 0, 16367.984660625458
123, 0, 0.4166, 0, 16485.52416229248
124, 0, 0.4193, 0, 16603.62252473831
125, 0, 0.4208, 0, 16721.882863521576
126, 0, 0.4208, 0, 16839.214744091034
127, 0, 0.4221, 0, 16956.945259571075
128, 0, 0.42, 0, 17074.350571393967
129, 0, 0.423, 0, 17192.40852355957
130, 0, 0.4226, 0, 17311.15658378601
131, 0, 0.4237, 0, 17429.029320001602
132, 0, 0.4253, 0, 17548.84174799919
133, 0, 0.426, 0, 17668.324599266052
134, 0, 0.4246, 0, 17785.949874401093
135, 0, 0.429, 0, 17903.990246772766
136, 0, 0.4275, 0, 18022.63828444481
137, 0, 0.4292, 0, 18141.265540122986
138, 0, 0.4305, 0, 18260.131481409073
139, 0, 0.4312, 0, 18379.14447569847
140, 0, 0.43, 0, 18497.390142917633
141, 0, 0.4332, 0, 18616.392571926117
142, 0, 0.4356, 0, 18734.637630939484
143, 0, 0.4341, 0, 18852.853113651276
144, 0, 0.4341, 0, 18971.660577774048
145, 0, 0.4359, 0, 19089.35391139984
146, 0, 0.4388, 0, 19207.819078207016
147, 0, 0.4399, 0, 19325.289219856262
148, 0, 0.4377, 0, 19443.316568374634
149, 0, 0.4387, 0, 19561.67974114418
150, 0, 0.4384, 0, 19679.142239570618
151, 0, 0.4421, 0, 19796.77312898636
152, 0, 0.4414, 0, 19914.77951526642
153, 0, 0.4435, 0, 20033.688436746597
154, 0, 0.4434, 0, 20151.547930002213
155, 0, 0.4451, 0, 20268.51472711563
156, 0, 0.4434, 0, 20386.384989500046
157, 0, 0.4432, 0, 20504.42355132103
158, 0, 0.4447, 0, 20621.914790153503
159, 0, 0.4456, 0, 20740.02162504196
160, 0, 0.4453, 0, 20858.133373975754
161, 0, 0.446, 0, 20977.00443673134
162, 0, 0.4471, 0, 21095.51643872261
163, 0, 0.4483, 0, 21213.28310275078
164, 0, 0.4468, 0, 21331.196724414825
165, 0, 0.4471, 0, 21449.41917705536
166, 0, 0.4483, 0, 21567.444561958313
167, 0, 0.4499, 0, 21685.733574151993
168, 0, 0.452, 0, 21803.653136730194
169, 0, 0.4536, 0, 21921.806439876556
170, 0, 0.4509, 0, 22038.888465881348
171, 0, 0.4514, 0, 22156.793477535248
172, 0, 0.4517, 0, 22274.009346723557
173, 0, 0.4538, 0, 22392.114248991013
174, 0, 0.4535, 0, 22509.890159606934
175, 0, 0.4515, 0, 22628.675454616547
176, 0, 0.4548, 0, 22747.479819774628
177, 0, 0.4538, 0, 22867.82777905464
178, 0, 0.4539, 0, 22987.699932575226
179, 0, 0.4546, 0, 23105.02355837822
180, 0, 0.4556, 0, 23222.884961605072
181, 0, 0.4533, 0, 23340.57607102394
182, 0, 0.4546, 0, 23458.238308668137
183, 0, 0.4584, 0, 23576.23945593834
184, 0, 0.4564, 0, 23693.7268614769
185, 0, 0.4562, 0, 23811.507424354553
186, 0, 0.4596, 0, 23928.734681367874
187, 0, 0.4597, 0, 24046.23104572296
188, 0, 0.4607, 0, 24163.589510679245
189, 0, 0.4594, 0, 24281.06703400612
190, 0, 0.4601, 0, 24398.456572294235
191, 0, 0.4595, 0, 24517.038603305817
192, 0, 0.4623, 0, 24634.754762649536
193, 0, 0.4611, 0, 24751.85103750229
194, 0, 0.4609, 0, 24869.934933662415
195, 0, 0.4615, 0, 24987.093730688095
196, 0, 0.462, 0, 25105.13547372818
197, 0, 0.4653, 0, 25223.34512257576
198, 0, 0.4639, 0, 25341.420353889465
199, 0, 0.4635, 0, 25459.00642490387
