,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0974,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.153,0,0
5,5,10,0,0.1205,0,0
6,6,10,0,0.1306,0,0
7,7,10,0,0.1568,0,0
8,8,10,0,0.1478,0,0
9,9,10,0,0.1426,0,0
10,10,10,0,0.1043,0,0
11,11,10,0,0.1077,0,0
12,12,10,0,0.1236,0,0
13,13,10,0,0.1124,0,0
14,14,10,0,0.1143,0,0
15,15,10,0,0.1326,0,0
16,16,10,0,0.1257,0,0
17,17,10,0,0.1464,0,0
18,18,10,0,0.145,0,0
19,19,10,0,0.1591,0,0
20,20,10,0,0.1634,0,0
21,21,10,0,0.1709,0,0
22,22,10,0,0.1783,0,0
23,23,10,0,0.1809,0,0
24,24,10,0,0.1859,0,0
25,25,10,0,0.1925,0,0
26,26,10,0,0.1958,0,0
27,27,10,0,0.1963,0,0
28,28,10,0,0.2025,0,0
29,29,10,0,0.2045,0,0
30,30,10,0,0.2058,0,0
31,31,10,0,0.2157,0,0
32,32,10,0,0.2114,0,0
33,33,10,0,0.224,0,0
34,34,10,0,0.225,0,0
35,35,10,0,0.2368,0,0
36,36,10,0,0.2323,0,0
37,37,10,0,0.2423,0,0
38,38,10,0,0.2398,0,0
39,39,10,0,0.2492,0,0
40,40,10,0,0.2429,0,0
41,41,10,0,0.2475,0,0
42,42,10,0,0.2522,0,0
43,43,10,0,0.2569,0,0
44,44,10,0,0.2611,0,0
45,45,10,0,0.2605,0,0
46,46,10,0,0.2549,0,0
47,47,10,0,0.2619,0,0
48,48,10,0,0.269,0,0
49,49,10,0,0.2728,0,0
50,50,10,0,0.2819,0,0
51,51,10,0,0.2747,0,0
52,52,10,0,0.2917,0,0
53,53,10,0,0.2947,0,0
54,54,10,0,0.2974,0,0
55,55,10,0,0.2932,0,0
56,56,10,0,0.295,0,0
57,57,10,0,0.2989,0,0
58,58,10,0,0.3026,0,0
59,59,10,0,0.3061,0,0
60,60,10,0,0.3066,0,0
61,61,10,0,0.3119,0,0
62,62,10,0,0.3098,0,0
63,63,10,0,0.3159,0,0
64,64,10,0,0.316,0,0
65,65,10,0,0.3187,0,0
66,66,10,0,0.3188,0,0
67,67,10,0,0.3212,0,0
68,68,10,0,0.3263,0,0
69,69,10,0,0.3326,0,0
70,70,10,0,0.3324,0,0
71,71,10,0,0.3343,0,0
72,72,10,0,0.3386,0,0
73,73,10,0,0.3446,0,0
74,74,10,0,0.344,0,0
75,75,10,0,0.351,0,0
76,76,10,0,0.3432,0,0
77,77,10,0,0.3513,0,0
78,78,10,0,0.3528,0,0
79,79,10,0,0.3578,0,0
80,80,10,0,0.3596,0,0
81,81,10,0,0.3604,0,0
82,82,10,0,0.3644,0,0
83,83,10,0,0.3612,0,0
84,84,10,0,0.3656,0,0
85,85,10,0,0.3717,0,0
86,86,10,0,0.3729,0,0
87,87,10,0,0.3736,0,0
88,88,10,0,0.3748,0,0
89,89,10,0,0.3785,0,0
90,90,10,0,0.3802,0,0
91,91,10,0,0.379,0,0
92,92,10,0,0.3866,0,0
93,93,10,0,0.3886,0,0
94,94,10,0,0.3837,0,0
95,95,10,0,0.39,0,0
96,96,10,0,0.3885,0,0
97,97,10,0,0.3924,0,0
98,98,10,0,0.3977,0,0
99,99,10,0,0.3949,0,0
100,100,10,0,0.3977,0,0
101,101,10,0,0.3931,0,0
102,102,10,0,0.3978,0,0
103,103,10,0,0.3998,0,0
104,104,10,0,0.4017,0,0
105,105,10,0,0.4031,0,0
106,106,10,0,0.4056,0,0
107,107,10,0,0.4041,0,0
108,108,10,0,0.4045,0,0
109,109,10,0,0.4058,0,0
110,110,10,0,0.4085,0,0
111,111,10,0,0.4098,0,0
112,112,10,0,0.4118,0,0
113,113,10,0,0.4118,0,0
114,114,10,0,0.4168,0,0
115,115,10,0,0.4132,0,0
116,116,10,0,0.4183,0,0
117,117,10,0,0.4169,0,0
118,118,10,0,0.4155,0,0
119,119,10,0,0.4147,0,0
120,120,10,0,0.4217,0,0
121,121,10,0,0.4228,0,0
122,122,10,0,0.4199,0,0
123,123,10,0,0.4179,0,0
124,124,10,0,0.4204,0,0
125,125,10,0,0.4257,0,0
126,126,10,0,0.4222,0,0
127,127,10,0,0.4241,0,0
128,128,10,0,0.4261,0,0
129,129,10,0,0.427,0,0
130,130,10,0,0.4253,0,0
131,131,10,0,0.4269,0,0
132,132,10,0,0.4286,0,0
133,133,10,0,0.4303,0,0
134,134,10,0,0.4315,0,0
135,135,10,0,0.4348,0,0
136,136,10,0,0.434,0,0
137,137,10,0,0.432,0,0
138,138,10,0,0.433,0,0
139,139,10,0,0.4342,0,0
140,140,10,0,0.4352,0,0
141,141,10,0,0.438,0,0
142,142,10,0,0.4384,0,0
143,143,10,0,0.4353,0,0
144,144,10,0,0.4347,0,0
145,145,10,0,0.4377,0,0
146,146,10,0,0.4383,0,0
147,147,10,0,0.4374,0,0
148,148,10,0,0.4378,0,0
149,149,10,0,0.4423,0,0
150,150,10,0,0.4414,0,0
151,151,10,0,0.4407,0,0
152,152,10,0,0.4407,0,0
153,153,10,0,0.4428,0,0
154,154,10,0,0.4388,0,0
155,155,10,0,0.4453,0,0
156,156,10,0,0.4473,0,0
157,157,10,0,0.4393,0,0
158,158,10,0,0.4435,0,0
159,159,10,0,0.4445,0,0
160,160,10,0,0.4414,0,0
161,161,10,0,0.4441,0,0
162,162,10,0,0.4472,0,0
163,163,10,0,0.4438,0,0
164,164,10,0,0.4465,0,0
165,165,10,0,0.4486,0,0
166,166,10,0,0.449,0,0
167,167,10,0,0.45,0,0
168,168,10,0,0.4453,0,0
169,169,10,0,0.4486,0,0
170,170,10,0,0.4501,0,0
171,171,10,0,0.4488,0,0
172,172,10,0,0.4503,0,0
173,173,10,0,0.4493,0,0
174,174,10,0,0.4519,0,0
175,175,10,0,0.4509,0,0
176,176,10,0,0.4545,0,0
177,177,10,0,0.4506,0,0
178,178,10,0,0.4507,0,0
179,179,10,0,0.454,0,0
180,180,10,0,0.4542,0,0
181,181,10,0,0.4556,0,0
182,182,10,0,0.4556,0,0
183,183,10,0,0.454,0,0
184,184,10,0,0.4566,0,0
185,185,10,0,0.4545,0,0
186,186,10,0,0.4582,0,0
187,187,10,0,0.4569,0,0
188,188,10,0,0.4525,0,0
189,189,10,0,0.4557,0,0
190,190,10,0,0.4562,0,0
191,191,10,0,0.4572,0,0
192,192,10,0,0.458,0,0
193,193,10,0,0.4531,0,0
194,194,10,0,0.4576,0,0
195,195,10,0,0.455,0,0
196,196,10,0,0.4581,0,0
197,197,10,0,0.4551,0,0
198,198,10,0,0.4572,0,0
199,199,10,0,0.459,0,0
