round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 77.27777552604675
1, 0.10002, 0.1, 0.1, 148.42459678649902
2, 0.0999, 0.1005, 0.1005, 225.61593055725098
3, 0.10444, 0.1045, 0.1045, 297.31171917915344
4, 0.13142, 0.1342, 0.1342, 374.56891536712646
5, 0.13122, 0.1305, 0.1305, 451.40278601646423
6, 0.15706, 0.1635, 0.1635, 526.8959059715271
7, 0.14872, 0.1462, 0.1462, 601.550518989563
8, 0.1531, 0.1543, 0.1543, 675.7996423244476
9, 0.16934, 0.1736, 0.1736, 753.12175822258
10, 0.16398, 0.1672, 0.1672, 829.8871479034424
11, 0.1724, 0.172, 0.172, 906.7920665740967
12, 0.17682, 0.182, 0.182, 982.4421977996826
13, 0.18234, 0.1855, 0.1855, 1058.2619705200195
14, 0.18654, 0.2008, 0.2008, 1134.942046403885
15, 0.19696, 0.2027, 0.2027, 1211.6114485263824
16, 0.19738, 0.2113, 0.2113, 1288.0820801258087
17, 0.21126, 0.2233, 0.2233, 1364.8177244663239
18, 0.21134, 0.2228, 0.2228, 1441.3011639118195
19, 0.22546, 0.2396, 0.2396, 1517.8543784618378
20, 0.22404, 0.2372, 0.2372, 1594.7085602283478
21, 0.24118, 0.2572, 0.2572, 1671.317144393921
22, 0.2361, 0.2495, 0.2495, 1748.2198495864868
23, 0.25468, 0.2768, 0.2768, 1825.8849761486053
24, 0.25026, 0.2699, 0.2699, 1899.6350288391113
25, 0.2704, 0.2941, 0.2941, 1974.0106205940247
26, 0.27388, 0.2914, 0.2914, 2050.5574655532837
27, 0.28116, 0.3031, 0.3031, 2127.430113554001
28, 0.28142, 0.2988, 0.2988, 2199.0292253494263
29, 0.28924, 0.3103, 0.3103, 2276.2403860092163
30, 0.2872, 0.3042, 0.3042, 2354.253650665283
31, 0.29588, 0.3198, 0.3198, 2431.7140765190125
32, 0.2911, 0.3103, 0.3103, 2509.424278497696
33, 0.29562, 0.3225, 0.3225, 2587.017820119858
