,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
1,1,0.10002,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
2,2,0.0999,0.1005,"[[999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [994, 0, 2, 4, 0, 0, 0, 0, 0, 0], [996, 0, 1, 1, 0, 0, 0, 0, 0, 2], [990, 0, 4, 0, 0, 0, 0, 0, 0, 6], [988, 0, 2, 5, 0, 0, 0, 1, 0, 4], [993, 0, 1, 2, 0, 0, 0, 0, 0, 4], [996, 0, 1, 3, 0, 0, 0, 0, 0, 0], [987, 0, 9, 0, 0, 0, 0, 1, 0, 3], [999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [983, 0, 12, 1, 0, 0, 0, 0, 0, 4]]"
3,3,0.10526,0.1052,"[[0, 2, 0, 0, 0, 987, 0, 0, 0, 11], [0, 4, 0, 0, 0, 969, 0, 0, 0, 27], [0, 0, 0, 0, 0, 995, 0, 0, 0, 5], [0, 2, 0, 0, 0, 986, 0, 0, 0, 12], [0, 0, 0, 0, 0, 996, 0, 0, 0, 4], [0, 0, 0, 0, 0, 993, 0, 0, 0, 7], [0, 0, 0, 0, 0, 999, 0, 0, 0, 1], [0, 5, 0, 0, 0, 987, 0, 0, 0, 8], [0, 7, 0, 0, 0, 960, 0, 0, 0, 33], [0, 6, 0, 0, 0, 939, 0, 0, 0, 55]]"
4,4,0.13002,0.1325,"[[841, 0, 1, 142, 0, 0, 0, 0, 0, 16], [787, 0, 2, 180, 0, 0, 0, 0, 0, 31], [763, 0, 7, 219, 0, 0, 0, 0, 0, 11], [580, 0, 7, 399, 0, 0, 0, 0, 0, 14], [641, 0, 2, 350, 0, 0, 0, 0, 0, 7], [628, 0, 3, 361, 0, 0, 0, 0, 0, 8], [625, 0, 1, 370, 0, 0, 0, 0, 0, 4], [687, 0, 5, 273, 0, 0, 0, 0, 0, 35], [784, 0, 0, 186, 0, 0, 0, 0, 0, 30], [840, 0, 1, 81, 0, 0, 0, 0, 0, 78]]"
5,5,0.13172,0.1314,"[[0, 561, 0, 0, 0, 409, 0, 0, 10, 20], [0, 582, 0, 0, 0, 339, 0, 1, 37, 41], [0, 444, 0, 0, 0, 541, 0, 0, 5, 10], [0, 336, 0, 0, 0, 636, 0, 0, 10, 18], [0, 386, 0, 0, 0, 598, 0, 3, 5, 8], [0, 354, 0, 0, 0, 623, 0, 0, 11, 12], [0, 384, 0, 0, 0, 598, 0, 0, 10, 8], [0, 481, 0, 0, 0, 465, 0, 0, 17, 37], [0, 617, 0, 0, 0, 327, 0, 0, 6, 50], [0, 706, 0, 0, 0, 182, 0, 0, 9, 103]]"
6,6,0.15578,0.1608,"[[294, 0, 11, 102, 301, 0, 0, 0, 0, 292], [238, 0, 15, 148, 223, 0, 0, 0, 0, 376], [255, 0, 25, 155, 410, 0, 0, 0, 0, 155], [167, 0, 18, 326, 301, 0, 0, 2, 0, 186], [186, 0, 10, 265, 371, 0, 0, 2, 0, 166], [209, 0, 20, 294, 321, 0, 0, 0, 0, 156], [181, 0, 14, 265, 370, 0, 0, 1, 0, 169], [187, 0, 23, 206, 238, 0, 0, 0, 0, 346], [212, 0, 11, 154, 188, 0, 0, 0, 0, 435], [203, 0, 15, 55, 135, 0, 0, 0, 0, 592]]"
7,7,0.14782,0.1456,"[[5, 225, 0, 10, 0, 272, 0, 0, 247, 241], [1, 185, 0, 24, 0, 247, 0, 1, 226, 316], [6, 267, 0, 20, 0, 376, 0, 1, 216, 114], [3, 180, 1, 53, 0, 489, 0, 6, 115, 153], [0, 216, 0, 27, 0, 473, 0, 1, 155, 128], [1, 182, 4, 38, 0, 484, 0, 6, 161, 124], [1, 208, 0, 27, 0, 498, 0, 0, 139, 127], [3, 167, 0, 20, 0, 367, 0, 1, 138, 304], [0, 174, 0, 21, 0, 239, 0, 0, 205, 361], [0, 214, 0, 5, 0, 125, 0, 1, 132, 523]]"
8,8,0.15236,0.1543,"[[12, 3, 5, 7, 266, 11, 8, 271, 3, 414], [0, 1, 9, 13, 292, 45, 23, 95, 21, 501], [0, 2, 4, 16, 324, 37, 12, 351, 3, 251], [3, 0, 4, 25, 327, 95, 21, 267, 1, 257], [3, 2, 3, 20, 395, 40, 24, 265, 1, 247], [5, 0, 3, 22, 370, 90, 9, 243, 4, 254], [1, 5, 3, 22, 428, 58, 26, 206, 2, 249], [10, 2, 6, 18, 222, 24, 7, 269, 9, 433], [12, 0, 5, 17, 265, 46, 9, 99, 7, 540], [5, 4, 4, 3, 134, 15, 3, 115, 3, 714]]"
9,9,0.16928,0.173,"[[255, 0, 59, 92, 3, 117, 1, 3, 181, 289], [82, 1, 11, 152, 1, 124, 0, 4, 256, 369], [274, 6, 94, 149, 3, 171, 0, 5, 138, 160], [145, 8, 51, 277, 2, 208, 0, 18, 93, 198], [186, 5, 63, 236, 2, 207, 0, 4, 125, 172], [155, 3, 34, 238, 4, 258, 0, 4, 134, 170], [125, 11, 30, 252, 2, 253, 1, 5, 140, 181], [127, 3, 27, 179, 1, 151, 0, 10, 143, 359], [86, 2, 12, 147, 1, 107, 0, 0, 227, 418], [99, 2, 19, 58, 1, 57, 0, 2, 157, 605]]"
