round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 90.75295948982239
1, 0.10002, 0.1, 0.1, 181.4548282623291
2, 0.0999, 0.1005, 0.1005, 273.5694420337677
3, 0.10526, 0.1052, 0.1052, 360.9837944507599
4, 0.13002, 0.1325, 0.1325, 449.8355960845947
5, 0.13172, 0.1314, 0.1314, 540.9199833869934
6, 0.15578, 0.1608, 0.1608, 628.4204068183899
7, 0.14782, 0.1456, 0.1456, 717.9828786849976
8, 0.15236, 0.1543, 0.1543, 810.1325716972351
9, 0.16928, 0.173, 0.173, 902.0728189945221
10, 0.1666, 0.1697, 0.1697, 994.13498878479
11, 0.17446, 0.1754, 0.1754, 1086.081714630127
12, 0.17244, 0.1776, 0.1776, 1167.9283819198608
13, 0.18562, 0.1906, 0.1906, 1251.2168135643005
14, 0.1808, 0.1918, 0.1918, 1342.9545550346375
15, 0.19876, 0.2094, 0.2094, 1431.6680104732513
16, 0.19494, 0.2099, 0.2099, 1522.6135156154633
17, 0.21642, 0.2311, 0.2311, 1604.5315718650818
18, 0.20528, 0.2218, 0.2218, 1695.0782556533813
19, 0.2274, 0.244, 0.244, 1777.503722667694
20, 0.22032, 0.2333, 0.2333, 1859.8943400382996
21, 0.24266, 0.2571, 0.2571, 1942.1210289001465
22, 0.2318, 0.244, 0.244, 2024.230128288269
23, 0.25314, 0.2759, 0.2759, 2112.7645847797394
24, 0.24908, 0.2665, 0.2665, 2202.3836455345154
25, 0.27064, 0.2933, 0.2933, 2286.3129267692566
26, 0.27126, 0.2883, 0.2883, 2373.14182806015
27, 0.28016, 0.3054, 0.3054, 2462.8379895687103
28, 0.2819, 0.2984, 0.2984, 2547.0368554592133
29, 0.29, 0.3118, 0.3118, 2635.1346950531006
30, 0.28714, 0.3036, 0.3036, 2724.7918496131897
31, 0.29602, 0.3207, 0.3207, 2813.36550283432
32, 0.28982, 0.3092, 0.3092, 2901.7143065929413
33, 0.29712, 0.3244, 0.3244, 2989.0190415382385
34, 0.29466, 0.3137, 0.3137, 3072.1215279102325
35, 0.29974, 0.323, 0.323, 3153.2231080532074
36, 0.28562, 0.3079, 0.3079, 3232.37361907959
37, 0.29408, 0.3201, 0.3201, 3314.3000705242157
38, 0.28934, 0.3063, 0.3063, 3402.466280221939
39, 0.28178, 0.3108, 0.3108, 3490.4858634471893
40, 0.27102, 0.2853, 0.2853, 3578.605282306671
41, 0.26952, 0.2967, 0.2967, 3660.9423553943634
42, 0.25176, 0.2637, 0.2637, 3745.8282146453857
43, 0.26002, 0.2841, 0.2841, 3834.2343158721924
44, 0.2511, 0.2609, 0.2609, 3922.8828167915344
45, 0.26376, 0.285, 0.285, 4011.4889323711395
46, 0.265, 0.279, 0.279, 4100.367177963257
47, 0.274, 0.2985, 0.2985, 4188.159816503525
48, 0.26944, 0.2904, 0.2904, 4276.826561450958
49, 0.28416, 0.3106, 0.3106, 4361.434680700302
50, 0.28002, 0.3032, 0.3032, 4449.969307899475
51, 0.29364, 0.3211, 0.3211, 4538.700170516968
52, 0.28458, 0.3073, 0.3073, 4624.916088104248
53, 0.3039, 0.331, 0.331, 4708.23455286026
54, 0.28268, 0.3005, 0.3005, 4795.691262960434
55, 0.31414, 0.3466, 0.3466, 4884.731552839279
56, 0.28886, 0.3083, 0.3083, 4971.6264135837555
57, 0.32202, 0.3519, 0.3519, 5059.661901950836
58, 0.2878, 0.3057, 0.3057, 5147.06439948082
59, 0.32168, 0.3493, 0.3493, 5233.881836175919
60, 0.28904, 0.3054, 0.3054, 5310.7997233867645
61, 0.32664, 0.3547, 0.3547, 5399.1637716293335
62, 0.2988, 0.3184, 0.3184, 5487.729090213776
63, 0.33296, 0.3627, 0.3627, 5576.067828178406
64, 0.3045, 0.3236, 0.3236, 5664.369426488876
65, 0.33774, 0.3651, 0.3651, 5752.808357477188
66, 0.30402, 0.323, 0.323, 5841.400939941406
67, 0.33964, 0.3664, 0.3664, 5929.94734787941
68, 0.31278, 0.3349, 0.3349, 6019.090440273285
69, 0.3371, 0.3642, 0.3642, 6107.351687669754
70, 0.31994, 0.3402, 0.3402, 6195.24040222168
71, 0.34046, 0.3633, 0.3633, 6283.974962472916
72, 0.3207, 0.3408, 0.3408, 6361.841335773468
73, 0.3374, 0.3631, 0.3631, 6445.763145446777
74, 0.31988, 0.3402, 0.3402, 6534.407617092133
75, 0.3307, 0.3506, 0.3506, 6623.275229930878
76, 0.3143, 0.3383, 0.3383, 6711.8340899944305
77, 0.33852, 0.3613, 0.3613, 6800.9109807014465
78, 0.3258, 0.3507, 0.3507, 6891.217288970947
79, 0.3358, 0.3583, 0.3583, 6979.537642240524
80, 0.3341, 0.3664, 0.3664, 7067.887689590454
81, 0.34278, 0.3635, 0.3635, 7156.271819591522
82, 0.34396, 0.3756, 0.3756, 7244.435809135437
83, 0.33846, 0.3583, 0.3583, 7332.638432979584
84, 0.34628, 0.3768, 0.3768, 7420.960549116135
85, 0.32908, 0.3484, 0.3484, 7509.300108909607
86, 0.34838, 0.3762, 0.3762, 7597.106737136841
87, 0.32308, 0.3432, 0.3432, 7679.8852434158325
88, 0.3525, 0.3798, 0.3798, 7768.269511938095
89, 0.33444, 0.3563, 0.3563, 7851.67746925354
90, 0.35658, 0.3852, 0.3852, 7934.855813026428
91, 0.33846, 0.3567, 0.3567, 8023.399922132492
92, 0.3489, 0.3807, 0.3807, 8109.065893173218
93, 0.34558, 0.3676, 0.3676, 8197.75463938713
94, 0.35078, 0.3815, 0.3815, 8285.26819396019
95, 0.3459, 0.3697, 0.3697, 8373.010675668716
96, 0.35464, 0.3797, 0.3797, 8461.753607749939
97, 0.35508, 0.3851, 0.3851, 8550.923382520676
98, 0.3587, 0.3873, 0.3873, 8641.302941322327
99, 0.35724, 0.3824, 0.3824, 8730.10373878479
100, 0.35982, 0.3847, 0.3847, 8818.84700012207
101, 0.36042, 0.3844, 0.3844, 8907.045310497284
102, 0.35978, 0.3838, 0.3838, 8995.52378153801
103, 0.35744, 0.3862, 0.3862, 9083.698095083237
104, 0.35656, 0.3819, 0.3819, 9172.469819784164
105, 0.35812, 0.3848, 0.3848, 9252.13722705841
106, 0.35028, 0.3767, 0.3767, 9333.607362270355
107, 0.34946, 0.3805, 0.3805, 9420.840985059738
108, 0.35164, 0.3746, 0.3746, 9509.143816709518
109, 0.34636, 0.3771, 0.3771, 9589.488058328629
110, 0.34058, 0.3656, 0.3656, 9674.663700580597
111, 0.34882, 0.3746, 0.3746, 9762.922045707703
112, 0.34082, 0.3681, 0.3681, 9851.541918754578
113, 0.3575, 0.3873, 0.3873, 9938.280472517014
114, 0.35012, 0.3778, 0.3778, 10026.327048778534
115, 0.35716, 0.3917, 0.3917, 10114.96397471428
116, 0.35222, 0.382, 0.382, 10204.266748905182
117, 0.35956, 0.3936, 0.3936, 10292.46276640892
118, 0.35602, 0.3841, 0.3841, 10373.689289808273
119, 0.36662, 0.3951, 0.3951, 10461.891877651215
120, 0.36392, 0.3893, 0.3893, 10550.141024589539
121, 0.36502, 0.3981, 0.3981, 10637.510804891586
122, 0.36738, 0.3937, 0.3937, 10721.937231779099
