,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,25,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,25,0.10014,0.0999,0.0999,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 2, 0, 0, 0, 0, 0, 998], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 1, 0, 0, 0, 0, 0, 999], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 1, 0, 0, 0, 0, 0, 999]]"
2,2,25,0.12962,0.1298,0.1298,"[[781, 0, 0, 4, 0, 0, 0, 0, 0, 215], [569, 0, 0, 31, 0, 0, 0, 0, 0, 400], [266, 0, 0, 13, 1, 0, 0, 0, 0, 720], [214, 0, 0, 26, 4, 0, 0, 0, 0, 756], [136, 0, 0, 64, 2, 0, 0, 0, 0, 798], [318, 0, 0, 32, 2, 0, 0, 0, 0, 648], [75, 0, 0, 91, 6, 0, 0, 0, 0, 828], [258, 0, 0, 14, 2, 0, 0, 0, 0, 726], [762, 0, 0, 0, 0, 0, 0, 0, 0, 238], [499, 0, 0, 11, 1, 0, 0, 0, 0, 489]]"
3,3,25,0.1888,0.1969,0.1969,"[[748, 10, 18, 31, 11, 1, 27, 0, 123, 31], [580, 22, 44, 56, 39, 3, 78, 5, 104, 69], [198, 14, 47, 162, 79, 4, 285, 6, 128, 77], [140, 13, 70, 212, 114, 13, 239, 7, 98, 94], [108, 7, 33, 141, 96, 6, 472, 3, 61, 73], [214, 16, 76, 192, 99, 10, 226, 3, 84, 80], [32, 10, 36, 136, 100, 9, 569, 2, 44, 62], [178, 27, 35, 115, 137, 8, 161, 25, 179, 135], [737, 4, 24, 33, 10, 1, 10, 0, 139, 42], [466, 6, 21, 48, 53, 8, 48, 4, 245, 101]]"
4,4,25,0.23488,0.2537,0.2537,"[[472, 81, 16, 2, 2, 50, 64, 61, 131, 121], [179, 231, 15, 4, 1, 92, 139, 91, 156, 92], [89, 64, 15, 3, 4, 122, 502, 110, 52, 39], [23, 40, 9, 8, 10, 166, 520, 154, 23, 47], [38, 14, 5, 5, 2, 78, 707, 89, 20, 42], [15, 64, 16, 10, 1, 230, 498, 109, 23, 34], [8, 8, 4, 2, 7, 72, 793, 90, 2, 14], [29, 60, 23, 8, 7, 91, 343, 292, 21, 126], [334, 106, 9, 3, 0, 85, 43, 47, 226, 147], [170, 79, 3, 3, 6, 51, 121, 154, 145, 268]]"
5,5,25,0.26344,0.2816,0.2816,"[[399, 78, 1, 29, 1, 18, 39, 56, 256, 123], [78, 280, 0, 34, 0, 42, 90, 108, 257, 111], [108, 62, 3, 86, 19, 80, 394, 132, 70, 46], [36, 45, 1, 180, 7, 105, 338, 181, 52, 55], [44, 16, 0, 72, 16, 42, 612, 113, 37, 48], [31, 67, 1, 148, 12, 139, 342, 137, 79, 44], [13, 22, 0, 56, 12, 60, 684, 128, 4, 21], [35, 82, 3, 73, 25, 50, 215, 353, 44, 120], [209, 76, 0, 52, 0, 24, 19, 39, 427, 154], [71, 76, 0, 26, 1, 26, 71, 146, 248, 335]]"
6,6,25,0.28576,0.3067,0.3067,"[[367, 99, 2, 32, 7, 21, 36, 68, 260, 108], [51, 343, 0, 30, 8, 44, 87, 91, 216, 130], [80, 68, 1, 107, 80, 78, 351, 116, 79, 40], [26, 50, 1, 193, 39, 115, 306, 168, 44, 58], [35, 17, 0, 80, 117, 39, 518, 118, 38, 38], [14, 70, 0, 148, 62, 176, 295, 127, 69, 39], [8, 23, 0, 63, 53, 56, 649, 116, 9, 23], [23, 82, 1, 80, 94, 57, 138, 375, 44, 106], [106, 111, 0, 52, 2, 27, 21, 44, 469, 168], [36, 96, 1, 35, 9, 23, 65, 128, 230, 377]]"
7,7,25,0.30202,0.3255,0.3255,"[[526, 100, 5, 30, 11, 20, 31, 64, 126, 87], [124, 358, 2, 35, 19, 32, 63, 74, 133, 160], [113, 72, 9, 103, 135, 77, 279, 124, 48, 40], [41, 50, 1, 230, 77, 116, 223, 155, 33, 74], [59, 17, 2, 81, 232, 45, 370, 139, 23, 32], [34, 70, 5, 166, 91, 179, 223, 128, 50, 54], [8, 25, 4, 83, 108, 50, 569, 110, 9, 34], [31, 78, 5, 72, 108, 60, 90, 396, 34, 126], [249, 114, 0, 53, 4, 23, 16, 35, 326, 180], [82, 101, 0, 42, 11, 15, 55, 87, 177, 430]]"
8,8,25,0.31716,0.3453,0.3453,"[[511, 104, 6, 26, 15, 21, 28, 67, 165, 57], [92, 392, 7, 30, 20, 26, 59, 67, 147, 160], [108, 68, 27, 91, 203, 94, 185, 132, 57, 35], [42, 52, 3, 206, 102, 141, 192, 148, 40, 74], [60, 15, 14, 74, 349, 59, 233, 142, 29, 25], [36, 64, 24, 158, 134, 215, 153, 126, 48, 42], [8, 25, 12, 89, 181, 52, 488, 104, 11, 30], [38, 77, 10, 64, 118, 66, 59, 424, 39, 105], [205, 116, 0, 44, 4, 20, 17, 33, 404, 157], [67, 119, 1, 35, 9, 20, 51, 80, 181, 437]]"
9,9,25,0.33236,0.3591,0.3591,"[[488, 130, 7, 20, 13, 18, 26, 72, 158, 68], [58, 465, 7, 18, 15, 24, 50, 55, 114, 194], [102, 77, 76, 74, 183, 86, 173, 142, 50, 37], [41, 74, 23, 162, 100, 146, 189, 146, 36, 83], [54, 26, 54, 49, 338, 59, 212, 154, 29, 25], [34, 80, 56, 99, 123, 241, 147, 131, 46, 43], [6, 23, 35, 70, 176, 52, 487, 101, 10, 40], [29, 90, 27, 46, 101, 52, 55, 459, 35, 106], [181, 146, 2, 28, 4, 21, 16, 34, 403, 165], [45, 161, 1, 32, 4, 18, 50, 74, 143, 472]]"
