,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.1,0,0
1,1,5,0,0.1,0,0
2,2,5,0,0.1,0,0
3,3,5,0,0.1437,0,0
4,4,5,0,0.1469,0,0
5,5,5,0,0.1893,0,0
6,6,5,0,0.2285,0,0
7,7,5,0,0.2507,0,0
8,8,5,0,0.2641,0,0
9,9,5,0,0.274,0,0
10,10,5,0,0.2866,0,0
11,11,5,0,0.2934,0,0
12,12,5,0,0.3219,0,0
13,13,5,0,0.3407,0,0
14,14,5,0,0.3536,0,0
15,15,5,0,0.3673,0,0
16,16,5,0,0.3737,0,0
17,17,5,0,0.3904,0,0
18,18,5,0,0.3939,0,0
19,19,5,0,0.4063,0,0
20,20,5,0,0.4132,0,0
21,21,5,0,0.4143,0,0
22,22,5,0,0.4278,0,0
23,23,5,0,0.4294,0,0
24,24,5,0,0.4351,0,0
25,25,5,0,0.4445,0,0
26,26,5,0,0.4438,0,0
27,27,5,0,0.4517,0,0
28,28,5,0,0.457,0,0
29,29,5,0,0.466,0,0
30,30,5,0,0.468,0,0
31,31,5,0,0.4711,0,0
32,32,5,0,0.4718,0,0
33,33,5,0,0.4788,0,0
34,34,5,0,0.4842,0,0
35,35,5,0,0.4895,0,0
36,36,5,0,0.4913,0,0
37,37,5,0,0.491,0,0
38,38,5,0,0.4951,0,0
39,39,5,0,0.4957,0,0
40,40,5,0,0.4962,0,0
41,41,5,0,0.5026,0,0
42,42,5,0,0.5047,0,0
43,43,5,0,0.5055,0,0
44,44,5,0,0.5097,0,0
45,45,5,0,0.51,0,0
46,46,5,0,0.5136,0,0
47,47,5,0,0.5126,0,0
48,48,5,0,0.5169,0,0
49,49,5,0,0.5161,0,0
