,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,2,0.09956,0.0993,"[[0, 0, 990, 0, 0, 0, 0, 0, 10, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 990, 0, 0, 0, 0, 0, 10, 0], [0, 0, 996, 0, 0, 0, 0, 0, 4, 0], [0, 0, 998, 0, 0, 0, 0, 0, 2, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 997, 0, 0, 0, 0, 0, 3, 0], [0, 0, 997, 0, 0, 0, 0, 0, 3, 0], [0, 0, 993, 0, 0, 0, 0, 0, 7, 0]]"
3,3,0.13074,0.1362,"[[530, 0, 22, 0, 0, 0, 0, 0, 448, 0], [167, 0, 96, 0, 0, 0, 0, 0, 737, 0], [147, 0, 206, 0, 0, 0, 0, 0, 647, 0], [126, 0, 227, 0, 0, 0, 0, 0, 647, 0], [41, 0, 328, 0, 0, 0, 0, 0, 631, 0], [200, 0, 181, 0, 0, 0, 0, 0, 619, 0], [25, 0, 412, 0, 0, 0, 0, 0, 563, 0], [78, 0, 141, 0, 0, 0, 0, 0, 781, 0], [365, 0, 9, 0, 0, 0, 0, 0, 626, 0], [142, 0, 65, 0, 0, 0, 0, 0, 793, 0]]"
4,4,0.1508,0.1593,"[[840, 0, 19, 1, 0, 0, 16, 1, 121, 2], [576, 0, 33, 5, 0, 0, 65, 1, 316, 4], [350, 0, 128, 14, 0, 0, 174, 3, 331, 0], [341, 0, 138, 25, 0, 0, 148, 6, 340, 2], [188, 0, 149, 22, 0, 0, 312, 6, 321, 2], [417, 0, 123, 10, 0, 0, 137, 4, 307, 2], [109, 0, 145, 18, 0, 0, 445, 7, 274, 2], [288, 0, 121, 12, 0, 0, 94, 7, 464, 14], [839, 0, 10, 2, 0, 0, 4, 1, 142, 2], [568, 0, 49, 3, 0, 0, 34, 0, 340, 6]]"
5,5,0.24132,0.2553,"[[416, 53, 11, 70, 0, 21, 51, 47, 175, 156], [89, 176, 6, 57, 0, 72, 142, 85, 225, 148], [106, 47, 10, 167, 1, 24, 442, 103, 41, 59], [32, 45, 9, 218, 0, 60, 438, 119, 18, 61], [31, 28, 10, 104, 0, 12, 643, 90, 27, 55], [28, 90, 7, 198, 0, 96, 409, 87, 25, 60], [7, 9, 3, 104, 1, 18, 747, 83, 5, 23], [21, 63, 9, 109, 0, 41, 327, 224, 31, 175], [215, 68, 10, 44, 0, 38, 30, 53, 301, 241], [64, 61, 4, 48, 0, 17, 113, 147, 181, 365]]"
6,6,0.2526,0.2731,"[[469, 78, 0, 26, 1, 25, 41, 38, 188, 134], [98, 251, 0, 14, 0, 96, 100, 83, 241, 117], [138, 91, 0, 67, 6, 133, 360, 97, 55, 53], [58, 72, 0, 104, 2, 225, 323, 116, 38, 62], [47, 45, 0, 44, 12, 97, 567, 95, 40, 53], [49, 136, 0, 73, 3, 250, 294, 89, 68, 38], [18, 34, 0, 65, 3, 89, 667, 92, 9, 23], [44, 125, 0, 60, 12, 91, 222, 246, 37, 163], [223, 64, 0, 10, 0, 73, 15, 38, 376, 201], [64, 92, 0, 26, 1, 34, 79, 126, 222, 356]]"
7,7,0.26996,0.2889,"[[496, 71, 0, 35, 5, 26, 31, 49, 165, 122], [126, 283, 0, 22, 7, 92, 83, 91, 192, 104], [148, 80, 3, 95, 46, 146, 282, 107, 48, 45], [61, 54, 0, 174, 22, 221, 243, 127, 52, 46], [56, 24, 3, 82, 102, 99, 432, 113, 44, 45], [47, 101, 1, 145, 32, 247, 217, 101, 81, 28], [23, 26, 1, 97, 41, 90, 594, 104, 8, 16], [53, 117, 1, 98, 62, 80, 129, 304, 35, 121], [278, 51, 0, 18, 0, 71, 11, 50, 353, 168], [95, 93, 0, 50, 1, 29, 60, 143, 196, 333]]"
8,8,0.28778,0.3082,"[[391, 118, 2, 48, 8, 27, 39, 57, 188, 122], [66, 388, 6, 20, 17, 75, 90, 85, 148, 105], [95, 81, 16, 81, 112, 129, 286, 95, 70, 35], [30, 66, 9, 160, 64, 201, 282, 103, 43, 42], [45, 30, 4, 65, 230, 84, 382, 96, 31, 33], [15, 126, 10, 123, 81, 244, 251, 77, 53, 20], [9, 30, 7, 88, 113, 63, 599, 67, 9, 15], [23, 115, 18, 79, 125, 81, 125, 307, 36, 91], [154, 107, 0, 22, 2, 69, 20, 61, 394, 171], [44, 161, 1, 42, 9, 32, 73, 130, 155, 353]]"
9,9,0.30224,0.3294,"[[359, 98, 6, 50, 6, 24, 38, 62, 255, 102], [59, 369, 14, 35, 17, 60, 84, 67, 183, 112], [83, 67, 43, 107, 133, 106, 252, 96, 88, 25], [28, 48, 19, 202, 74, 176, 259, 90, 69, 35], [40, 21, 25, 88, 282, 65, 310, 98, 45, 26], [14, 88, 36, 144, 81, 247, 213, 77, 78, 22], [8, 23, 17, 102, 128, 52, 582, 56, 15, 17], [21, 93, 31, 88, 120, 81, 104, 332, 47, 83], [101, 65, 2, 29, 2, 63, 21, 51, 519, 147], [43, 139, 2, 48, 9, 28, 74, 103, 195, 359]]"
