round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 647.590175151825
1, 0.10018, 0.1, 0.1, 1298.5630521774292
2, 0.14684, 0.1472, 0.1472, 1950.2305805683136
3, 0.12846, 0.1296, 0.1296, 2646.5711076259613
4, 0.17614, 0.1858, 0.1858, 3408.4950609207153
5, 0.23884, 0.2557, 0.2557, 4167.264550924301
6, 0.25188, 0.269, 0.269, 4926.794771909714
7, 0.27358, 0.2908, 0.2908, 5690.248558044434
8, 0.29068, 0.3136, 0.3136, 6453.002856492996
9, 0.30388, 0.3341, 0.3341, 7214.740777492523
10, 0.31752, 0.3497, 0.3497, 7977.5042634010315
11, 0.33154, 0.3665, 0.3665, 8738.540038824081
12, 0.34446, 0.3849, 0.3849, 9500.795019626617
13, 0.35866, 0.3978, 0.3978, 10264.249196052551
14, 0.37638, 0.4127, 0.4127, 11025.262533664703
15, 0.3866, 0.4234, 0.4234, 11788.308738231659
16, 0.39654, 0.4328, 0.4328, 12549.26340842247
17, 0.40392, 0.4402, 0.4402, 13310.373345851898
18, 0.40726, 0.4467, 0.4467, 14071.36136841774
19, 0.41426, 0.4499, 0.4499, 14832.49509525299
20, 0.42146, 0.4597, 0.4597, 15590.131094455719
21, 0.42846, 0.462, 0.462, 16348.8948366642
22, 0.4299, 0.4643, 0.4643, 17108.619549036026
23, 0.43378, 0.468, 0.468, 17869.37130999565
24, 0.43104, 0.4694, 0.4694, 18628.818772792816
25, 0.43924, 0.475, 0.475, 19388.939339876175
26, 0.4419, 0.4793, 0.4793, 20149.69674539566
27, 0.445, 0.4774, 0.4774, 20911.560220003128
28, 0.44648, 0.4802, 0.4802, 21672.65873003006
29, 0.4448, 0.4798, 0.4798, 22432.862258911133
30, 0.4481, 0.4843, 0.4843, 23193.08407473564
31, 0.4521, 0.4853, 0.4853, 23953.597732782364
32, 0.45212, 0.4837, 0.4837, 24714.19739460945
33, 0.45304, 0.4868, 0.4868, 25475.64072728157
34, 0.45452, 0.4841, 0.4841, 26236.114316225052
35, 0.45426, 0.4875, 0.4875, 26996.952302455902
36, 0.4589, 0.4873, 0.4873, 27757.80947160721
37, 0.45796, 0.4879, 0.4879, 28517.32803964615
38, 0.45922, 0.4886, 0.4886, 29275.488755702972
39, 0.45946, 0.4898, 0.4898, 30034.602813720703
40, 0.46086, 0.4922, 0.4922, 30795.654086589813
41, 0.4621, 0.4943, 0.4943, 31555.109050512314
42, 0.46218, 0.4917, 0.4917, 32316.687188863754
43, 0.4673, 0.4952, 0.4952, 33078.10090756416
44, 0.46342, 0.4931, 0.4931, 33838.37844944
45, 0.46252, 0.4933, 0.4933, 34597.57844352722
46, 0.465, 0.4964, 0.4964, 35358.05149054527
47, 0.46946, 0.4954, 0.4954, 36119.42388701439
48, 0.46602, 0.4933, 0.4933, 36880.29480791092
49, 0.46746, 0.4947, 0.4947, 37641.391839027405
