,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.09986,0.1003,"[[0, 0, 0, 0, 0, 0, 0, 0, 988, 12], [0, 0, 0, 0, 0, 0, 0, 0, 987, 13], [0, 0, 0, 0, 0, 0, 0, 0, 997, 3], [0, 0, 0, 0, 0, 0, 0, 0, 994, 6], [0, 0, 0, 0, 0, 0, 0, 0, 997, 3], [0, 0, 0, 0, 0, 0, 0, 0, 996, 4], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 996, 4], [0, 0, 0, 0, 0, 0, 0, 0, 997, 3], [0, 0, 0, 0, 0, 0, 0, 0, 994, 6]]"
1,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
2,2,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
3,3,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
4,4,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
5,5,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
6,6,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
7,7,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
8,8,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
9,9,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
10,10,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
11,11,0.10064,0.1005,"[[0, 0, 0, 0, 0, 0, 0, 2, 998, 0], [0, 0, 0, 0, 0, 0, 0, 1, 999, 0], [0, 0, 0, 0, 0, 0, 0, 5, 995, 0], [0, 0, 0, 0, 0, 0, 0, 7, 993, 0], [0, 0, 0, 0, 0, 0, 0, 8, 992, 0], [0, 0, 0, 0, 0, 0, 0, 4, 996, 0], [0, 0, 0, 0, 0, 0, 0, 10, 990, 0], [0, 0, 0, 0, 0, 0, 0, 5, 995, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 2, 998, 0]]"
12,12,0.11606,0.1143,"[[0, 0, 0, 0, 0, 0, 0, 24, 976, 0], [0, 0, 0, 0, 0, 0, 0, 45, 955, 0], [0, 0, 0, 0, 0, 0, 0, 243, 757, 0], [0, 0, 0, 0, 0, 0, 0, 205, 795, 0], [0, 0, 0, 0, 0, 0, 0, 337, 663, 0], [0, 0, 0, 0, 0, 0, 0, 174, 826, 0], [0, 0, 0, 0, 0, 0, 0, 359, 641, 0], [0, 0, 0, 0, 0, 0, 0, 154, 846, 0], [0, 0, 0, 0, 0, 0, 0, 11, 989, 0], [0, 0, 0, 0, 0, 0, 0, 54, 946, 0]]"
13,13,0.1386,0.1382,"[[0, 0, 0, 0, 0, 0, 0, 98, 902, 0], [0, 0, 0, 0, 0, 0, 0, 197, 803, 0], [0, 0, 0, 0, 0, 0, 0, 496, 504, 0], [0, 0, 0, 0, 0, 0, 0, 473, 527, 0], [0, 0, 0, 0, 0, 0, 0, 624, 376, 0], [0, 0, 0, 0, 0, 0, 0, 416, 584, 0], [0, 0, 0, 0, 0, 0, 0, 690, 310, 0], [0, 0, 0, 0, 0, 0, 0, 461, 539, 0], [0, 0, 0, 0, 0, 0, 0, 79, 921, 0], [0, 0, 0, 0, 0, 0, 0, 232, 768, 0]]"
14,14,0.14368,0.145,"[[0, 0, 3, 0, 0, 0, 0, 136, 861, 0], [0, 0, 2, 0, 0, 0, 0, 282, 716, 0], [0, 0, 2, 0, 0, 0, 0, 573, 425, 0], [0, 0, 3, 0, 0, 0, 0, 592, 405, 0], [0, 0, 0, 0, 0, 0, 0, 723, 277, 0], [0, 0, 2, 0, 0, 0, 0, 517, 481, 0], [0, 0, 0, 0, 0, 0, 0, 793, 207, 0], [0, 0, 3, 0, 0, 0, 0, 575, 422, 0], [0, 0, 3, 0, 0, 0, 0, 124, 873, 0], [0, 0, 3, 0, 0, 0, 0, 363, 634, 0]]"
15,15,0.14666,0.1463,"[[0, 0, 7, 0, 0, 0, 0, 142, 851, 0], [0, 0, 10, 0, 0, 0, 0, 312, 678, 0], [0, 0, 5, 0, 0, 0, 0, 602, 393, 0], [0, 0, 8, 0, 0, 0, 0, 620, 372, 0], [0, 0, 4, 0, 0, 0, 0, 764, 232, 0], [0, 0, 7, 0, 0, 0, 0, 545, 448, 0], [0, 0, 1, 0, 0, 0, 0, 817, 182, 0], [0, 0, 9, 0, 0, 0, 0, 602, 389, 0], [0, 0, 5, 0, 0, 0, 0, 139, 856, 0], [0, 0, 19, 0, 0, 0, 0, 395, 586, 0]]"
16,16,0.14866,0.1476,"[[0, 0, 6, 0, 0, 0, 0, 187, 807, 0], [0, 0, 9, 0, 0, 0, 0, 404, 587, 0], [0, 0, 5, 0, 0, 0, 0, 686, 309, 0], [0, 0, 6, 0, 0, 0, 0, 719, 275, 0], [0, 0, 4, 0, 0, 0, 0, 830, 166, 0], [0, 0, 5, 0, 0, 0, 0, 633, 362, 0], [0, 0, 2, 0, 0, 0, 0, 880, 118, 0], [0, 0, 10, 0, 0, 0, 0, 686, 304, 0], [0, 0, 6, 0, 0, 0, 0, 209, 785, 0], [0, 0, 16, 0, 0, 0, 0, 498, 486, 0]]"
17,17,0.14874,0.1483,"[[0, 0, 4, 0, 0, 0, 0, 172, 824, 0], [0, 0, 12, 0, 0, 0, 0, 389, 599, 0], [0, 0, 4, 0, 0, 0, 0, 676, 320, 0], [0, 0, 6, 0, 0, 0, 0, 707, 287, 0], [0, 0, 4, 0, 0, 0, 0, 828, 168, 0], [0, 0, 4, 0, 0, 0, 0, 611, 385, 0], [0, 0, 2, 0, 0, 0, 0, 881, 117, 0], [0, 0, 8, 0, 0, 0, 0, 679, 313, 0], [0, 0, 6, 0, 0, 0, 0, 194, 800, 0], [0, 0, 19, 0, 0, 0, 0, 476, 505, 0]]"
18,18,0.1432,0.1433,"[[0, 0, 8, 0, 0, 0, 0, 105, 887, 0], [0, 0, 14, 0, 0, 0, 0, 253, 733, 0], [0, 0, 9, 0, 0, 0, 0, 551, 440, 0], [0, 0, 19, 0, 0, 0, 0, 552, 429, 0], [0, 0, 11, 0, 0, 0, 0, 710, 279, 0], [0, 0, 15, 0, 0, 0, 0, 465, 520, 0], [0, 0, 4, 0, 0, 0, 0, 784, 212, 0], [0, 0, 21, 0, 0, 0, 0, 530, 449, 0], [0, 0, 8, 0, 0, 0, 0, 98, 894, 0], [0, 0, 26, 0, 0, 0, 0, 287, 687, 0]]"
19,19,0.14334,0.1402,"[[3, 0, 22, 0, 0, 0, 0, 81, 894, 0], [0, 0, 45, 0, 0, 0, 0, 202, 753, 0], [0, 0, 46, 0, 0, 0, 0, 491, 463, 0], [0, 0, 59, 0, 0, 0, 0, 486, 455, 0], [0, 0, 33, 0, 0, 0, 0, 662, 305, 0], [0, 0, 54, 0, 0, 0, 0, 401, 545, 0], [0, 0, 26, 0, 0, 0, 0, 750, 224, 0], [0, 0, 80, 0, 0, 0, 0, 447, 473, 0], [0, 0, 26, 0, 0, 0, 0, 68, 906, 0], [0, 0, 68, 0, 0, 0, 0, 222, 710, 0]]"
20,20,0.14068,0.1382,"[[44, 0, 15, 0, 0, 0, 0, 63, 878, 0], [0, 0, 24, 0, 0, 0, 0, 158, 818, 0], [3, 0, 32, 0, 0, 0, 0, 420, 545, 0], [0, 0, 51, 0, 0, 0, 0, 417, 532, 0], [1, 0, 27, 0, 0, 0, 0, 600, 372, 0], [1, 0, 39, 0, 0, 0, 0, 342, 618, 0], [0, 0, 15, 0, 0, 0, 0, 690, 295, 0], [0, 0, 54, 0, 0, 0, 0, 365, 581, 0], [6, 0, 11, 0, 0, 0, 0, 42, 941, 0], [0, 0, 40, 0, 0, 0, 0, 170, 790, 0]]"
21,21,0.1494,0.1492,"[[155, 0, 27, 0, 0, 0, 0, 64, 754, 0], [7, 0, 48, 0, 0, 0, 0, 166, 779, 0], [26, 0, 73, 0, 0, 0, 0, 430, 471, 0], [5, 0, 85, 0, 0, 0, 0, 430, 480, 0], [5, 0, 57, 0, 0, 0, 0, 615, 323, 0], [9, 0, 64, 0, 0, 0, 0, 358, 569, 0], [0, 0, 43, 0, 0, 0, 0, 713, 244, 0], [3, 0, 107, 0, 0, 0, 0, 371, 519, 0], [40, 0, 17, 0, 0, 0, 0, 50, 893, 0], [6, 0, 82, 0, 0, 0, 0, 167, 745, 0]]"
22,22,0.15286,0.151,"[[330, 0, 11, 0, 0, 0, 0, 63, 596, 0], [63, 0, 23, 0, 0, 0, 0, 160, 754, 0], [66, 0, 21, 0, 0, 0, 0, 431, 482, 0], [39, 0, 44, 0, 0, 0, 0, 432, 485, 0], [18, 0, 21, 0, 0, 0, 0, 626, 335, 0], [52, 0, 34, 0, 0, 0, 0, 363, 551, 0], [2, 0, 14, 0, 0, 0, 0, 712, 272, 0], [18, 0, 46, 0, 0, 0, 0, 380, 556, 0], [172, 0, 3, 0, 0, 0, 0, 46, 779, 0], [52, 0, 40, 0, 0, 0, 0, 172, 736, 0]]"
23,23,0.14304,0.1471,"[[539, 0, 10, 0, 0, 0, 0, 44, 407, 0], [193, 0, 15, 0, 0, 0, 0, 143, 649, 0], [125, 0, 30, 0, 0, 0, 0, 386, 459, 0], [84, 0, 44, 0, 0, 0, 2, 366, 504, 0], [40, 0, 28, 0, 0, 0, 0, 568, 364, 0], [124, 0, 35, 0, 0, 0, 1, 315, 525, 0], [12, 0, 19, 0, 0, 0, 0, 661, 308, 0], [57, 0, 49, 0, 0, 0, 0, 315, 579, 0], [378, 0, 4, 0, 0, 0, 0, 31, 587, 0], [140, 0, 26, 0, 0, 0, 0, 133, 701, 0]]"
24,24,0.14204,0.1466,"[[642, 0, 1, 0, 0, 0, 1, 47, 309, 0], [314, 0, 2, 0, 0, 0, 2, 144, 538, 0], [183, 0, 3, 0, 0, 0, 6, 393, 415, 0], [127, 0, 5, 0, 0, 0, 4, 381, 483, 0], [68, 0, 2, 0, 0, 0, 4, 576, 350, 0], [197, 0, 7, 0, 0, 0, 6, 324, 466, 0], [25, 0, 1, 0, 0, 0, 36, 634, 304, 0], [101, 0, 4, 0, 0, 0, 0, 341, 554, 0], [528, 0, 0, 0, 0, 0, 0, 28, 444, 0], [244, 0, 3, 0, 0, 0, 1, 139, 613, 0]]"
25,25,0.15032,0.1541,"[[809, 0, 0, 0, 0, 0, 8, 37, 146, 0], [561, 0, 3, 0, 0, 0, 37, 86, 313, 0], [291, 0, 4, 0, 0, 0, 101, 261, 343, 0], [278, 0, 8, 0, 0, 0, 81, 259, 374, 0], [147, 0, 3, 0, 0, 0, 197, 345, 308, 0], [362, 0, 14, 0, 0, 0, 67, 227, 330, 0], [81, 0, 2, 0, 0, 0, 292, 354, 271, 0], [238, 0, 2, 0, 0, 0, 44, 253, 463, 0], [796, 0, 1, 0, 0, 0, 1, 19, 183, 0], [472, 0, 4, 0, 0, 0, 18, 98, 408, 0]]"
26,26,0.15418,0.1628,"[[840, 0, 1, 0, 0, 0, 19, 22, 118, 0], [630, 0, 5, 0, 0, 0, 56, 54, 255, 0], [328, 0, 9, 0, 0, 0, 177, 164, 322, 0], [312, 0, 10, 0, 0, 0, 145, 178, 355, 0], [175, 0, 6, 0, 0, 0, 312, 211, 296, 0], [404, 0, 13, 0, 0, 0, 125, 155, 303, 0], [97, 0, 7, 0, 0, 0, 438, 191, 267, 0], [282, 0, 4, 0, 0, 0, 86, 201, 427, 0], [842, 0, 0, 0, 0, 0, 2, 16, 140, 0], [558, 0, 3, 0, 0, 0, 33, 69, 337, 0]]"
27,27,0.17016,0.178,"[[835, 0, 0, 0, 0, 0, 35, 17, 113, 0], [640, 0, 4, 0, 0, 0, 91, 56, 209, 0], [316, 0, 10, 0, 0, 0, 319, 113, 242, 0], [270, 0, 15, 0, 0, 0, 302, 130, 283, 0], [161, 0, 8, 0, 0, 0, 512, 122, 197, 0], [360, 0, 24, 0, 0, 0, 268, 109, 239, 0], [82, 0, 10, 0, 0, 0, 628, 112, 168, 0], [260, 0, 3, 0, 0, 0, 213, 177, 347, 0], [836, 0, 3, 0, 0, 0, 15, 16, 130, 0], [559, 0, 4, 0, 0, 0, 69, 79, 289, 0]]"
28,28,0.18064,0.1885,"[[781, 0, 1, 0, 0, 0, 46, 19, 153, 0], [530, 0, 3, 0, 0, 0, 115, 69, 283, 0], [241, 0, 8, 0, 0, 0, 402, 109, 240, 0], [178, 0, 17, 3, 0, 0, 404, 114, 284, 0], [112, 0, 5, 1, 0, 0, 599, 104, 179, 0], [244, 0, 11, 0, 0, 0, 357, 119, 269, 0], [41, 0, 4, 0, 0, 0, 716, 95, 144, 0], [173, 0, 6, 0, 0, 0, 287, 196, 338, 0], [761, 0, 3, 0, 0, 0, 27, 28, 181, 0], [450, 0, 3, 1, 0, 0, 102, 95, 349, 0]]"
29,29,0.19058,0.1985,"[[617, 0, 5, 1, 0, 0, 55, 50, 272, 0], [311, 0, 7, 1, 0, 0, 149, 84, 448, 0], [163, 0, 10, 2, 0, 0, 469, 121, 235, 0], [79, 0, 30, 5, 0, 0, 488, 130, 268, 0], [69, 0, 7, 3, 0, 0, 659, 104, 158, 0], [100, 0, 20, 2, 0, 0, 446, 117, 315, 0], [7, 0, 7, 2, 0, 0, 779, 102, 103, 0], [71, 0, 9, 2, 0, 0, 377, 184, 357, 0], [519, 0, 5, 3, 0, 0, 40, 43, 390, 0], [243, 0, 6, 0, 0, 0, 138, 114, 499, 0]]"
30,30,0.20814,0.2147,"[[419, 2, 8, 4, 0, 0, 60, 58, 425, 24], [125, 13, 21, 9, 0, 0, 167, 100, 527, 38], [100, 4, 25, 10, 0, 0, 489, 132, 211, 29], [36, 5, 58, 18, 0, 0, 509, 160, 185, 29], [33, 2, 19, 10, 0, 0, 673, 114, 128, 21], [37, 3, 46, 18, 0, 0, 475, 140, 262, 19], [4, 1, 18, 2, 0, 0, 798, 107, 57, 13], [25, 10, 26, 7, 0, 0, 402, 212, 241, 77], [270, 0, 16, 5, 0, 0, 49, 57, 573, 30], [92, 3, 11, 4, 0, 0, 151, 135, 515, 89]]"
31,31,0.21008,0.2249,"[[301, 11, 37, 11, 0, 0, 87, 97, 349, 107], [63, 48, 31, 30, 0, 0, 229, 129, 360, 110], [64, 10, 35, 27, 0, 0, 584, 119, 101, 60], [13, 7, 35, 52, 0, 0, 634, 152, 62, 45], [21, 3, 18, 11, 0, 0, 752, 102, 55, 38], [13, 11, 61, 48, 0, 0, 587, 162, 62, 56], [3, 3, 4, 11, 0, 0, 878, 76, 11, 14], [8, 12, 18, 16, 0, 0, 512, 268, 68, 98], [155, 14, 29, 17, 0, 0, 78, 96, 465, 146], [43, 6, 12, 14, 0, 0, 206, 208, 309, 202]]"
