,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.09412,0.0994,"[[0, 0, 0, 0, 0, 0, 0, 0, 692, 308], [0, 0, 0, 0, 0, 0, 0, 0, 778, 222], [0, 0, 0, 0, 0, 0, 0, 0, 801, 199], [0, 0, 0, 0, 0, 0, 0, 0, 818, 182], [0, 0, 0, 0, 0, 0, 0, 0, 875, 125], [0, 0, 0, 0, 0, 0, 0, 0, 827, 173], [0, 0, 0, 0, 0, 0, 0, 0, 874, 126], [0, 0, 0, 0, 0, 0, 0, 0, 867, 133], [0, 0, 0, 0, 0, 0, 0, 0, 794, 206], [0, 0, 0, 0, 0, 0, 0, 0, 800, 200]]"
1,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
2,2,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
3,3,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
4,4,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
5,5,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
6,6,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
7,7,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
8,8,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
9,9,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
