round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 693.163722038269
1, 0, 0.1, 0, 1397.8962326049805
2, 0, 0.1, 0, 2102.9335191249847
3, 0, 0.1465, 0, 2809.503583908081
4, 0, 0.1224, 0, 3515.507309436798
5, 0, 0.2168, 0, 4218.636527776718
6, 0, 0.2481, 0, 4947.671981573105
7, 0, 0.2581, 0, 5693.020551204681
8, 0, 0.2856, 0, 6439.747948646545
9, 0, 0.2992, 0, 7184.313200473785
10, 0, 0.3167, 0, 7929.339251995087
11, 0, 0.3273, 0, 8673.475623369217
12, 0, 0.3533, 0, 9412.577605724335
13, 0, 0.3577, 0, 10153.51539516449
14, 0, 0.3816, 0, 10892.056197881699
15, 0, 0.3902, 0, 11629.681317567825
16, 0, 0.3991, 0, 12366.664072275162
17, 0, 0.3988, 0, 13106.647405862808
18, 0, 0.4182, 0, 13847.154070615768
19, 0, 0.4188, 0, 14581.038708209991
20, 0, 0.4299, 0, 15320.920380830765
21, 0, 0.4312, 0, 16057.585375070572
22, 0, 0.434, 0, 16793.879477262497
23, 0, 0.4479, 0, 17529.8427567482
24, 0, 0.4517, 0, 18265.530271291733
25, 0, 0.4477, 0, 19006.169987678528
26, 0, 0.4634, 0, 19744.589382886887
27, 0, 0.4678, 0, 20483.575796842575
28, 0, 0.4723, 0, 21221.818577051163
29, 0, 0.4709, 0, 21960.9058303833
30, 0, 0.4806, 0, 22697.644859075546
31, 0, 0.4865, 0, 23440.464367628098
32, 0, 0.4892, 0, 24177.88574528694
33, 0, 0.4869, 0, 24915.172130823135
34, 0, 0.4941, 0, 25654.438460826874
35, 0, 0.4938, 0, 26393.108061790466
36, 0, 0.5003, 0, 27132.779533863068
37, 0, 0.4998, 0, 27873.179799079895
38, 0, 0.5011, 0, 28612.268025398254
39, 0, 0.5045, 0, 29350.259692668915
40, 0, 0.4972, 0, 30090.88876771927
41, 0, 0.5075, 0, 30832.553416252136
42, 0, 0.5121, 0, 31577.96375656128
43, 0, 0.5139, 0, 32317.569042921066
44, 0, 0.5154, 0, 33058.191316366196
45, 0, 0.516, 0, 33796.38086938858
46, 0, 0.5174, 0, 34538.05275082588
47, 0, 0.5188, 0, 35278.014263153076
48, 0, 0.5228, 0, 36017.76905798912
49, 0, 0.5232, 0, 36758.52210211754
