round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 1327.62646150589
1, 0, 0.1, 0, 2657.536199092865
2, 0, 0.1, 0, 3990.176817417145
3, 0, 0.1551, 0, 5319.358798980713
4, 0, 0.1387, 0, 6648.245711565018
5, 0, 0.1092, 0, 7975.4158346652985
6, 0, 0.1292, 0, 9303.00726222992
7, 0, 0.238, 0, 10630.681585788727
8, 0, 0.2576, 0, 11959.10673546791
9, 0, 0.2797, 0, 13289.049055337906
10, 0, 0.2814, 0, 14614.383418560028
11, 0, 0.3051, 0, 15941.064765691757
12, 0, 0.3163, 0, 17273.017643213272
13, 0, 0.333, 0, 18599.410603284836
14, 0, 0.3373, 0, 19926.50136256218
15, 0, 0.3496, 0, 21249.936800718307
16, 0, 0.3592, 0, 22577.565307617188
17, 0, 0.3609, 0, 23903.288928985596
18, 0, 0.3727, 0, 25227.698282957077
19, 0, 0.3776, 0, 26552.171098470688
20, 0, 0.379, 0, 27877.210006713867
21, 0, 0.3832, 0, 29200.952303409576
22, 0, 0.3876, 0, 30525.90172791481
23, 0, 0.394, 0, 31849.065315008163
24, 0, 0.406, 0, 33169.06329226494
25, 0, 0.4061, 0, 34484.59449028969
26, 0, 0.4114, 0, 35800.69375538826
27, 0, 0.4186, 0, 37117.66059112549
28, 0, 0.4219, 0, 38445.965634822845
29, 0, 0.4239, 0, 39762.933641433716
30, 0, 0.4243, 0, 41079.88871335983
31, 0, 0.4334, 0, 42398.95374965668
32, 0, 0.4402, 0, 43720.73121571541
33, 0, 0.4438, 0, 45038.98944187164
34, 0, 0.4398, 0, 46382.1676428318
35, 0, 0.4489, 0, 47711.61008095741
36, 0, 0.453, 0, 49034.376724243164
37, 0, 0.4586, 0, 50361.9553604126
38, 0, 0.4523, 0, 51698.98895955086
39, 0, 0.4556, 0, 53041.31441664696
40, 0, 0.4685, 0, 54375.77255368233
41, 0, 0.4677, 0, 55697.05001783371
42, 0, 0.4658, 0, 57008.164200782776
43, 0, 0.4705, 0, 58311.604160785675
44, 0, 0.4793, 0, 59613.32683181763
45, 0, 0.4796, 0, 60920.33655691147
46, 0, 0.4796, 0, 62224.509022951126
47, 0, 0.4849, 0, 63541.00512218475
48, 0, 0.4871, 0, 64900.36878371239
49, 0, 0.4837, 0, 66304.47044920921
