round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 280.996390581131
1, 0.1, 0.1, 0.1, 561.2423043251038
2, 0.09516, 0.0975, 0.0975, 842.1837134361267
3, 0.08884, 0.0908, 0.0908, 1123.4727184772491
4, 0.0985, 0.0986, 0.0986, 1404.467446565628
5, 0.1, 0.1, 0.1, 1685.9176728725433
6, 0.1, 0.1, 0.1, 1966.7150325775146
7, 0.1, 0.1, 0.1, 2247.5166068077087
8, 0.1, 0.1, 0.1, 2528.0700058937073
9, 0.1, 0.1, 0.1, 2809.703852891922
10, 0.09974, 0.1001, 0.1001, 3091.2812831401825
11, 0.09998, 0.1005, 0.1005, 3373.277187347412
12, 0.105, 0.1076, 0.1076, 3653.6590836048126
13, 0.10554, 0.1093, 0.1093, 3934.70029091835
14, 0.10692, 0.1108, 0.1108, 4215.760389089584
15, 0.10614, 0.1087, 0.1087, 4496.351245880127
16, 0.10576, 0.1106, 0.1106, 4784.789961338043
17, 0.10846, 0.1127, 0.1127, 5073.907643795013
18, 0.1074, 0.1124, 0.1124, 5363.404385089874
19, 0.1042, 0.1081, 0.1081, 5651.436126232147
20, 0.10542, 0.1094, 0.1094, 5940.039427042007
21, 0.10462, 0.1078, 0.1078, 6229.110690832138
22, 0.10414, 0.1075, 0.1075, 6518.04879617691
23, 0.10356, 0.106, 0.106, 6806.973917961121
24, 0.1033, 0.1056, 0.1056, 7096.873482704163
25, 0.1031, 0.1052, 0.1052, 7385.461126327515
26, 0.10572, 0.1099, 0.1099, 7674.990618944168
27, 0.10708, 0.1121, 0.1121, 7965.557977676392
28, 0.10644, 0.1097, 0.1097, 8256.380746364594
29, 0.11164, 0.1161, 0.1161, 8547.140570640564
30, 0.12122, 0.1258, 0.1258, 8835.11268377304
31, 0.14284, 0.1462, 0.1462, 9122.26875758171
32, 0.16968, 0.1736, 0.1736, 9408.947517633438
33, 0.17554, 0.1807, 0.1807, 9696.26367855072
34, 0.17056, 0.1751, 0.1751, 9983.553769826889
35, 0.16832, 0.1685, 0.1685, 10269.955141544342
36, 0.16918, 0.1704, 0.1704, 10556.6014919281
37, 0.17112, 0.1718, 0.1718, 10843.341088533401
38, 0.18134, 0.1851, 0.1851, 11129.437443256378
39, 0.19912, 0.2077, 0.2077, 11415.43001461029
40, 0.20994, 0.2131, 0.2131, 11700.92207312584
41, 0.20872, 0.2135, 0.2135, 11986.899625301361
42, 0.20636, 0.218, 0.218, 12272.391108751297
43, 0.1998, 0.2112, 0.2112, 12557.97767496109
44, 0.12378, 0.1228, 0.1228, 12842.462490081787
45, 0.10626, 0.1077, 0.1077, 13124.888859987259
46, 0.10864, 0.1114, 0.1114, 13407.794955730438
47, 0.11076, 0.1127, 0.1127, 13690.375284671783
48, 0.11234, 0.115, 0.115, 13972.214587450027
49, 0.11596, 0.1175, 0.1175, 14254.317108869553
