round, train_acc, test_acc, f1, time_stamp
0, 0, 0.2168, 0, 1849.3432893753052
1, 0, 0.2756, 0, 3686.416921377182
2, 0, 0.3106, 0, 5519.420951604843
3, 0, 0.3435, 0, 7355.62483549118
4, 0, 0.3881, 0, 9191.982617855072
5, 0, 0.4094, 0, 11028.003648757935
6, 0, 0.4229, 0, 12864.737977027893
7, 0, 0.4559, 0, 14701.109139919281
8, 0, 0.4723, 0, 16555.477925300598
9, 0, 0.4844, 0, 18407.74920105934
10, 0, 0.4996, 0, 20263.8863260746
11, 0, 0.5075, 0, 22132.44582772255
12, 0, 0.5131, 0, 23987.89718747139
13, 0, 0.5216, 0, 25829.072823762894
14, 0, 0.5228, 0, 27675.12455034256
15, 0, 0.5259, 0, 29517.67459487915
16, 0, 0.5348, 0, 31367.16862630844
17, 0, 0.5388, 0, 33230.2607960701
18, 0, 0.5464, 0, 35202.222927093506
19, 0, 0.5437, 0, 37328.679732084274
20, 0, 0.545, 0, 39455.45529985428
21, 0, 0.5508, 0, 41596.60024547577
22, 0, 0.5568, 0, 43641.09863781929
23, 0, 0.5589, 0, 45636.94726681709
24, 0, 0.5647, 0, 47595.66231751442
25, 0, 0.5653, 0, 49553.31973743439
26, 0, 0.5688, 0, 51595.039487838745
27, 0, 0.5716, 0, 53639.61099481583
28, 0, 0.575, 0, 55750.5523557663
29, 0, 0.5794, 0, 57889.58171534538
30, 0, 0.5777, 0, 60023.97243952751
31, 0, 0.5858, 0, 62176.892241716385
32, 0, 0.5873, 0, 64330.53600072861
33, 0, 0.5883, 0, 66484.50456309319
34, 0, 0.5914, 0, 68658.99192142487
35, 0, 0.5944, 0, 70843.09749794006
36, 0, 0.6021, 0, 73011.45835328102
37, 0, 0.6005, 0, 74872.9760916233
38, 0, 0.6027, 0, 76730.14861440659
39, 0, 0.6034, 0, 78587.58266115189
40, 0, 0.6051, 0, 80448.82959485054
41, 0, 0.6064, 0, 82670.37467074394
42, 0, 0.6079, 0, 84957.70811319351
43, 0, 0.6126, 0, 87286.71405053139
44, 0, 0.6171, 0, 89826.07651591301
45, 0, 0.6163, 0, 92434.18640780449
46, 0, 0.6184, 0, 95036.35830235481
47, 0, 0.6187, 0, 97638.23754930496
48, 0, 0.6224, 0, 99888.59338259697
49, 0, 0.6254, 0, 101769.46337866783
