,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 1, 999], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,0.1145,0.1162,"[[0, 0, 0, 0, 0, 4, 0, 0, 318, 678], [0, 0, 0, 0, 0, 10, 0, 0, 226, 764], [0, 0, 0, 0, 0, 6, 0, 0, 127, 867], [0, 0, 0, 0, 0, 10, 0, 0, 147, 843], [0, 0, 0, 0, 0, 2, 0, 0, 89, 909], [0, 0, 0, 0, 0, 16, 0, 0, 242, 742], [0, 0, 0, 0, 0, 12, 0, 0, 99, 889], [0, 0, 0, 0, 0, 8, 0, 0, 155, 837], [0, 0, 0, 0, 0, 13, 0, 0, 346, 641], [0, 0, 0, 0, 0, 2, 0, 0, 198, 800]]"
2,2,0.12948,0.1303,"[[0, 0, 0, 0, 0, 15, 0, 0, 811, 174], [0, 0, 0, 2, 0, 53, 0, 0, 679, 266], [0, 0, 0, 0, 0, 40, 0, 0, 635, 325], [0, 0, 0, 4, 0, 90, 0, 0, 570, 336], [0, 0, 0, 1, 0, 65, 0, 0, 532, 402], [0, 0, 0, 6, 0, 90, 0, 0, 641, 263], [0, 0, 0, 1, 0, 102, 0, 0, 551, 346], [0, 0, 0, 0, 0, 43, 0, 0, 554, 403], [0, 0, 0, 5, 0, 38, 0, 0, 804, 153], [0, 0, 0, 1, 0, 11, 0, 0, 583, 405]]"
3,3,0.12482,0.1233,"[[8, 0, 0, 12, 0, 22, 0, 0, 914, 44], [1, 0, 0, 20, 0, 72, 0, 0, 824, 83], [3, 4, 0, 31, 0, 73, 0, 0, 810, 79], [13, 0, 0, 85, 0, 100, 0, 0, 672, 130], [4, 1, 0, 53, 0, 119, 0, 0, 711, 112], [32, 0, 0, 70, 0, 76, 0, 0, 714, 108], [1, 0, 0, 27, 0, 180, 0, 0, 692, 100], [11, 0, 0, 43, 0, 48, 0, 0, 719, 179], [6, 0, 0, 30, 0, 28, 0, 0, 885, 51], [1, 0, 0, 9, 0, 13, 0, 0, 798, 179]]"
4,4,0.1223,0.1194,"[[119, 1, 0, 17, 0, 6, 0, 0, 846, 11], [60, 0, 0, 35, 0, 33, 0, 0, 841, 31], [167, 0, 0, 51, 0, 22, 0, 0, 735, 25], [231, 0, 0, 141, 0, 25, 0, 0, 547, 56], [175, 0, 0, 108, 0, 39, 0, 0, 648, 30], [290, 1, 0, 107, 0, 13, 0, 0, 551, 38], [161, 1, 0, 72, 0, 84, 0, 0, 649, 33], [195, 0, 0, 66, 0, 17, 0, 0, 645, 77], [87, 0, 0, 38, 0, 8, 0, 0, 857, 10], [43, 0, 0, 11, 0, 5, 0, 0, 877, 64]]"
5,5,0.16204,0.1698,"[[520, 0, 0, 57, 0, 25, 0, 0, 349, 49], [231, 0, 0, 95, 0, 81, 0, 0, 508, 85], [543, 3, 0, 156, 0, 63, 0, 0, 194, 41], [356, 3, 0, 344, 0, 45, 0, 0, 177, 75], [407, 1, 0, 279, 0, 84, 0, 0, 176, 53], [454, 1, 0, 280, 0, 53, 0, 0, 146, 66], [341, 10, 0, 228, 0, 181, 0, 0, 184, 56], [340, 2, 0, 200, 0, 48, 0, 0, 249, 161], [247, 0, 0, 103, 0, 24, 0, 0, 571, 55], [175, 1, 0, 50, 0, 21, 0, 0, 543, 210]]"
6,6,0.17724,0.1835,"[[453, 3, 0, 54, 0, 77, 0, 0, 335, 78], [152, 1, 0, 49, 0, 186, 0, 0, 478, 134], [439, 8, 0, 110, 0, 214, 0, 0, 179, 50], [252, 5, 0, 244, 0, 279, 0, 2, 135, 83], [311, 2, 0, 174, 0, 298, 0, 1, 149, 65], [314, 1, 0, 193, 0, 278, 0, 0, 146, 68], [227, 20, 0, 130, 0, 419, 0, 0, 147, 57], [244, 2, 0, 199, 0, 146, 0, 0, 227, 182], [178, 0, 0, 55, 0, 126, 0, 0, 539, 102], [146, 3, 0, 43, 0, 65, 0, 0, 423, 320]]"
7,7,0.19754,0.2049,"[[324, 13, 47, 65, 0, 181, 3, 3, 230, 134], [48, 50, 48, 48, 1, 276, 24, 5, 307, 193], [142, 44, 102, 111, 0, 454, 13, 5, 62, 67], [61, 29, 81, 177, 3, 481, 21, 16, 40, 91], [52, 49, 90, 133, 1, 534, 23, 3, 42, 73], [73, 41, 69, 162, 3, 515, 12, 13, 47, 65], [30, 65, 68, 106, 0, 596, 42, 6, 21, 66], [50, 53, 67, 205, 1, 274, 16, 28, 96, 210], [95, 23, 27, 27, 0, 234, 0, 1, 386, 207], [64, 37, 49, 43, 2, 124, 15, 15, 227, 424]]"
8,8,0.22524,0.2355,"[[591, 11, 1, 23, 0, 31, 20, 26, 224, 73], [227, 33, 3, 33, 1, 100, 86, 37, 355, 125], [316, 28, 4, 152, 0, 160, 160, 72, 50, 58], [222, 17, 2, 194, 1, 244, 141, 79, 24, 76], [174, 21, 4, 180, 1, 170, 284, 80, 31, 55], [291, 23, 3, 178, 0, 225, 121, 87, 24, 48], [100, 24, 1, 115, 0, 198, 416, 83, 8, 55], [172, 26, 3, 192, 0, 103, 88, 138, 85, 193], [352, 8, 0, 17, 0, 69, 3, 15, 413, 123], [198, 17, 1, 35, 1, 29, 47, 70, 262, 340]]"
9,9,0.22558,0.2374,"[[229, 79, 165, 3, 12, 95, 84, 31, 167, 135], [19, 193, 88, 0, 7, 164, 234, 28, 124, 143], [60, 35, 114, 0, 19, 123, 561, 22, 27, 39], [8, 18, 60, 5, 36, 209, 551, 63, 8, 42], [21, 6, 54, 1, 22, 96, 712, 27, 19, 42], [4, 20, 66, 3, 37, 287, 524, 27, 10, 22], [4, 5, 32, 1, 27, 56, 829, 28, 0, 18], [8, 43, 58, 5, 33, 126, 488, 112, 13, 114], [48, 135, 86, 0, 1, 150, 70, 29, 243, 238], [15, 117, 66, 3, 11, 66, 215, 73, 94, 340]]"
