,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.22986,0.2278,"[[230, 46, 13, 10, 0, 67, 13, 19, 441, 161], [34, 143, 15, 6, 8, 163, 57, 27, 311, 236], [107, 77, 40, 25, 10, 329, 96, 68, 117, 131], [58, 44, 29, 68, 21, 419, 65, 58, 57, 181], [43, 50, 27, 40, 23, 378, 163, 95, 45, 136], [71, 71, 24, 61, 22, 403, 66, 66, 91, 125], [17, 41, 20, 30, 11, 424, 236, 69, 15, 137], [26, 61, 16, 66, 11, 229, 53, 103, 86, 349], [76, 47, 7, 7, 1, 106, 0, 5, 510, 241], [20, 49, 14, 15, 4, 57, 40, 28, 251, 522]]"
1,1,0.25394,0.2692,"[[495, 46, 0, 44, 17, 77, 56, 122, 19, 124], [180, 201, 1, 16, 18, 174, 160, 97, 33, 120], [115, 34, 0, 47, 109, 114, 426, 125, 4, 26], [33, 11, 0, 59, 128, 205, 357, 178, 0, 29], [50, 6, 1, 36, 154, 79, 533, 104, 3, 34], [29, 9, 0, 40, 125, 313, 348, 120, 1, 15], [8, 4, 0, 10, 74, 53, 735, 105, 1, 10], [29, 26, 0, 28, 164, 109, 227, 334, 2, 81], [357, 74, 0, 22, 9, 112, 34, 105, 63, 224], [135, 75, 1, 10, 17, 66, 134, 191, 33, 338]]"
2,2,0.30176,0.3286,"[[432, 47, 3, 3, 32, 25, 36, 67, 260, 95], [52, 311, 0, 1, 28, 44, 109, 56, 241, 158], [137, 52, 8, 11, 290, 92, 222, 95, 45, 48], [56, 25, 8, 16, 204, 203, 237, 143, 40, 68], [65, 9, 3, 8, 435, 76, 241, 91, 35, 37], [44, 45, 4, 16, 214, 262, 216, 113, 53, 33], [15, 11, 0, 6, 242, 50, 537, 102, 5, 32], [36, 51, 4, 11, 237, 81, 105, 326, 34, 115], [121, 57, 0, 1, 12, 60, 18, 51, 537, 143], [43, 82, 2, 5, 20, 18, 91, 88, 229, 422]]"
3,3,0.33302,0.3609,"[[277, 107, 14, 3, 38, 5, 22, 62, 426, 46], [7, 558, 4, 5, 18, 6, 57, 44, 179, 122], [88, 83, 42, 61, 295, 47, 163, 113, 75, 33], [29, 80, 27, 96, 124, 131, 215, 171, 60, 67], [38, 45, 18, 26, 475, 16, 185, 115, 70, 12], [17, 87, 18, 95, 148, 207, 180, 146, 76, 26], [6, 42, 13, 15, 276, 23, 471, 102, 19, 33], [16, 108, 12, 42, 135, 39, 73, 444, 55, 76], [42, 127, 5, 7, 12, 15, 13, 27, 696, 56], [8, 211, 4, 17, 16, 4, 66, 93, 238, 343]]"
4,4,0.36164,0.3913,"[[361, 197, 28, 8, 37, 6, 19, 36, 246, 62], [5, 741, 1, 9, 5, 8, 16, 20, 74, 121], [73, 109, 67, 98, 237, 85, 120, 128, 47, 36], [27, 123, 25, 151, 79, 207, 133, 112, 33, 110], [38, 91, 19, 38, 360, 44, 182, 150, 47, 31], [15, 104, 15, 129, 82, 304, 113, 145, 43, 50], [2, 93, 5, 46, 187, 60, 462, 64, 15, 66], [14, 167, 10, 56, 78, 56, 38, 445, 31, 105], [62, 186, 11, 11, 11, 22, 6, 13, 590, 88], [11, 365, 4, 24, 8, 8, 15, 28, 105, 432]]"
5,5,0.3871,0.4242,"[[430, 188, 38, 27, 76, 9, 27, 42, 122, 41], [12, 775, 2, 22, 12, 14, 26, 40, 32, 65], [51, 55, 106, 114, 314, 77, 121, 121, 20, 21], [16, 78, 20, 232, 91, 219, 180, 102, 12, 50], [34, 48, 27, 45, 511, 38, 146, 113, 28, 10], [7, 62, 21, 168, 105, 353, 123, 124, 16, 21], [0, 24, 5, 66, 251, 49, 529, 43, 7, 26], [13, 88, 16, 77, 112, 69, 40, 522, 17, 46], [111, 250, 19, 21, 30, 30, 15, 20, 449, 55], [24, 417, 4, 50, 9, 17, 32, 50, 62, 335]]"
6,6,0.39534,0.4371,"[[509, 109, 48, 15, 72, 16, 37, 76, 48, 70], [27, 665, 6, 24, 18, 23, 40, 59, 17, 121], [45, 28, 165, 55, 274, 124, 174, 106, 14, 15], [17, 33, 36, 142, 86, 312, 234, 93, 15, 32], [36, 30, 38, 28, 450, 51, 217, 125, 20, 5], [9, 28, 46, 76, 97, 455, 166, 99, 12, 12], [1, 13, 15, 33, 146, 44, 703, 32, 6, 7], [13, 35, 25, 40, 103, 114, 77, 554, 9, 30], [221, 154, 28, 17, 54, 38, 19, 41, 319, 109], [25, 272, 6, 41, 19, 37, 58, 98, 35, 409]]"
7,7,0.409,0.4526,"[[464, 43, 25, 19, 47, 13, 38, 37, 239, 75], [26, 519, 5, 15, 13, 21, 35, 39, 172, 155], [81, 20, 146, 63, 218, 115, 230, 60, 43, 24], [21, 23, 40, 158, 62, 279, 264, 54, 48, 51], [42, 16, 38, 29, 375, 45, 294, 89, 50, 22], [13, 15, 54, 101, 66, 431, 189, 58, 50, 23], [4, 15, 12, 31, 91, 40, 760, 21, 15, 11], [23, 34, 16, 39, 87, 128, 98, 485, 32, 58], [86, 61, 10, 13, 25, 18, 14, 17, 699, 57], [25, 156, 4, 37, 7, 29, 53, 46, 154, 489]]"
8,8,0.40936,0.4494,"[[383, 45, 19, 16, 60, 13, 31, 37, 355, 41], [21, 509, 3, 15, 21, 12, 34, 32, 214, 139], [68, 23, 163, 48, 303, 94, 153, 69, 61, 18], [23, 21, 40, 155, 95, 250, 240, 83, 55, 38], [36, 18, 43, 14, 500, 32, 182, 101, 65, 9], [10, 17, 57, 85, 102, 398, 165, 94, 53, 19], [3, 13, 14, 27, 185, 30, 671, 31, 16, 10], [17, 25, 24, 33, 128, 91, 53, 541, 37, 51], [38, 57, 10, 10, 30, 16, 14, 21, 774, 30], [17, 172, 5, 32, 18, 24, 53, 66, 213, 400]]"
9,9,0.4259,0.4634,"[[522, 91, 36, 12, 49, 16, 21, 32, 189, 32], [28, 699, 3, 15, 18, 10, 22, 35, 99, 71], [72, 30, 237, 63, 277, 78, 93, 97, 36, 17], [30, 43, 66, 203, 83, 212, 184, 107, 41, 31], [47, 33, 58, 38, 497, 33, 115, 131, 36, 12], [19, 33, 65, 137, 82, 374, 102, 134, 34, 20], [5, 19, 41, 49, 226, 38, 550, 47, 14, 11], [32, 46, 40, 48, 89, 80, 24, 583, 18, 40], [99, 126, 12, 12, 33, 16, 9, 22, 647, 24], [32, 331, 9, 36, 18, 13, 35, 70, 134, 322]]"
