round, train_acc, test_acc, f1, time_stamp
0, 0, 0.4406, 0, 3157.7123959064484
1, 0, 0.5412, 0, 6495.8343415260315
2, 0, 0.5797, 0, 9807.057410001755
3, 0, 0.6095, 0, 13119.478304624557
4, 0, 0.6239, 0, 16549.740866184235
5, 0, 0.64, 0, 19796.46839904785
6, 0, 0.6482, 0, 23204.51666378975
7, 0, 0.6546, 0, 26692.380544900894
8, 0, 0.6602, 0, 30093.470885038376
9, 0, 0.6597, 0, 33544.29876255989
10, 0, 0.6645, 0, 36803.188249111176
11, 0, 0.6683, 0, 40052.51314949989
12, 0, 0.6715, 0, 43375.088814258575
13, 0, 0.6733, 0, 46964.356133937836
14, 0, 0.678, 0, 50297.13304853439
15, 0, 0.6802, 0, 53687.59055352211
16, 0, 0.6843, 0, 57010.118124485016
17, 0, 0.6845, 0, 60271.7278175354
18, 0, 0.6835, 0, 63482.24437022209
19, 0, 0.6862, 0, 66771.18625116348
20, 0, 0.6865, 0, 70119.36462831497
21, 0, 0.6876, 0, 73384.31501483917
22, 0, 0.694, 0, 76686.42068910599
23, 0, 0.692, 0, 79827.04179930687
24, 0, 0.6956, 0, 83128.11143088341
25, 0, 0.6931, 0, 86496.57761693001
26, 0, 0.1913, 0, 89856.1391479969
27, 0, 0.694, 0, 93781.20227956772
28, 0, 0.6926, 0, 97733.1940703392
29, 0, 0.696, 0, 101598.03141021729
30, 0, 0.6952, 0, 105406.6450073719
31, 0, 0.6981, 0, 110278.2129650116
32, 0, 0.7012, 0, 114209.01914381981
33, 0, 0.6973, 0, 118141.02274799347
34, 0, 0.6981, 0, 122041.56279993057
35, 0, 0.6999, 0, 125897.3815934658
36, 0, 0.7017, 0, 129864.62215542793
37, 0, 0.7012, 0, 133677.29192495346
38, 0, 0.701, 0, 137087.0490489006
39, 0, 0.6996, 0, 140346.05762052536
40, 0, 0.7015, 0, 143630.77398753166
41, 0, 0.7028, 0, 146798.71541643143
42, 0, 0.7034, 0, 150023.55630874634
43, 0, 0.7043, 0, 153123.22205543518
44, 0, 0.7042, 0, 156644.80647301674
45, 0, 0.7054, 0, 159980.89551520348
46, 0, 0.7055, 0, 163349.84851646423
47, 0, 0.6995, 0, 166538.9934167862
48, 0, 0.7045, 0, 169969.84629535675
49, 0, 0.7066, 0, 173515.11585140228
