round, train_acc, test_acc, f1, time_stamp
0, 0.18056, 0.1788, 0.1788, 531.2128024101257
1, 0.25388, 0.2712, 0.2712, 1059.3927764892578
2, 0.25218, 0.2688, 0.2688, 1593.655555009842
3, 0.25326, 0.2733, 0.2733, 2123.6330103874207
4, 0.17032, 0.1784, 0.1784, 2652.3110206127167
5, 0.2287, 0.2381, 0.2381, 3182.5604610443115
6, 0.1441, 0.1445, 0.1445, 3714.820351600647
7, 0.1933, 0.1972, 0.1972, 4238.220540761948
8, 0.14546, 0.1517, 0.1517, 4752.283997535706
9, 0.20158, 0.2162, 0.2162, 5268.267186164856
10, 0.21128, 0.2212, 0.2212, 5786.239598751068
11, 0.19426, 0.2091, 0.2091, 6302.4917640686035
12, 0.21468, 0.2353, 0.2353, 6819.451630592346
13, 0.23606, 0.2536, 0.2536, 7337.064179897308
14, 0.25402, 0.2793, 0.2793, 7850.627410888672
15, 0.19562, 0.2142, 0.2142, 8358.749110460281
16, 0.22758, 0.2508, 0.2508, 8868.2350628376
17, 0.23166, 0.2458, 0.2458, 9399.48912858963
18, 0.2964, 0.3228, 0.3228, 9928.485437870026
19, 0.21784, 0.2307, 0.2307, 10460.665204763412
20, 0.31638, 0.3433, 0.3433, 10980.274145841599
21, 0.21048, 0.2214, 0.2214, 11497.5751516819
22, 0.30398, 0.3287, 0.3287, 12017.448512554169
23, 0.18596, 0.1945, 0.1945, 12525.496364116669
24, 0.21938, 0.2271, 0.2271, 13034.679938316345
25, 0.17598, 0.1831, 0.1831, 13541.573287963867
26, 0.2289, 0.2435, 0.2435, 14049.943256855011
27, 0.18302, 0.1893, 0.1893, 14558.22892332077
28, 0.15304, 0.1604, 0.1604, 15066.527817487717
29, 0.20316, 0.2167, 0.2167, 15573.887388706207
30, 0.21244, 0.2306, 0.2306, 16080.268455266953
31, 0.22806, 0.2497, 0.2497, 16587.697921037674
32, 0.19834, 0.2127, 0.2127, 17093.974826574326
33, 0.17774, 0.1858, 0.1858, 17599.47575545311
34, 0.24478, 0.262, 0.262, 18106.25499868393
35, 0.18772, 0.2006, 0.2006, 18611.76285648346
36, 0.1404, 0.149, 0.149, 19115.998107910156
37, 0.18984, 0.2032, 0.2032, 19621.701151371002
38, 0.21658, 0.2271, 0.2271, 20126.53480195999
39, 0.29906, 0.3205, 0.3205, 20633.154246091843
40, 0.3608, 0.3861, 0.3861, 21138.955580472946
41, 0.31444, 0.3419, 0.3419, 21645.401462078094
42, 0.26034, 0.2788, 0.2788, 22150.226669311523
43, 0.18638, 0.1997, 0.1997, 22655.4114382267
44, 0.15616, 0.1682, 0.1682, 23161.48509812355
45, 0.16014, 0.1778, 0.1778, 23669.029031276703
46, 0.25076, 0.2687, 0.2687, 24174.11689567566
47, 0.29022, 0.3133, 0.3133, 24678.356698989868
48, 0.28358, 0.3031, 0.3031, 25185.43336057663
49, 0.22486, 0.2468, 0.2468, 25688.6347155571
