,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.22298,0.2359,"[[98, 195, 19, 0, 5, 136, 4, 10, 388, 145], [8, 398, 49, 0, 32, 172, 7, 21, 156, 157], [32, 126, 153, 0, 83, 364, 37, 27, 97, 81], [16, 97, 98, 0, 122, 458, 12, 61, 22, 114], [13, 82, 168, 0, 215, 312, 59, 41, 33, 77], [16, 136, 102, 0, 96, 485, 9, 46, 36, 74], [12, 58, 189, 0, 241, 282, 83, 44, 7, 84], [12, 147, 74, 0, 97, 276, 3, 128, 39, 224], [24, 204, 8, 0, 6, 188, 0, 6, 408, 156], [6, 226, 59, 0, 12, 96, 6, 30, 174, 391]]"
1,1,0.27592,0.292,"[[359, 36, 1, 4, 7, 41, 29, 45, 399, 79], [43, 151, 0, 4, 6, 62, 73, 68, 458, 135], [137, 50, 0, 22, 85, 195, 261, 110, 96, 44], [91, 27, 2, 29, 76, 306, 182, 158, 69, 60], [67, 13, 2, 15, 155, 135, 403, 114, 54, 42], [105, 28, 1, 19, 91, 337, 163, 126, 97, 33], [29, 27, 2, 23, 72, 124, 555, 122, 17, 29], [68, 55, 1, 19, 94, 129, 92, 328, 86, 128], [105, 29, 1, 5, 2, 61, 7, 30, 639, 121], [34, 34, 1, 8, 4, 41, 57, 82, 372, 367]]"
2,2,0.32114,0.3515,"[[487, 72, 2, 6, 13, 48, 38, 70, 181, 83], [54, 407, 1, 3, 5, 39, 82, 43, 160, 206], [126, 63, 7, 30, 193, 148, 248, 129, 34, 22], [62, 40, 2, 27, 114, 280, 231, 161, 23, 60], [58, 17, 2, 10, 308, 108, 325, 122, 23, 27], [50, 47, 4, 23, 133, 358, 204, 136, 22, 23], [11, 26, 1, 23, 142, 81, 585, 97, 7, 27], [57, 52, 3, 7, 136, 129, 90, 418, 21, 87], [172, 93, 0, 6, 3, 67, 17, 32, 440, 170], [49, 113, 0, 9, 7, 28, 75, 59, 182, 478]]"
3,3,0.35352,0.3914,"[[517, 65, 5, 18, 9, 31, 28, 68, 195, 64], [57, 488, 1, 17, 6, 18, 27, 31, 144, 211], [118, 57, 47, 75, 194, 123, 187, 145, 32, 22], [65, 43, 13, 169, 68, 219, 204, 128, 26, 65], [66, 17, 21, 50, 319, 84, 251, 152, 24, 16], [48, 34, 23, 95, 97, 363, 141, 135, 34, 30], [12, 25, 17, 80, 131, 58, 555, 72, 10, 40], [59, 44, 9, 43, 98, 102, 62, 487, 26, 70], [195, 80, 0, 23, 1, 34, 13, 27, 490, 137], [53, 141, 0, 29, 3, 11, 50, 50, 184, 479]]"
4,4,0.3883,0.4229,"[[478, 69, 35, 20, 6, 25, 24, 40, 208, 95], [21, 554, 3, 13, 3, 22, 20, 23, 100, 241], [76, 58, 152, 86, 149, 119, 187, 114, 30, 29], [36, 42, 50, 212, 35, 237, 188, 107, 14, 79], [49, 22, 66, 63, 305, 76, 232, 137, 26, 24], [26, 31, 64, 135, 40, 420, 122, 105, 23, 34], [6, 25, 48, 96, 104, 51, 564, 54, 7, 45], [38, 36, 28, 58, 72, 118, 54, 497, 12, 87], [148, 99, 2, 23, 3, 29, 15, 13, 503, 165], [18, 178, 4, 37, 3, 13, 37, 41, 125, 544]]"
5,5,0.40862,0.446,"[[536, 69, 43, 16, 8, 16, 20, 34, 188, 70], [32, 605, 2, 9, 3, 18, 18, 20, 115, 178], [95, 44, 205, 81, 136, 115, 162, 105, 29, 28], [41, 47, 57, 239, 27, 237, 173, 93, 16, 70], [65, 26, 92, 55, 303, 47, 217, 146, 30, 19], [30, 27, 71, 139, 31, 429, 114, 110, 21, 28], [6, 22, 56, 83, 103, 46, 581, 55, 7, 41], [48, 37, 32, 62, 65, 105, 42, 532, 10, 67], [191, 95, 4, 20, 3, 22, 11, 16, 530, 108], [43, 206, 4, 32, 4, 10, 31, 40, 130, 500]]"
6,6,0.42662,0.465,"[[501, 70, 42, 25, 11, 12, 21, 31, 207, 80], [22, 622, 4, 13, 5, 12, 20, 21, 94, 187], [77, 34, 222, 105, 139, 90, 166, 114, 27, 26], [27, 36, 49, 362, 25, 161, 181, 86, 11, 62], [50, 26, 83, 78, 301, 44, 230, 142, 28, 18], [21, 19, 63, 239, 29, 356, 114, 110, 20, 29], [2, 18, 46, 115, 99, 25, 614, 42, 6, 33], [36, 25, 23, 89, 53, 86, 49, 567, 12, 60], [148, 103, 6, 22, 7, 16, 11, 17, 565, 105], [30, 198, 5, 38, 4, 9, 34, 40, 102, 540]]"
7,7,0.43824,0.4827,"[[513, 51, 60, 26, 13, 12, 21, 28, 180, 96], [21, 584, 11, 11, 5, 21, 21, 22, 67, 237], [72, 22, 357, 88, 102, 96, 122, 90, 24, 27], [26, 22, 77, 344, 25, 193, 167, 79, 9, 58], [46, 19, 146, 73, 314, 43, 194, 118, 29, 18], [23, 14, 93, 216, 26, 401, 97, 91, 18, 21], [1, 16, 91, 114, 90, 33, 587, 35, 6, 27], [35, 13, 46, 85, 51, 93, 43, 571, 9, 54], [144, 82, 11, 22, 6, 24, 12, 13, 554, 132], [25, 163, 11, 43, 4, 11, 31, 38, 72, 602]]"
8,8,0.45194,0.4926,"[[529, 60, 47, 11, 15, 8, 25, 26, 200, 79], [17, 638, 10, 9, 4, 12, 15, 16, 89, 190], [70, 34, 366, 64, 142, 70, 120, 77, 30, 27], [31, 36, 83, 281, 35, 188, 193, 78, 15, 60], [48, 30, 147, 50, 373, 31, 168, 99, 34, 20], [22, 22, 112, 172, 37, 381, 114, 91, 22, 27], [3, 16, 90, 68, 120, 24, 597, 34, 11, 37], [41, 24, 52, 64, 67, 72, 43, 560, 16, 61], [123, 90, 11, 16, 5, 15, 9, 16, 618, 97], [25, 197, 10, 25, 4, 10, 26, 35, 85, 583]]"
9,9,0.46166,0.5066,"[[535, 71, 52, 17, 17, 9, 32, 33, 153, 81], [19, 706, 10, 10, 5, 12, 14, 18, 47, 159], [55, 35, 353, 77, 104, 88, 148, 91, 27, 22], [21, 29, 59, 312, 24, 198, 208, 86, 8, 55], [36, 27, 131, 55, 324, 41, 210, 125, 31, 20], [11, 20, 81, 183, 30, 406, 117, 109, 18, 25], [1, 17, 71, 77, 74, 25, 661, 37, 9, 28], [28, 21, 28, 65, 48, 83, 50, 623, 9, 45], [126, 113, 10, 20, 8, 12, 13, 18, 572, 108], [23, 236, 9, 27, 5, 9, 27, 38, 52, 574]]"
