round, train_acc, test_acc, f1, time_stamp
0, 0.22298, 0.2359, 0.2359, 658.8309662342072
1, 0.27592, 0.292, 0.292, 1289.0376734733582
2, 0.32114, 0.3515, 0.3515, 1917.3072731494904
3, 0.35352, 0.3914, 0.3914, 2547.0270104408264
4, 0.3883, 0.4229, 0.4229, 3179.7131209373474
5, 0.40862, 0.446, 0.446, 3822.7049350738525
6, 0.42662, 0.465, 0.465, 4470.687670946121
7, 0.43824, 0.4827, 0.4827, 5120.455873966217
8, 0.45194, 0.4926, 0.4926, 5770.531268835068
9, 0.46166, 0.5066, 0.5066, 6399.40670800209
10, 0.4701, 0.5108, 0.5108, 7006.438262939453
11, 0.4781, 0.5219, 0.5219, 7615.461795568466
12, 0.48756, 0.5241, 0.5241, 8216.122140407562
13, 0.48944, 0.5263, 0.5263, 8813.056050300598
14, 0.49808, 0.5353, 0.5353, 9410.962675094604
15, 0.50526, 0.5419, 0.5419, 10010.65060210228
16, 0.50938, 0.5464, 0.5464, 10610.590023040771
17, 0.51594, 0.5518, 0.5518, 11208.546832323074
18, 0.5212, 0.556, 0.556, 11803.838794231415
19, 0.52352, 0.5618, 0.5618, 12396.69303226471
20, 0.53192, 0.5603, 0.5603, 12977.17016363144
21, 0.53434, 0.5706, 0.5706, 13449.309456586838
22, 0.54084, 0.5745, 0.5745, 14093.312497377396
23, 0.54552, 0.577, 0.577, 14737.37445640564
24, 0.54714, 0.5779, 0.5779, 15382.845567703247
25, 0.55314, 0.5793, 0.5793, 16029.1841070652
26, 0.55828, 0.5847, 0.5847, 16673.379334449768
27, 0.5632, 0.5892, 0.5892, 17317.883978128433
28, 0.56344, 0.5895, 0.5895, 17962.40498661995
29, 0.56928, 0.5929, 0.5929, 18606.165258407593
30, 0.57096, 0.6, 0.6, 19249.641756296158
31, 0.57414, 0.5998, 0.5998, 19896.48350763321
32, 0.57714, 0.6036, 0.6036, 20542.2389588356
33, 0.5828, 0.6072, 0.6072, 21186.601099729538
34, 0.58338, 0.6108, 0.6108, 21830.203909873962
35, 0.5853, 0.608, 0.608, 22476.186723470688
36, 0.5903, 0.6149, 0.6149, 23122.989216804504
37, 0.5893, 0.6163, 0.6163, 23768.655943632126
38, 0.59322, 0.6163, 0.6163, 24414.553369522095
39, 0.59528, 0.6159, 0.6159, 25062.179158210754
40, 0.59642, 0.6212, 0.6212, 25710.32995700836
41, 0.59764, 0.6191, 0.6191, 26253.460155963898
42, 0.60192, 0.6251, 0.6251, 26685.872913360596
43, 0.6063, 0.6234, 0.6234, 27118.028386116028
44, 0.60764, 0.627, 0.627, 27547.536419391632
45, 0.61018, 0.6269, 0.6269, 28018.579443454742
46, 0.61082, 0.6312, 0.6312, 28664.116059064865
47, 0.61332, 0.6318, 0.6318, 29303.90240597725
48, 0.6107, 0.6352, 0.6352, 29943.55656528473
49, 0.61556, 0.6322, 0.6322, 30583.045615434647
