round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 44.198973417282104
1, 0.1, 0.1, 0.1, 86.2179753780365
2, 0.1, 0.1, 0.1, 128.30391478538513
3, 0.1, 0.1, 0.1, 170.85612082481384
4, 0.1, 0.1, 0.1, 214.37916493415833
5, 0.1, 0.1, 0.1, 256.4869043827057
6, 0.1, 0.1, 0.1, 299.4704144001007
7, 0.1, 0.1, 0.1, 341.806613445282
8, 0.1, 0.1, 0.1, 383.9187059402466
9, 0.1, 0.1, 0.1, 426.27554178237915
10, 0.1, 0.1, 0.1, 469.14124870300293
11, 0.1, 0.1, 0.1, 511.45971059799194
12, 0.1, 0.1, 0.1, 553.7369050979614
13, 0.1, 0.1, 0.1, 596.4295461177826
14, 0.1, 0.1, 0.1, 640.2201035022736
15, 0.1, 0.1, 0.1, 682.4025409221649
16, 0.1, 0.1, 0.1, 725.4226706027985
17, 0.1, 0.1, 0.1, 768.8742718696594
18, 0.1, 0.1, 0.1, 811.8107495307922
19, 0.1, 0.1, 0.1, 854.8141353130341
20, 0.1, 0.1, 0.1, 899.8737828731537
21, 0.1, 0.1, 0.1, 944.6184618473053
22, 0.1, 0.1, 0.1, 987.4799568653107
23, 0.1, 0.1, 0.1, 1031.1618211269379
24, 0.1, 0.1, 0.1, 1075.9177601337433
25, 0.1, 0.1, 0.1, 1118.1202704906464
26, 0.1, 0.1, 0.1, 1162.185486316681
27, 0.1, 0.1, 0.1, 1205.9043774604797
28, 0.1, 0.1, 0.1, 1250.0789256095886
29, 0.1, 0.1, 0.1, 1293.4223914146423
30, 0.1, 0.1, 0.1, 1337.439058303833
31, 0.1, 0.1, 0.1, 1379.8900101184845
32, 0.1, 0.1, 0.1, 1422.890881061554
33, 0.1, 0.1, 0.1, 1465.5127198696136
34, 0.1, 0.1, 0.1, 1508.406697511673
35, 0.1, 0.1, 0.1, 1550.777331352234
36, 0.1, 0.1, 0.1, 1593.0789668560028
37, 0.1, 0.1, 0.1, 1636.5349073410034
38, 0.1, 0.1, 0.1, 1679.6550097465515
39, 0.1, 0.1, 0.1, 1722.0349082946777
40, 0.1, 0.1, 0.1, 1764.3804912567139
41, 0.1, 0.1, 0.1, 1806.8594419956207
42, 0.1, 0.1, 0.1, 1849.2687048912048
43, 0.1, 0.1, 0.1, 1891.8701691627502
44, 0.1, 0.1, 0.1, 1934.420559644699
45, 0.1, 0.1, 0.1, 1976.685628414154
46, 0.1, 0.1, 0.1, 2019.6624541282654
47, 0.1, 0.1, 0.1, 2062.0514013767242
48, 0.1, 0.1, 0.1, 2104.8634860515594
49, 0.1, 0.1, 0.1, 2148.531063079834
50, 0.1, 0.1, 0.1, 2190.8802349567413
51, 0.1, 0.1, 0.1, 2233.7532801628113
52, 0.1, 0.1, 0.1, 2276.6944494247437
53, 0.1, 0.1, 0.1, 2319.636633872986
54, 0.1, 0.1, 0.1, 2362.8557257652283
55, 0.1, 0.1, 0.1, 2406.0499925613403
56, 0.1, 0.1, 0.1, 2449.514079093933
57, 0.1, 0.1, 0.1, 2493.418055534363
58, 0.1, 0.1, 0.1, 2536.3771765232086
59, 0.1, 0.1, 0.1, 2580.032466650009
60, 0.1, 0.1, 0.1, 2625.154856443405
61, 0.1, 0.1, 0.1, 2668.193258523941
62, 0.1, 0.1, 0.1, 2710.611659049988
63, 0.1, 0.1, 0.1, 2754.0304634571075
64, 0.1, 0.1, 0.1, 2797.5489757061005
65, 0.1, 0.1, 0.1, 2839.78608417511
66, 0.1, 0.1, 0.1, 2882.5664093494415
67, 0.1, 0.1, 0.1, 2928.8028733730316
68, 0.1, 0.1, 0.1, 2972.4590883255005
69, 0.1, 0.1, 0.1, 3017.385776281357
70, 0.1, 0.1, 0.1, 3061.3996937274933
71, 0.1, 0.1, 0.1, 3105.213334798813
72, 0.1, 0.1, 0.1, 3148.3210759162903
73, 0.1, 0.1, 0.1, 3193.3125665187836
74, 0.1, 0.1, 0.1, 3235.685622215271
75, 0.1, 0.1, 0.1, 3279.220798254013
76, 0.1, 0.1, 0.1, 3323.4909467697144
77, 0.1, 0.1, 0.1, 3366.458228826523
78, 0.1, 0.1, 0.1, 3408.8882761001587
79, 0.1, 0.1, 0.1, 3453.737670660019
80, 0.1, 0.1, 0.1, 3496.6030519008636
81, 0.1, 0.1, 0.1, 3540.2333035469055
82, 0.1, 0.1, 0.1, 3583.7566468715668
83, 0.1, 0.1, 0.1, 3630.2715878486633
84, 0.1, 0.1, 0.1, 3672.535610437393
85, 0.1, 0.1, 0.1, 3714.6615879535675
86, 0.1, 0.1, 0.1, 3758.010975599289
87, 0.1, 0.1, 0.1, 3800.2775514125824
