round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 135.74386715888977
1, 0, 0.1, 0, 272.4712779521942
2, 0, 0.1, 0, 409.9759657382965
3, 0, 0.1, 0, 547.5795211791992
4, 0, 0.1, 0, 685.9894106388092
5, 0, 0.1, 0, 821.8612501621246
6, 0, 0.1, 0, 956.7567822933197
7, 0, 0.1, 0, 1088.969155073166
8, 0, 0.1, 0, 1224.418726682663
9, 0, 0.1, 0, 1362.2825496196747
10, 0, 0.1, 0, 1500.1906275749207
11, 0, 0.1, 0, 1635.8674359321594
12, 0, 0.1, 0, 1771.1793394088745
13, 0, 0.1, 0, 1907.5368158817291
14, 0, 0.1, 0, 2044.5022809505463
15, 0, 0.1, 0, 2177.0119020938873
16, 0, 0.1, 0, 2310.5312089920044
17, 0, 0.1, 0, 2444.5902585983276
18, 0, 0.1, 0, 2573.993407011032
19, 0, 0.1, 0, 2707.4272603988647
20, 0, 0.1, 0, 2842.5990896224976
21, 0, 0.1, 0, 2976.3742575645447
22, 0, 0.1, 0, 3111.3954129219055
23, 0, 0.1, 0, 3246.6525659561157
24, 0, 0.1, 0, 3381.3887996673584
25, 0, 0.1, 0, 3514.726846933365
26, 0, 0.1002, 0, 3647.8369319438934
27, 0, 0.1049, 0, 3781.7663180828094
28, 0, 0.1113, 0, 3916.451875448227
29, 0, 0.1012, 0, 4050.719316482544
30, 0, 0.0989, 0, 4186.7108652591705
31, 0, 0.0997, 0, 4320.58998966217
32, 0, 0.0998, 0, 4454.509003639221
33, 0, 0.0999, 0, 4582.686457872391
34, 0, 0.1004, 0, 4717.208986520767
35, 0, 0.101, 0, 4849.752216100693
36, 0, 0.1046, 0, 4982.235321521759
37, 0, 0.1105, 0, 5116.89236330986
38, 0, 0.1283, 0, 5251.393184900284
39, 0, 0.138, 0, 5386.625132083893
40, 0, 0.1413, 0, 5520.516565084457
41, 0, 0.127, 0, 5651.198942661285
42, 0, 0.1112, 0, 5786.309824705124
43, 0, 0.1046, 0, 5924.203694343567
44, 0, 0.1016, 0, 6057.2755126953125
45, 0, 0.1002, 0, 6190.519664525986
46, 0, 0.1, 0, 6325.2039613723755
47, 0, 0.1, 0, 6459.011775016785
48, 0, 0.1, 0, 6594.879266500473
49, 0, 0.1, 0, 6730.085698127747
50, 0, 0.1, 0, 6865.457659482956
51, 0, 0.1, 0, 6999.750077009201
52, 0, 0.1, 0, 7137.086581230164
53, 0, 0.1, 0, 7272.872017621994
54, 0, 0.1, 0, 7407.078365802765
55, 0, 0.1, 0, 7542.84646821022
56, 0, 0.1, 0, 7678.909642457962
57, 0, 0.1, 0, 7813.353412628174
58, 0, 0.1, 0, 7950.750644683838
59, 0, 0.1, 0, 8086.579713106155
60, 0, 0.1, 0, 8221.483671188354
61, 0, 0.1, 0, 8357.394789218903
62, 0, 0.1, 0, 8491.941264629364
63, 0, 0.1, 0, 8627.791945457458
64, 0, 0.1, 0, 8761.14048409462
65, 0, 0.1, 0, 8897.301631450653
66, 0, 0.1, 0, 9034.919661045074
67, 0, 0.1, 0, 9171.492786884308
68, 0, 0.1, 0, 9307.136579275131
69, 0, 0.1, 0, 9443.208918094635
70, 0, 0.1, 0, 9581.944628953934
71, 0, 0.1, 0, 9719.49722480774
72, 0, 0.1, 0, 9855.978692054749
73, 0, 0.1, 0, 9993.86473608017
74, 0, 0.1, 0, 10125.702455282211
75, 0, 0.1, 0, 10259.052519798279
76, 0, 0.1, 0, 10392.640391349792
77, 0, 0.1, 0, 10525.838898897171
78, 0, 0.1, 0, 10660.23283624649
79, 0, 0.1, 0, 10796.981560468674
80, 0, 0.1, 0, 10931.784723758698
81, 0, 0.1, 0, 11069.362828731537
82, 0, 0.1, 0, 11207.609662294388
83, 0, 0.1, 0, 11344.665209770203
84, 0, 0.1, 0, 11481.632183790207
85, 0, 0.1, 0, 11618.37546634674
86, 0, 0.1, 0, 11755.358047246933
87, 0, 0.1, 0, 11892.55912566185
88, 0, 0.1, 0, 12028.733694553375
89, 0, 0.1, 0, 12164.072135210037
90, 0, 0.1, 0, 12299.153834104538
91, 0, 0.1, 0, 12435.596908569336
92, 0, 0.1, 0, 12569.448626279831
93, 0, 0.1, 0, 12705.397920370102
94, 0, 0.1, 0, 12841.981317520142
95, 0, 0.1, 0, 12978.329546928406
96, 0, 0.1, 0, 13115.492931127548
97, 0, 0.1, 0, 13248.609518051147
98, 0, 0.1, 0, 13382.194376707077
99, 0, 0.1, 0, 13515.539328813553
100, 0, 0.1, 0, 13649.044485330582
101, 0, 0.1, 0, 13783.830027103424
102, 0, 0.1, 0, 13919.451061725616
103, 0, 0.1, 0, 14054.865866422653
104, 0, 0.1, 0, 14186.058152198792
105, 0, 0.1, 0, 14322.643702030182
106, 0, 0.1, 0, 14458.56369638443
107, 0, 0.1, 0, 14594.031124830246
108, 0, 0.1, 0, 14729.716158628464
109, 0, 0.1, 0, 14865.517348051071
110, 0, 0.1, 0, 15001.160656690598
111, 0, 0.1, 0, 15134.978856086731
112, 0, 0.1, 0, 15269.658641338348
113, 0, 0.1, 0, 15399.63441991806
114, 0, 0.1, 0, 15535.069615602493
115, 0, 0.1, 0, 15670.167517900467
116, 0, 0.1, 0, 15805.494953870773
117, 0, 0.1, 0, 15939.421602249146
118, 0, 0.1, 0, 16075.636297941208
119, 0, 0.1, 0, 16209.968920946121
120, 0, 0.1, 0, 16342.866636514664
121, 0, 0.1, 0, 16475.576190710068
122, 0, 0.1, 0, 16608.740650177002
123, 0, 0.1, 0, 16741.92780828476
124, 0, 0.1, 0, 16875.236342906952
125, 0, 0.1, 0, 17008.99246072769
126, 0, 0.1, 0, 17141.934299468994
127, 0, 0.1, 0, 17274.567786216736
128, 0, 0.1, 0, 17407.504742383957
129, 0, 0.1, 0, 17541.088052988052
130, 0, 0.1, 0, 17675.145571947098
131, 0, 0.1, 0, 17808.73187971115
132, 0, 0.1, 0, 17942.78719162941
133, 0, 0.1, 0, 18077.661692142487
134, 0, 0.1, 0, 18210.910590410233
135, 0, 0.1, 0, 18343.95890235901
136, 0, 0.1006, 0, 18478.37665462494
137, 0, 0.1014, 0, 18614.254538297653
138, 0, 0.1023, 0, 18744.91378426552
139, 0, 0.1033, 0, 18877.951870918274
140, 0, 0.1054, 0, 19012.240087032318
141, 0, 0.1074, 0, 19146.52251815796
142, 0, 0.1081, 0, 19280.548248529434
143, 0, 0.1093, 0, 19416.466295957565
144, 0, 0.1105, 0, 19552.372112751007
145, 0, 0.1116, 0, 19687.216438531876
146, 0, 0.1134, 0, 19820.607796430588
147, 0, 0.1141, 0, 19955.4726126194
148, 0, 0.1162, 0, 20088.644459962845
149, 0, 0.1181, 0, 20217.75097489357
150, 0, 0.1195, 0, 20350.828417778015
151, 0, 0.1205, 0, 20483.29533815384
152, 0, 0.1206, 0, 20618.549503087997
153, 0, 0.1212, 0, 20753.3767285347
154, 0, 0.1224, 0, 20885.085097551346
155, 0, 0.1243, 0, 21008.25188922882
156, 0, 0.1267, 0, 21142.277819633484
157, 0, 0.1283, 0, 21276.29647397995
158, 0, 0.1279, 0, 21410.100541114807
159, 0, 0.1278, 0, 21544.490290641785
160, 0, 0.1304, 0, 21679.411205291748
161, 0, 0.1292, 0, 21814.969944000244
162, 0, 0.1322, 0, 21950.13654732704
163, 0, 0.1333, 0, 22082.962336540222
164, 0, 0.1343, 0, 22216.130096912384
165, 0, 0.1356, 0, 22349.492765903473
166, 0, 0.139, 0, 22483.755431175232
167, 0, 0.1412, 0, 22617.63186979294
168, 0, 0.1432, 0, 22751.88246679306
169, 0, 0.1426, 0, 22885.974373340607
170, 0, 0.1437, 0, 23020.165826797485
171, 0, 0.1464, 0, 23153.81464600563
172, 0, 0.1455, 0, 23287.610486268997
173, 0, 0.1464, 0, 23423.025668621063
174, 0, 0.1503, 0, 23556.608548879623
175, 0, 0.1528, 0, 23692.413655996323
176, 0, 0.1537, 0, 23817.894347429276
177, 0, 0.1568, 0, 23951.558182239532
178, 0, 0.1552, 0, 24085.66085410118
179, 0, 0.1574, 0, 24220.03614258766
180, 0, 0.161, 0, 24354.369133234024
181, 0, 0.1612, 0, 24488.368901252747
182, 0, 0.1617, 0, 24622.420363664627
183, 0, 0.165, 0, 24757.48545217514
184, 0, 0.1651, 0, 24891.223959445953
185, 0, 0.166, 0, 25025.188232660294
186, 0, 0.1665, 0, 25158.6795732975
187, 0, 0.1703, 0, 25292.471387147903
188, 0, 0.1709, 0, 25426.28142929077
189, 0, 0.1726, 0, 25560.36933541298
190, 0, 0.1782, 0, 25695.002372026443
191, 0, 0.1865, 0, 25830.297321558
192, 0, 0.1913, 0, 25963.19243144989
193, 0, 0.1954, 0, 26098.62843465805
194, 0, 0.1985, 0, 26232.421157360077
195, 0, 0.1986, 0, 26367.337173461914
196, 0, 0.1992, 0, 26501.02888059616
197, 0, 0.2024, 0, 26634.959616184235
198, 0, 0.2018, 0, 26769.010441303253
199, 0, 0.2054, 0, 26902.844853162766
