,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1,0,0
5,5,10,0,0.1,0,0
6,6,10,0,0.1,0,0
7,7,10,0,0.1,0,0
8,8,10,0,0.1112,0,0
9,9,10,0,0.0997,0,0
10,10,10,0,0.1002,0,0
11,11,10,0,0.1012,0,0
12,12,10,0,0.103,0,0
13,13,10,0,0.1424,0,0
14,14,10,0,0.122,0,0
15,15,10,0,0.1006,0,0
16,16,10,0,0.1,0,0
17,17,10,0,0.1,0,0
18,18,10,0,0.1,0,0
19,19,10,0,0.1,0,0
20,20,10,0,0.1,0,0
21,21,10,0,0.1,0,0
22,22,10,0,0.1,0,0
23,23,10,0,0.1,0,0
24,24,10,0,0.1,0,0
25,25,10,0,0.1,0,0
26,26,10,0,0.1,0,0
27,27,10,0,0.1,0,0
28,28,10,0,0.1,0,0
29,29,10,0,0.1,0,0
30,30,10,0,0.1,0,0
31,31,10,0,0.1,0,0
32,32,10,0,0.1,0,0
33,33,10,0,0.1,0,0
34,34,10,0,0.1,0,0
35,35,10,0,0.1007,0,0
36,36,10,0,0.102,0,0
37,37,10,0,0.1033,0,0
38,38,10,0,0.1058,0,0
39,39,10,0,0.1085,0,0
40,40,10,0,0.1115,0,0
41,41,10,0,0.1139,0,0
42,42,10,0,0.1166,0,0
43,43,10,0,0.1185,0,0
44,44,10,0,0.1202,0,0
45,45,10,0,0.1223,0,0
46,46,10,0,0.1244,0,0
47,47,10,0,0.1261,0,0
48,48,10,0,0.129,0,0
49,49,10,0,0.1319,0,0
50,50,10,0,0.1348,0,0
51,51,10,0,0.1379,0,0
52,52,10,0,0.1446,0,0
53,53,10,0,0.1479,0,0
54,54,10,0,0.1524,0,0
55,55,10,0,0.1564,0,0
56,56,10,0,0.1593,0,0
57,57,10,0,0.1709,0,0
58,58,10,0,0.1865,0,0
59,59,10,0,0.1906,0,0
60,60,10,0,0.1952,0,0
61,61,10,0,0.1971,0,0
62,62,10,0,0.1978,0,0
63,63,10,0,0.2021,0,0
64,64,10,0,0.2065,0,0
65,65,10,0,0.207,0,0
66,66,10,0,0.2072,0,0
67,67,10,0,0.2109,0,0
68,68,10,0,0.2117,0,0
69,69,10,0,0.2108,0,0
70,70,10,0,0.2109,0,0
71,71,10,0,0.2131,0,0
72,72,10,0,0.2139,0,0
73,73,10,0,0.2171,0,0
74,74,10,0,0.2161,0,0
75,75,10,0,0.2174,0,0
76,76,10,0,0.2174,0,0
77,77,10,0,0.2193,0,0
78,78,10,0,0.2215,0,0
79,79,10,0,0.2229,0,0
80,80,10,0,0.2238,0,0
81,81,10,0,0.2258,0,0
82,82,10,0,0.2258,0,0
83,83,10,0,0.2257,0,0
84,84,10,0,0.2274,0,0
85,85,10,0,0.2301,0,0
86,86,10,0,0.2289,0,0
87,87,10,0,0.2305,0,0
88,88,10,0,0.2321,0,0
89,89,10,0,0.2336,0,0
90,90,10,0,0.2356,0,0
91,91,10,0,0.2382,0,0
92,92,10,0,0.2387,0,0
93,93,10,0,0.24,0,0
94,94,10,0,0.2415,0,0
95,95,10,0,0.2443,0,0
96,96,10,0,0.2472,0,0
97,97,10,0,0.2486,0,0
98,98,10,0,0.251,0,0
99,99,10,0,0.2546,0,0
100,100,10,0,0.2556,0,0
101,101,10,0,0.2558,0,0
102,102,10,0,0.2581,0,0
103,103,10,0,0.2645,0,0
104,104,10,0,0.269,0,0
105,105,10,0,0.2715,0,0
106,106,10,0,0.2759,0,0
107,107,10,0,0.2766,0,0
108,108,10,0,0.2826,0,0
109,109,10,0,0.2835,0,0
110,110,10,0,0.2855,0,0
