round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 126.47735238075256
1, 0, 0.1, 0, 251.99995493888855
2, 0, 0.1, 0, 377.99657344818115
3, 0, 0.1, 0, 503.89372277259827
4, 0, 0.1, 0, 631.935289144516
5, 0, 0.1, 0, 756.9709584712982
6, 0, 0.1, 0, 882.077210187912
7, 0, 0.1, 0, 1006.9056437015533
8, 0, 0.1, 0, 1128.8357574939728
9, 0, 0.1, 0, 1255.0314700603485
10, 0, 0.1, 0, 1382.126736164093
11, 0, 0.1, 0, 1509.1792120933533
12, 0, 0.1, 0, 1634.6437923908234
13, 0, 0.1, 0, 1760.4424664974213
14, 0, 0.1, 0, 1886.5974004268646
15, 0, 0.1, 0, 2015.304743528366
16, 0, 0.1, 0, 2140.0917389392853
17, 0, 0.1, 0, 2264.3844504356384
18, 0, 0.1, 0, 2390.677489042282
19, 0, 0.1, 0, 2512.9412155151367
20, 0, 0.1, 0, 2635.4838650226593
21, 0, 0.1, 0, 2760.275310754776
22, 0, 0.1, 0, 2883.7033672332764
23, 0, 0.1, 0, 3007.0524508953094
24, 0, 0.1, 0, 3130.458868741989
25, 0, 0.1001, 0, 3254.675461292267
26, 0, 0.1015, 0, 3377.818860054016
27, 0, 0.1104, 0, 3499.980192422867
28, 0, 0.1042, 0, 3621.9324822425842
29, 0, 0.0986, 0, 3744.8921506404877
30, 0, 0.1, 0, 3867.671448469162
31, 0, 0.0998, 0, 3990.847274541855
32, 0, 0.1, 0, 4114.732958555222
33, 0, 0.1005, 0, 4239.183830738068
34, 0, 0.1003, 0, 4361.9907438755035
35, 0, 0.1004, 0, 4480.459135293961
36, 0, 0.1012, 0, 4602.363738298416
37, 0, 0.1, 0, 4725.097287416458
38, 0, 0.0994, 0, 4847.5392434597015
39, 0, 0.0996, 0, 4969.8577003479
40, 0, 0.1008, 0, 5092.800783872604
41, 0, 0.1073, 0, 5215.908995628357
42, 0, 0.1204, 0, 5338.94143819809
43, 0, 0.1373, 0, 5462.425940990448
44, 0, 0.1431, 0, 5585.681427001953
45, 0, 0.1354, 0, 5705.348890542984
46, 0, 0.1236, 0, 5829.735285520554
47, 0, 0.1116, 0, 5954.781525850296
48, 0, 0.1037, 0, 6077.437710762024
49, 0, 0.1008, 0, 6199.578959465027
50, 0, 0.1, 0, 6323.183210849762
51, 0, 0.1, 0, 6445.8297510147095
52, 0, 0.1, 0, 6569.529035806656
53, 0, 0.1, 0, 6694.58983707428
54, 0, 0.1, 0, 6818.145217180252
55, 0, 0.1, 0, 6941.964996337891
56, 0, 0.1, 0, 7065.7387273311615
57, 0, 0.1, 0, 7191.540272951126
58, 0, 0.1, 0, 7315.585208415985
59, 0, 0.1, 0, 7439.219980955124
60, 0, 0.1, 0, 7563.160806655884
61, 0, 0.1, 0, 7687.575426340103
62, 0, 0.1, 0, 7811.295501947403
63, 0, 0.1, 0, 7937.380809545517
64, 0, 0.1, 0, 8061.106857538223
65, 0, 0.1, 0, 8185.508233308792
66, 0, 0.1, 0, 8310.144651651382
67, 0, 0.1, 0, 8434.04588341713
68, 0, 0.1, 0, 8558.763671636581
69, 0, 0.1, 0, 8681.508393764496
70, 0, 0.1, 0, 8805.369873046875
71, 0, 0.1, 0, 8930.189408063889
72, 0, 0.1, 0, 9055.018490552902
73, 0, 0.1, 0, 9180.232862472534
74, 0, 0.1, 0, 9304.356338977814
75, 0, 0.1, 0, 9429.611670255661
76, 0, 0.1, 0, 9555.652809143066
77, 0, 0.1, 0, 9682.388085365295
78, 0, 0.1, 0, 9807.25061583519
79, 0, 0.1, 0, 9933.040936946869
80, 0, 0.1, 0, 10054.931694507599
81, 0, 0.1, 0, 10177.79880452156
82, 0, 0.1, 0, 10300.44465637207
83, 0, 0.1, 0, 10423.178172826767
84, 0, 0.1, 0, 10545.946476697922
85, 0, 0.1, 0, 10668.615911245346
