round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 42.61559796333313
1, 0.1, 0.1, 0.1, 86.1093168258667
2, 0.1, 0.1, 0.1, 129.60660600662231
3, 0.1, 0.1, 0.1, 175.60345435142517
4, 0.1, 0.1, 0.1, 221.6227080821991
5, 0.1, 0.1, 0.1, 267.1900084018707
6, 0.1, 0.1, 0.1, 312.795156955719
7, 0.1, 0.1, 0.1, 358.44713044166565
8, 0.1, 0.1, 0.1, 403.578320980072
9, 0.1, 0.1, 0.1, 442.23644161224365
10, 0.1, 0.1, 0.1, 487.4244511127472
11, 0.1, 0.1, 0.1, 533.2281613349915
12, 0.1, 0.1, 0.1, 579.4256045818329
13, 0.1, 0.1, 0.1, 625.6829526424408
14, 0.1, 0.1, 0.1, 672.9993150234222
15, 0.1, 0.1, 0.1, 720.283846616745
16, 0.1, 0.1, 0.1, 767.3847630023956
17, 0.1, 0.1, 0.1, 814.3809006214142
18, 0.1, 0.1, 0.1, 861.8220953941345
19, 0.1, 0.1, 0.1, 908.6793706417084
20, 0.1, 0.1, 0.1, 956.0020458698273
21, 0.1, 0.1, 0.1, 1002.9380271434784
22, 0.1, 0.1, 0.1, 1049.9541592597961
23, 0.1, 0.1, 0.1, 1096.2846419811249
24, 0.1, 0.1, 0.1, 1142.1137852668762
25, 0.10006, 0.1002, 0.1002, 1186.9710080623627
26, 0.10182, 0.1032, 0.1032, 1230.6993148326874
27, 0.11176, 0.1123, 0.1123, 1273.7493786811829
28, 0.10278, 0.1023, 0.1023, 1315.4980108737946
29, 0.09944, 0.1, 0.1, 1354.4471273422241
30, 0.09962, 0.0999, 0.0999, 1397.6766920089722
31, 0.09992, 0.0996, 0.0996, 1441.1799211502075
32, 0.10004, 0.0999, 0.0999, 1484.0176661014557
33, 0.10006, 0.1001, 0.1001, 1526.7018015384674
34, 0.10048, 0.1005, 0.1005, 1568.6715190410614
35, 0.10196, 0.102, 0.102, 1610.8157982826233
36, 0.10502, 0.1055, 0.1055, 1652.8597602844238
37, 0.11198, 0.1128, 0.1128, 1690.1602795124054
38, 0.12336, 0.1232, 0.1232, 1732.3626437187195
39, 0.13526, 0.1343, 0.1343, 1774.1340880393982
40, 0.14336, 0.1426, 0.1426, 1816.086000919342
41, 0.14106, 0.1431, 0.1431, 1857.8737354278564
42, 0.13316, 0.1328, 0.1328, 1899.317487001419
43, 0.11924, 0.1222, 0.1222, 1941.4917447566986
44, 0.10766, 0.1096, 0.1096, 1983.1637489795685
45, 0.10208, 0.1024, 0.1024, 2024.6659333705902
46, 0.10038, 0.1005, 0.1005, 2066.1037678718567
47, 0.09998, 0.1, 0.1, 2107.3752660751343
48, 0.1, 0.1, 0.1, 2148.737827062607
49, 0.1, 0.1, 0.1, 2190.178108692169
50, 0.1, 0.1, 0.1, 2226.906536579132
51, 0.1, 0.1, 0.1, 2266.482689142227
52, 0.1, 0.1, 0.1, 2307.65220785141
53, 0.1, 0.1, 0.1, 2345.764750480652
54, 0.1, 0.1, 0.1, 2387.049128293991
55, 0.1, 0.1, 0.1, 2425.7887268066406
56, 0.1, 0.1, 0.1, 2465.845276594162
