round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 51.77768158912659
1, 0.1, 0.1, 0.1, 102.13205337524414
2, 0.1, 0.1, 0.1, 152.80374383926392
3, 0.1, 0.1, 0.1, 203.017352104187
4, 0.1, 0.1, 0.1, 253.9910593032837
5, 0.1, 0.1, 0.1, 305.4555974006653
6, 0.1, 0.1, 0.1, 355.56622552871704
7, 0.1, 0.1, 0.1, 405.7992036342621
8, 0.1, 0.1, 0.1, 457.0951147079468
9, 0.1, 0.1, 0.1, 507.6473300457001
10, 0.1, 0.1, 0.1, 558.2794275283813
11, 0.1, 0.1, 0.1, 608.6053445339203
12, 0.1, 0.1, 0.1, 658.5470745563507
13, 0.1, 0.1, 0.1, 708.2712333202362
14, 0.1, 0.1, 0.1, 759.090106010437
15, 0.1, 0.1, 0.1, 809.2078063488007
16, 0.1, 0.1, 0.1, 859.2781233787537
17, 0.1, 0.1, 0.1, 911.4372680187225
18, 0.1, 0.1, 0.1, 961.6337161064148
19, 0.1, 0.1, 0.1, 1011.6847920417786
20, 0.1, 0.1, 0.1, 1061.7102081775665
21, 0.1, 0.1, 0.1, 1111.8796846866608
22, 0.1, 0.1, 0.1, 1162.1055011749268
23, 0.1, 0.1, 0.1, 1212.245824098587
24, 0.1, 0.1, 0.1, 1261.9795742034912
25, 0.1, 0.1, 0.1, 1311.7232179641724
26, 0.1, 0.1, 0.1, 1361.0859055519104
27, 0.1, 0.1, 0.1, 1409.6840102672577
28, 0.1, 0.1, 0.1, 1457.8102304935455
29, 0.1, 0.1, 0.1, 1505.6819314956665
30, 0.1, 0.1, 0.1, 1552.9598877429962
31, 0.1, 0.1, 0.1, 1601.0551846027374
32, 0.1, 0.1, 0.1, 1652.1582787036896
33, 0.1, 0.1, 0.1, 1703.857334136963
34, 0.1, 0.1, 0.1, 1754.8476614952087
35, 0.1, 0.1, 0.1, 1805.8121800422668
36, 0.1, 0.1, 0.1, 1856.2078335285187
37, 0.1, 0.1, 0.1, 1906.254324913025
38, 0.1, 0.1, 0.1, 1956.9277560710907
39, 0.1, 0.1, 0.1, 2007.3878154754639
40, 0.1, 0.1, 0.1, 2057.7528965473175
41, 0.1, 0.1, 0.1, 2108.4373075962067
42, 0.1, 0.1, 0.1, 2159.1269516944885
43, 0.1, 0.1, 0.1, 2210.1207332611084
44, 0.1, 0.1, 0.1, 2260.4460706710815
45, 0.1, 0.1, 0.1, 2310.8075473308563
46, 0.1, 0.1, 0.1, 2361.7248985767365
47, 0.1, 0.1, 0.1, 2412.0843155384064
48, 0.1, 0.1, 0.1, 2462.6282317638397
49, 0.1, 0.1, 0.1, 2512.9270000457764
50, 0.1, 0.1, 0.1, 2562.7029881477356
51, 0.1, 0.1, 0.1, 2612.165278673172
52, 0.1, 0.1, 0.1, 2662.084230899811
53, 0.1, 0.1, 0.1, 2711.1698365211487
54, 0.1, 0.1, 0.1, 2760.0697865486145
55, 0.1, 0.1, 0.1, 2808.422461271286
56, 0.1, 0.1, 0.1, 2857.1911692619324
57, 0.1, 0.1, 0.1, 2906.0902860164642
58, 0.1, 0.1, 0.1, 2955.0592217445374
59, 0.1, 0.1, 0.1, 3003.499577999115
60, 0.1, 0.1, 0.1, 3052.3515713214874
61, 0.1, 0.1, 0.1, 3100.777661085129
62, 0.1, 0.1, 0.1, 3149.485510826111
63, 0.1, 0.1, 0.1, 3197.7439136505127
64, 0.1, 0.1, 0.1, 3246.1555457115173
65, 0.1, 0.1, 0.1, 3295.0117321014404
66, 0.1, 0.1, 0.1, 3342.8490850925446
67, 0.1, 0.1, 0.1, 3390.5392212867737
68, 0.1, 0.1, 0.1, 3437.8064062595367
69, 0.1, 0.1, 0.1, 3485.1934225559235
70, 0.1, 0.1, 0.1, 3532.3293735980988
71, 0.1, 0.1, 0.1, 3580.300825357437
72, 0.1, 0.1, 0.1, 3631.515368938446
73, 0.1, 0.1, 0.1, 3683.36421251297
74, 0.1, 0.1, 0.1, 3734.805947780609
75, 0.1, 0.1, 0.1, 3786.5104224681854
76, 0.1, 0.1, 0.1, 3837.7912180423737
77, 0.1, 0.1, 0.1, 3888.589242696762
78, 0.1, 0.1, 0.1, 3939.142834663391
79, 0.1, 0.1, 0.1, 3989.6816380023956
80, 0.1, 0.1, 0.1, 4040.5029578208923
81, 0.1, 0.1, 0.1, 4091.807698726654
82, 0.1, 0.1, 0.1, 4143.249430179596
83, 0.1, 0.1, 0.1, 4194.3584270477295
84, 0.1, 0.1, 0.1, 4244.9268662929535
85, 0.1, 0.1, 0.1, 4295.630305528641
86, 0.1, 0.1, 0.1, 4346.876618385315
87, 0.1, 0.1, 0.1, 4397.737072467804
88, 0.1, 0.1, 0.1, 4448.742991924286
89, 0.1, 0.1, 0.1, 4499.795914411545
90, 0.1, 0.1, 0.1, 4550.705455541611
91, 0.1, 0.1, 0.1, 4601.545063257217
92, 0.1, 0.1, 0.1, 4652.705189704895
93, 0.1, 0.1, 0.1, 4703.996293067932
94, 0.1, 0.1, 0.1, 4755.427279472351
95, 0.1, 0.1, 0.1, 4806.562415361404
96, 0.1, 0.1, 0.1, 4857.921924352646
97, 0.1, 0.1, 0.1, 4911.611602544785
98, 0.1, 0.1, 0.1, 4964.775733470917
99, 0.1, 0.1, 0.1, 5017.963570594788
100, 0.1, 0.1, 0.1, 5070.982092380524
101, 0.1, 0.1, 0.1, 5123.991611003876
102, 0.1, 0.1, 0.1, 5176.894635915756
103, 0.1, 0.1, 0.1, 5230.056424617767
104, 0.1, 0.1, 0.1, 5282.867710113525
105, 0.1, 0.1, 0.1, 5335.192675590515
106, 0.1, 0.1, 0.1, 5387.504376411438
107, 0.1, 0.1, 0.1, 5439.760023832321
