round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 765.5992591381073
1, 0.1, 0.1, 0.1, 1528.480031490326
2, 0.1, 0.1, 0.1, 2291.479285478592
3, 0.1, 0.1, 0.1, 3051.1467010974884
4, 0.1, 0.1, 0.1, 3807.374340772629
5, 0.1, 0.1, 0.1, 4563.995743513107
6, 0.1, 0.1, 0.1, 5320.339019775391
7, 0.1, 0.1, 0.1, 6077.936285018921
8, 0.1, 0.1, 0.1, 6838.350869894028
9, 0.1, 0.1, 0.1, 7601.757754564285
10, 0.1, 0.1, 0.1, 8366.100392341614
11, 0.1, 0.1, 0.1, 9126.048326730728
12, 0.1, 0.1, 0.1, 9886.121567726135
13, 0.1, 0.1, 0.1, 10645.476152658463
14, 0.1, 0.1, 0.1, 11403.649443626404
15, 0.1, 0.1, 0.1, 12159.616816997528
16, 0.1, 0.1, 0.1, 12914.683987140656
17, 0.1, 0.1, 0.1, 13669.147329568863
18, 0.1, 0.1, 0.1, 14425.963883399963
19, 0.1, 0.1, 0.1, 15185.38173699379
20, 0.1, 0.1, 0.1, 15945.03291106224
21, 0.1, 0.1, 0.1, 16706.011073827744
22, 0.1, 0.1, 0.1, 17462.31031012535
23, 0.1, 0.1, 0.1, 18221.011003255844
24, 0.1, 0.1, 0.1, 18980.913374185562
25, 0.1, 0.1, 0.1, 19742.201394557953
26, 0.1, 0.1, 0.1, 20498.120759010315
27, 0.1, 0.1, 0.1, 21258.420810699463
28, 0.1, 0.1, 0.1, 22013.65225458145
29, 0.1, 0.1, 0.1, 22764.75244283676
30, 0.1, 0.1, 0.1, 23516.635556459427
31, 0.1, 0.1, 0.1, 24269.431881427765
32, 0.1, 0.1, 0.1, 25021.327132940292
33, 0.1, 0.1, 0.1, 25772.77533006668
34, 0.1, 0.1, 0.1, 26525.18316078186
35, 0.1, 0.1, 0.1, 27277.977412700653
36, 0.1, 0.1, 0.1, 28031.5688829422
37, 0.1, 0.1, 0.1, 28784.204699277878
38, 0.1, 0.1, 0.1, 29535.88255047798
39, 0.1, 0.1, 0.1, 30288.082118034363
40, 0.1, 0.1, 0.1, 31040.900399446487
41, 0.1, 0.1, 0.1, 31793.335966587067
42, 0.1, 0.1, 0.1, 32545.38715362549
43, 0.1, 0.1, 0.1, 33297.03988480568
44, 0.1, 0.1, 0.1, 34049.04970741272
45, 0.1, 0.1, 0.1, 34802.247863054276
46, 0.1, 0.1, 0.1, 35553.385984659195
47, 0.1, 0.1, 0.1, 36306.647082567215
48, 0.1, 0.1, 0.1, 37058.80071640015
49, 0.1, 0.1, 0.1, 37811.68853068352
50, 0.1, 0.1, 0.1, 38563.96500778198
51, 0.1, 0.1, 0.1, 39316.32341337204
52, 0.1, 0.1, 0.1, 40069.152827978134
53, 0.1, 0.1, 0.1, 40821.13318014145
54, 0.1, 0.1, 0.1, 41573.995389699936
55, 0.1, 0.1, 0.1, 42326.03301501274
56, 0.1, 0.1, 0.1, 43077.9495370388
57, 0.1, 0.1, 0.1, 43829.57968854904
58, 0.1, 0.1, 0.1, 44581.809468746185
59, 0.1, 0.1, 0.1, 45333.19566345215
60, 0.1, 0.1, 0.1, 46084.804822444916
61, 0.1, 0.1, 0.1, 46836.63803887367
62, 0.1, 0.1, 0.1, 47588.43815231323
63, 0.1, 0.1, 0.1, 48341.960488796234
64, 0.1, 0.1, 0.1, 49095.125054597855
65, 0.1, 0.1, 0.1, 49846.33943939209
66, 0.1, 0.1, 0.1, 50599.24782824516
67, 0.1, 0.1, 0.1, 51352.064579963684
68, 0.1, 0.1, 0.1, 52104.82932806015
69, 0.1, 0.1, 0.1, 52857.46704506874
70, 0.1, 0.1, 0.1, 53609.3763692379
71, 0.1, 0.1, 0.1, 54361.35321831703
72, 0.1, 0.1, 0.1, 55115.003189086914
73, 0.1, 0.1, 0.1, 55867.43264603615
74, 0.1, 0.1, 0.1, 56619.783744335175
75, 0.1, 0.1, 0.1, 57371.17416071892
76, 0.1, 0.1, 0.1, 58122.03741455078
77, 0.1, 0.1, 0.1, 58874.698321819305
78, 0.1, 0.1, 0.1, 59626.20689225197
79, 0.1, 0.1, 0.1, 60379.63824915886
80, 0.1, 0.1, 0.1, 61133.17711687088
81, 0.1, 0.1, 0.1, 61885.44349527359
