round, train_acc, test_acc, f1, time_stamp
0, 0.12368, 0.1223, 0.1223, 312.4441661834717
1, 0.116, 0.1125, 0.1125, 626.5114488601685
2, 0.10254, 0.103, 0.103, 938.0990755558014
3, 0.1, 0.1, 0.1, 1253.5465605258942
4, 0.1, 0.1, 0.1, 1565.5845346450806
5, 0.1, 0.1, 0.1, 1877.5586812496185
6, 0.1, 0.1, 0.1, 2188.5845115184784
7, 0.1, 0.1, 0.1, 2500.1205670833588
8, 0.1, 0.1, 0.1, 2811.565781354904
9, 0.1, 0.1, 0.1, 3122.4903807640076
10, 0.09996, 0.1, 0.1, 3434.1473264694214
11, 0.1, 0.1, 0.1, 3745.7508976459503
12, 0.10912, 0.1062, 0.1062, 4057.6171283721924
13, 0.1, 0.1, 0.1, 4370.95760345459
14, 0.1075, 0.1085, 0.1085, 4683.7386655807495
15, 0.1, 0.1, 0.1, 5003.275171756744
16, 0.12936, 0.1354, 0.1354, 5328.4807822704315
17, 0.0944, 0.095, 0.095, 5649.983537197113
18, 0.10626, 0.1042, 0.1042, 5972.299567937851
19, 0.11116, 0.1104, 0.1104, 6293.507871389389
20, 0.11042, 0.1107, 0.1107, 6615.427072763443
21, 0.11206, 0.1108, 0.1108, 6936.69632768631
22, 0.106, 0.1073, 0.1073, 7258.570013999939
23, 0.13692, 0.1396, 0.1396, 7579.42705988884
24, 0.12204, 0.1248, 0.1248, 7901.324547052383
25, 0.13028, 0.1328, 0.1328, 8223.718124866486
26, 0.11158, 0.1098, 0.1098, 8549.081151247025
27, 0.11834, 0.1244, 0.1244, 8868.465861082077
28, 0.15288, 0.1601, 0.1601, 9181.892687559128
29, 0.14208, 0.1477, 0.1477, 9496.95475769043
30, 0.11186, 0.1162, 0.1162, 9810.658915758133
31, 0.1506, 0.1529, 0.1529, 10124.438135147095
32, 0.11618, 0.1207, 0.1207, 10439.80124092102
33, 0.15568, 0.1569, 0.1569, 10757.82424736023
34, 0.1395, 0.1461, 0.1461, 11075.990322589874
35, 0.12716, 0.1257, 0.1257, 11393.843538284302
36, 0.15578, 0.1658, 0.1658, 11712.845335960388
37, 0.11936, 0.1208, 0.1208, 12030.78487277031
