round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2904.944883823395
1, 0, 0.1, 0, 5809.132967472076
2, 0, 0.1, 0, 8715.256168842316
3, 0, 0.1, 0, 11636.583349227905
4, 0, 0.1, 0, 14464.954599380493
5, 0, 0.1, 0, 17374.955731630325
6, 0, 0.1, 0, 20295.673495054245
7, 0, 0.1, 0, 23200.87677884102
8, 0, 0.1, 0, 26096.087889909744
9, 0, 0.1, 0, 28995.104525327682
10, 0, 0.1, 0, 31877.69344854355
11, 0, 0.1, 0, 34767.62981081009
12, 0, 0.1, 0, 37448.96080684662
13, 0, 0.1, 0, 39939.0814769268
14, 0, 0.1, 0, 42425.5803129673
15, 0, 0.1, 0, 44930.8960955143
16, 0, 0.1, 0, 47443.51526808739
17, 0, 0.1, 0, 49971.27902841568
18, 0, 0.1, 0, 52513.41385245323
19, 0, 0.1, 0, 55056.64745092392
20, 0, 0.1, 0, 57605.84072613716
21, 0, 0.1, 0, 60155.12156224251
22, 0, 0.1, 0, 62707.00832772255
23, 0, 0.1, 0, 65246.1742413044
24, 0, 0.1, 0, 67768.39876484871
25, 0, 0.1, 0, 70279.87333512306
26, 0, 0.1, 0, 72794.49525141716
27, 0, 0.1, 0, 75306.01086497307
28, 0, 0.1, 0, 77814.15724873543
29, 0, 0.1, 0, 80325.12364697456
30, 0, 0.1, 0, 82838.45224785805
31, 0, 0.1, 0, 85358.71253085136
32, 0, 0.1, 0, 87879.06662297249
33, 0, 0.1, 0, 90398.03244018555
34, 0, 0.1, 0, 92918.31418132782
35, 0, 0.1, 0, 95436.82951068878
36, 0, 0.1, 0, 97957.04624819756
37, 0, 0.1, 0, 100481.06229424477
38, 0, 0.1, 0, 103002.6686630249
39, 0, 0.1, 0, 105522.41648602486
40, 0, 0.1, 0, 108039.39539122581
41, 0, 0.1, 0, 110560.6390016079
42, 0, 0.1, 0, 113080.5986506939
43, 0, 0.1, 0, 115598.93775844574
44, 0, 0.1, 0, 118138.156457901
45, 0, 0.1, 0, 120677.64768505096
46, 0, 0.1, 0, 123215.89823174477
47, 0, 0.1, 0, 125755.53722214699
48, 0, 0.1, 0, 128297.3048684597
49, 0, 0.1, 0, 130835.20012068748
50, 0, 0.1, 0, 133367.95784664154
51, 0, 0.1, 0, 135916.17323374748
52, 0, 0.1, 0, 138524.95100951195
53, 0, 0.1, 0, 141133.04917788506
54, 0, 0.1, 0, 143736.72174048424
55, 0, 0.1, 0, 146341.17852520943
56, 0, 0.1, 0, 148943.3289000988
57, 0, 0.1, 0, 151544.117852211
58, 0, 0.1, 0, 154138.7690281868
59, 0, 0.1, 0, 156729.0601732731
60, 0, 0.1, 0, 159545.48747205734
61, 0, 0.1, 0, 162484.01789474487
62, 0, 0.1, 0, 165414.52585053444
63, 0, 0.1, 0, 168347.5821671486
64, 0, 0.1, 0, 171288.11190533638
65, 0, 0.1, 0, 174234.54416370392
66, 0, 0.1, 0, 177181.19459176064
67, 0, 0.1, 0, 180129.7064590454
68, 0, 0.1, 0, 183080.3296868801
69, 0, 0.1, 0, 186035.06831645966
70, 0, 0.1, 0, 188986.4623184204
71, 0, 0.1, 0, 191938.30243253708
72, 0, 0.1, 0, 194900.2058286667
73, 0, 0.1, 0, 197844.09260225296
74, 0, 0.1, 0, 200770.99124789238
75, 0, 0.1, 0, 203704.5528793335
76, 0, 0.1, 0, 206637.71529650688
77, 0, 0.1, 0, 209576.70285487175
78, 0, 0.1, 0, 212504.60070252419
79, 0, 0.1, 0, 215432.8432161808
80, 0, 0.1, 0, 218367.06470274925
81, 0, 0.1, 0, 221305.10322904587
82, 0, 0.1, 0, 224234.07647514343
83, 0, 0.1, 0, 227171.05137634277
84, 0, 0.1, 0, 230102.10680103302
85, 0, 0.1, 0, 233267.8512380123
86, 0, 0.1, 0, 236352.31403112411
87, 0, 0.1, 0, 239317.28391194344
88, 0, 0.1, 0, 242517.54274964333
89, 0, 0.1, 0, 245939.87073874474
90, 0, 0.1, 0, 249234.94255757332
91, 0, 0.1, 0, 252291.38374090195
92, 0, 0.1, 0, 255231.98222231865
93, 0, 0.1, 0, 258167.911744833
94, 0, 0.1, 0, 261117.13027095795
95, 0, 0.1, 0, 264065.82824373245
96, 0, 0.1, 0, 267006.30914759636
97, 0, 0.1, 0, 270009.5016183853
98, 0, 0.1, 0, 273133.868950367
99, 0, 0.1, 0, 276088.31043457985
