round, train_acc, test_acc, f1, time_stamp
0, 0, 0.102, 0, 3011.4612510204315
1, 0, 0.1, 0, 6037.502653598785
2, 0, 0.1, 0, 9036.887161254883
3, 0, 0.1001, 0, 12032.0569627285
4, 0, 0.1, 0, 15026.824586391449
5, 0, 0.1, 0, 18029.212252378464
6, 0, 0.1, 0, 21029.84085869789
7, 0, 0.1, 0, 23965.803773403168
8, 0, 0.1, 0, 26916.48114180565
9, 0, 0.1, 0, 29854.094690084457
10, 0, 0.1, 0, 32802.72380781174
11, 0, 0.1, 0, 35708.0239109993
12, 0, 0.1, 0, 38691.53706932068
13, 0, 0.1, 0, 41868.46220564842
14, 0, 0.1, 0, 44964.82688522339
15, 0, 0.1, 0, 47957.123598098755
16, 0, 0.1, 0, 50914.27413058281
17, 0, 0.1, 0, 53951.85250735283
18, 0, 0.1, 0, 56950.55520272255
19, 0, 0.1, 0, 59710.90345072746
20, 0, 0.1, 0, 62189.814573287964
21, 0, 0.1, 0, 64675.35514831543
22, 0, 0.1, 0, 67162.25295686722
23, 0, 0.1, 0, 69661.31052827835
24, 0, 0.1, 0, 72143.04420185089
25, 0, 0.1, 0, 74699.63183116913
26, 0, 0.1, 0, 77260.80384135246
27, 0, 0.1, 0, 79818.96563100815
28, 0, 0.1, 0, 82384.40022301674
29, 0, 0.1, 0, 84941.18261551857
30, 0, 0.1, 0, 87504.47052264214
31, 0, 0.1, 0, 90062.95781755447
32, 0, 0.1002, 0, 92626.24915790558
33, 0, 0.1018, 0, 95191.1356921196
34, 0, 0.1076, 0, 97750.39709568024
35, 0, 0.1142, 0, 100315.07745790482
36, 0, 0.1209, 0, 102876.90994358063
37, 0, 0.1225, 0, 105438.81888270378
38, 0, 0.1278, 0, 108001.36040115356
39, 0, 0.1307, 0, 110560.4984767437
40, 0, 0.1313, 0, 113133.65585970879
41, 0, 0.1399, 0, 115708.69233560562
42, 0, 0.1377, 0, 118333.62869310379
43, 0, 0.145, 0, 120905.21460294724
44, 0, 0.1437, 0, 123549.28902959824
45, 0, 0.1485, 0, 126280.75636219978
46, 0, 0.1453, 0, 128869.45258498192
47, 0, 0.1461, 0, 131620.1302778721
48, 0, 0.1466, 0, 134371.4572980404
49, 0, 0.1416, 0, 136944.90115332603
50, 0, 0.1486, 0, 139541.53346180916
51, 0, 0.149, 0, 142167.22586536407
52, 0, 0.148, 0, 144856.38600754738
53, 0, 0.1517, 0, 147545.19244647026
54, 0, 0.1565, 0, 150166.75508069992
55, 0, 0.1559, 0, 152812.70745277405
56, 0, 0.159, 0, 155463.81022429466
57, 0, 0.1615, 0, 158109.150734663
58, 0, 0.1623, 0, 160766.71689748764
59, 0, 0.1663, 0, 163421.388174057
60, 0, 0.1679, 0, 166074.53221940994
61, 0, 0.1715, 0, 168725.62258148193
62, 0, 0.1901, 0, 171748.96648931503
63, 0, 0.1905, 0, 174808.35639119148
64, 0, 0.1949, 0, 177511.09933567047
65, 0, 0.1961, 0, 180159.9196650982
66, 0, 0.1894, 0, 182800.91427206993
67, 0, 0.197, 0, 185433.78900265694
68, 0, 0.2081, 0, 188071.56975650787
69, 0, 0.2105, 0, 190714.74737930298
70, 0, 0.217, 0, 193368.23640990257
71, 0, 0.2184, 0, 196025.89555597305
72, 0, 0.2257, 0, 198664.0330953598
73, 0, 0.2273, 0, 201293.4507367611
74, 0, 0.2346, 0, 204066.60281324387
75, 0, 0.2373, 0, 206717.32221770287
76, 0, 0.2389, 0, 209352.02355122566
77, 0, 0.2424, 0, 212011.1581850052
78, 0, 0.2459, 0, 214645.0652937889
79, 0, 0.247, 0, 217395.9505467415
80, 0, 0.2485, 0, 220561.15614247322
81, 0, 0.2472, 0, 223728.43673229218
82, 0, 0.2485, 0, 226903.86339640617
83, 0, 0.2486, 0, 230092.50231218338
84, 0, 0.2524, 0, 233269.6857469082
85, 0, 0.2517, 0, 236425.99671053886
86, 0, 0.2534, 0, 239618.063529253
87, 0, 0.2544, 0, 242795.78231668472
88, 0, 0.2539, 0, 245964.91487669945
89, 0, 0.2568, 0, 249114.50543522835
90, 0, 0.2573, 0, 252303.95842385292
91, 0, 0.2575, 0, 255498.81712770462
92, 0, 0.261, 0, 258686.71114826202
93, 0, 0.26, 0, 261851.67572546005
94, 0, 0.2615, 0, 265035.85488438606
95, 0, 0.2626, 0, 268210.49003505707
96, 0, 0.2661, 0, 271409.0983338356
97, 0, 0.2655, 0, 274567.9768784046
98, 0, 0.2654, 0, 277744.80978393555
99, 0, 0.2682, 0, 280905.5624153614
