,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.11056,0.1105,"[[0, 0, 0, 0, 0, 880, 0, 0, 0, 120], [0, 0, 0, 0, 0, 866, 0, 0, 0, 134], [0, 0, 0, 0, 0, 914, 0, 0, 0, 86], [0, 0, 0, 0, 0, 922, 0, 0, 0, 78], [0, 0, 0, 0, 0, 961, 0, 0, 0, 39], [0, 0, 0, 0, 0, 918, 0, 0, 0, 82], [0, 0, 0, 0, 0, 955, 0, 0, 0, 45], [0, 0, 0, 0, 0, 923, 0, 0, 0, 77], [0, 0, 0, 0, 0, 872, 0, 0, 0, 128], [0, 0, 0, 0, 0, 813, 0, 0, 0, 187]]"
1,1,0.11566,0.1147,"[[0, 0, 0, 0, 0, 753, 0, 0, 0, 247], [0, 0, 0, 0, 0, 748, 0, 0, 0, 252], [0, 0, 0, 0, 0, 849, 0, 0, 0, 151], [0, 0, 0, 0, 0, 853, 0, 0, 0, 147], [0, 0, 0, 0, 0, 900, 0, 0, 0, 100], [0, 0, 0, 0, 0, 843, 0, 0, 0, 157], [0, 0, 0, 0, 0, 902, 0, 0, 0, 98], [0, 0, 0, 0, 0, 859, 0, 0, 0, 141], [0, 0, 0, 0, 0, 763, 0, 0, 0, 237], [0, 0, 0, 0, 0, 696, 0, 0, 0, 304]]"
2,2,0.12256,0.1214,"[[0, 0, 0, 0, 0, 622, 0, 0, 0, 378], [0, 0, 0, 0, 0, 655, 0, 0, 0, 345], [0, 0, 0, 0, 0, 739, 0, 0, 0, 261], [0, 0, 0, 0, 0, 763, 0, 0, 0, 237], [0, 0, 0, 0, 0, 826, 0, 0, 0, 174], [0, 0, 0, 0, 0, 751, 0, 0, 0, 249], [0, 0, 0, 0, 0, 816, 0, 0, 0, 184], [0, 0, 0, 0, 0, 777, 0, 0, 0, 223], [0, 0, 0, 0, 0, 649, 0, 0, 0, 351], [0, 0, 0, 0, 0, 537, 0, 0, 0, 463]]"
3,3,0.12376,0.1229,"[[0, 0, 0, 0, 0, 469, 0, 0, 0, 531], [0, 0, 0, 0, 0, 529, 0, 0, 0, 471], [0, 0, 0, 0, 0, 589, 0, 0, 0, 411], [0, 0, 0, 0, 0, 642, 0, 0, 0, 358], [0, 0, 0, 0, 0, 680, 0, 0, 0, 320], [0, 0, 0, 0, 0, 632, 0, 0, 0, 368], [0, 0, 0, 0, 0, 691, 0, 0, 0, 309], [0, 0, 0, 0, 0, 652, 0, 0, 0, 348], [0, 0, 0, 0, 0, 511, 0, 0, 0, 489], [0, 0, 0, 0, 0, 403, 0, 0, 0, 597]]"
4,4,0.12382,0.1213,"[[0, 0, 0, 0, 0, 333, 0, 0, 0, 667], [0, 0, 0, 0, 0, 446, 0, 0, 0, 554], [0, 0, 0, 0, 0, 428, 0, 0, 0, 572], [0, 0, 0, 0, 0, 526, 0, 0, 0, 474], [0, 0, 0, 0, 0, 524, 0, 0, 0, 476], [0, 0, 0, 0, 0, 508, 0, 0, 0, 492], [0, 0, 0, 0, 0, 556, 0, 0, 0, 444], [0, 0, 0, 0, 0, 514, 0, 0, 0, 486], [0, 0, 0, 0, 0, 414, 0, 0, 0, 586], [0, 0, 0, 0, 0, 295, 0, 0, 0, 705]]"
5,5,0.12264,0.1187,"[[0, 0, 0, 0, 0, 229, 0, 0, 0, 771], [0, 0, 0, 0, 0, 350, 0, 0, 0, 650], [0, 0, 0, 0, 0, 283, 0, 0, 0, 717], [0, 0, 0, 0, 0, 393, 0, 0, 0, 607], [0, 0, 0, 0, 0, 378, 0, 0, 0, 622], [0, 0, 0, 0, 0, 397, 0, 0, 0, 603], [0, 0, 0, 0, 0, 437, 0, 0, 0, 563], [0, 0, 0, 0, 0, 370, 0, 0, 0, 630], [0, 0, 0, 0, 0, 313, 0, 0, 0, 687], [0, 0, 0, 0, 0, 210, 0, 0, 0, 790]]"
6,6,0.12056,0.1164,"[[0, 0, 0, 0, 0, 157, 0, 0, 0, 843], [0, 0, 0, 0, 0, 271, 0, 0, 0, 729], [0, 0, 0, 0, 0, 186, 0, 0, 0, 814], [0, 0, 0, 0, 0, 294, 0, 0, 0, 706], [0, 0, 0, 0, 0, 246, 0, 0, 0, 754], [0, 0, 0, 0, 0, 310, 0, 0, 0, 690], [0, 0, 0, 0, 0, 320, 0, 0, 0, 680], [0, 0, 0, 0, 0, 274, 0, 0, 0, 726], [0, 0, 0, 0, 0, 248, 0, 0, 0, 752], [0, 0, 0, 0, 0, 146, 0, 0, 0, 854]]"
7,7,0.1171,0.1133,"[[0, 0, 0, 0, 0, 105, 0, 0, 0, 895], [0, 0, 0, 0, 0, 194, 0, 0, 0, 806], [0, 0, 0, 0, 0, 133, 0, 0, 0, 867], [0, 0, 0, 0, 0, 227, 0, 0, 0, 773], [0, 0, 0, 0, 0, 159, 0, 0, 0, 841], [0, 0, 0, 0, 0, 227, 0, 0, 0, 773], [0, 0, 0, 0, 0, 233, 0, 0, 0, 767], [0, 0, 0, 0, 0, 185, 0, 0, 0, 815], [0, 0, 0, 0, 0, 186, 0, 0, 0, 814], [0, 0, 0, 0, 0, 94, 0, 0, 0, 906]]"
8,8,0.11106,0.1113,"[[0, 0, 0, 0, 0, 63, 0, 2, 0, 935], [0, 0, 0, 0, 0, 137, 0, 14, 0, 849], [0, 0, 0, 0, 0, 94, 0, 6, 0, 900], [0, 0, 0, 0, 0, 167, 0, 19, 0, 814], [0, 0, 0, 0, 0, 90, 0, 6, 0, 904], [0, 0, 0, 0, 0, 164, 0, 12, 0, 824], [0, 0, 0, 0, 0, 139, 0, 6, 0, 855], [0, 0, 0, 0, 0, 122, 0, 15, 0, 863], [0, 0, 0, 0, 0, 130, 0, 13, 0, 857], [0, 0, 0, 0, 0, 46, 0, 20, 0, 934]]"
9,9,0.1014,0.102,"[[0, 0, 0, 0, 0, 3, 0, 686, 0, 311], [0, 0, 0, 0, 0, 13, 0, 677, 0, 310], [0, 0, 0, 0, 0, 10, 0, 557, 0, 433], [0, 0, 0, 0, 0, 16, 0, 573, 0, 411], [0, 0, 0, 0, 0, 4, 0, 594, 0, 402], [0, 0, 0, 0, 0, 6, 0, 650, 0, 344], [0, 0, 0, 0, 0, 15, 0, 643, 0, 342], [0, 0, 0, 0, 0, 9, 0, 659, 0, 332], [0, 0, 0, 0, 0, 3, 0, 740, 0, 257], [0, 0, 0, 0, 0, 2, 0, 643, 0, 355]]"
