round, train_acc, test_acc, f1, time_stamp
0, 0.10706, 0.1095, 0.1095, 495.2407968044281
1, 0.1, 0.1, 0.1, 991.4128696918488
2, 0.1, 0.1, 0.1, 1491.3687088489532
3, 0.13918, 0.1373, 0.1373, 1986.7934503555298
4, 0.10068, 0.101, 0.101, 2481.6412630081177
5, 0.13134, 0.1295, 0.1295, 2977.072113752365
6, 0.09854, 0.0988, 0.0988, 3472.260732650757
7, 0.15324, 0.1506, 0.1506, 3967.8127114772797
8, 0.11216, 0.1131, 0.1131, 4469.800927639008
9, 0.15788, 0.1606, 0.1606, 4965.135535955429
10, 0.12674, 0.1265, 0.1265, 5460.805014848709
11, 0.1515, 0.1534, 0.1534, 5957.010664701462
12, 0.13554, 0.1347, 0.1347, 6452.483431100845
13, 0.1597, 0.1614, 0.1614, 6947.822845697403
14, 0.1402, 0.1421, 0.1421, 7443.296357154846
15, 0.16624, 0.1674, 0.1674, 7938.618541955948
16, 0.14584, 0.1477, 0.1477, 8434.41200351715
17, 0.18422, 0.1927, 0.1927, 8938.044168233871
18, 0.15636, 0.1656, 0.1656, 9437.139781475067
19, 0.18958, 0.1987, 0.1987, 9931.611503124237
20, 0.17692, 0.1925, 0.1925, 10425.449316740036
21, 0.19622, 0.2119, 0.2119, 10918.93623995781
22, 0.18866, 0.2123, 0.2123, 11412.249388933182
23, 0.208, 0.2253, 0.2253, 11906.077219963074
24, 0.2019, 0.2296, 0.2296, 12400.260799646378
25, 0.21662, 0.2357, 0.2357, 12894.578395366669
26, 0.21306, 0.2423, 0.2423, 13388.509979248047
27, 0.2242, 0.2387, 0.2387, 13882.9904961586
28, 0.21986, 0.249, 0.249, 14377.888787984848
29, 0.23244, 0.244, 0.244, 14872.963426589966
30, 0.22254, 0.2477, 0.2477, 15366.98962187767
31, 0.24282, 0.2576, 0.2576, 15861.56732058525
32, 0.2401, 0.2677, 0.2677, 16355.747715234756
33, 0.24772, 0.2631, 0.2631, 16849.62834095955
34, 0.24228, 0.269, 0.269, 17344.06527686119
35, 0.24332, 0.2627, 0.2627, 17837.85871696472
36, 0.24268, 0.2675, 0.2675, 18331.89323949814
37, 0.24446, 0.2609, 0.2609, 18825.72516965866
38, 0.24436, 0.2708, 0.2708, 19319.18845963478
39, 0.25412, 0.2706, 0.2706, 19811.972957849503
40, 0.25352, 0.2814, 0.2814, 20305.394461631775
41, 0.2563, 0.2742, 0.2742, 20798.632314682007
42, 0.25714, 0.2829, 0.2829, 21291.871584177017
43, 0.26146, 0.2816, 0.2816, 21784.647771835327
44, 0.24942, 0.2766, 0.2766, 22276.95336151123
45, 0.27026, 0.288, 0.288, 22768.86224079132
46, 0.24268, 0.2642, 0.2642, 23261.05151629448
47, 0.26094, 0.2758, 0.2758, 23753.086441755295
48, 0.24248, 0.2614, 0.2614, 24245.69128870964
49, 0.25518, 0.2686, 0.2686, 24737.870429754257
50, 0.247, 0.2635, 0.2635, 25230.57799434662
51, 0.25696, 0.271, 0.271, 25724.46182656288
52, 0.25618, 0.2734, 0.2734, 26216.54112291336
53, 0.25874, 0.2746, 0.2746, 26709.14544725418
54, 0.2689, 0.2889, 0.2889, 27201.562461853027
55, 0.27596, 0.2948, 0.2948, 27693.69778060913
56, 0.27666, 0.3041, 0.3041, 28185.770168066025
57, 0.28706, 0.3057, 0.3057, 28678.539757966995
58, 0.26854, 0.2938, 0.2938, 29170.503732204437
59, 0.27982, 0.3, 0.3, 29662.73903155327
60, 0.27068, 0.2973, 0.2973, 30154.880682706833
61, 0.28652, 0.3069, 0.3069, 30646.815688848495
62, 0.28196, 0.3101, 0.3101, 31139.21746611595
63, 0.2865, 0.3067, 0.3067, 31631.904552459717
64, 0.28694, 0.3139, 0.3139, 32123.163700580597
65, 0.28274, 0.3006, 0.3006, 32614.58869099617
66, 0.29482, 0.3226, 0.3226, 33105.34674978256
67, 0.27798, 0.303, 0.303, 33596.040039777756
68, 0.29374, 0.3201, 0.3201, 34086.76663732529
69, 0.28636, 0.3094, 0.3094, 34578.24478435516
70, 0.29432, 0.3292, 0.3292, 35068.546772003174
71, 0.28816, 0.3136, 0.3136, 35558.77872180939
72, 0.30136, 0.3309, 0.3309, 36050.91944551468
73, 0.2843, 0.3061, 0.3061, 36552.09071183205
74, 0.3026, 0.3291, 0.3291, 37043.92151904106
75, 0.27682, 0.2958, 0.2958, 37535.825045347214
76, 0.30218, 0.3306, 0.3306, 38031.914620637894
77, 0.2838, 0.3039, 0.3039, 38524.20697927475
78, 0.30718, 0.3367, 0.3367, 39015.85029840469
79, 0.29908, 0.3187, 0.3187, 39507.510011434555
80, 0.31256, 0.3373, 0.3373, 39999.16870570183
81, 0.29896, 0.3211, 0.3211, 40490.03864431381
82, 0.31228, 0.3364, 0.3364, 40980.66164159775
83, 0.28938, 0.3082, 0.3082, 41472.126952409744
84, 0.30302, 0.3254, 0.3254, 41963.59363889694
85, 0.2876, 0.3044, 0.3044, 42455.209906339645
86, 0.30992, 0.3324, 0.3324, 42946.46446967125
87, 0.2893, 0.3089, 0.3089, 43438.109828948975
88, 0.31382, 0.3344, 0.3344, 43930.092339754105
89, 0.30426, 0.3275, 0.3275, 44422.927003622055
90, 0.31528, 0.3412, 0.3412, 44914.27130842209
91, 0.30248, 0.3238, 0.3238, 45405.54404139519
92, 0.31954, 0.3394, 0.3394, 45896.92216706276
93, 0.30742, 0.3294, 0.3294, 46388.47577762604
94, 0.31828, 0.3383, 0.3383, 46879.92991447449
95, 0.29862, 0.3225, 0.3225, 47371.28680109978
96, 0.3196, 0.3419, 0.3419, 47862.75535464287
97, 0.28944, 0.3051, 0.3051, 48355.085634469986
98, 0.31638, 0.3373, 0.3373, 48847.449311733246
99, 0.29546, 0.3142, 0.3142, 49346.81516623497
