,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.12414,0.1229,"[[0, 0, 0, 0, 0, 454, 0, 0, 0, 546], [0, 0, 0, 0, 0, 523, 0, 0, 0, 477], [0, 0, 0, 0, 0, 574, 0, 0, 0, 426], [0, 0, 0, 0, 0, 623, 0, 0, 0, 377], [0, 0, 0, 0, 0, 669, 0, 0, 0, 331], [0, 0, 0, 0, 0, 616, 0, 0, 0, 384], [0, 0, 0, 0, 0, 679, 0, 0, 0, 321], [0, 0, 0, 0, 0, 639, 0, 0, 0, 361], [0, 0, 0, 0, 0, 499, 0, 0, 0, 501], [0, 0, 0, 0, 0, 387, 0, 0, 0, 613]]"
1,1,0.1143,0.112,"[[0, 0, 0, 0, 0, 83, 0, 0, 0, 917], [0, 0, 0, 0, 0, 177, 0, 0, 0, 823], [0, 0, 0, 0, 0, 114, 0, 0, 0, 886], [0, 0, 0, 0, 0, 208, 0, 0, 0, 792], [0, 0, 0, 0, 0, 134, 0, 0, 0, 866], [0, 0, 0, 0, 0, 195, 0, 0, 0, 805], [0, 0, 0, 0, 0, 191, 0, 0, 0, 809], [0, 0, 0, 0, 0, 161, 0, 0, 0, 839], [0, 0, 0, 0, 0, 157, 0, 0, 0, 843], [0, 0, 0, 0, 0, 75, 0, 0, 0, 925]]"
2,2,0.10374,0.1034,"[[0, 0, 0, 0, 0, 0, 0, 935, 0, 65], [0, 0, 0, 0, 0, 0, 0, 906, 0, 94], [0, 0, 0, 0, 0, 0, 0, 869, 0, 131], [0, 0, 0, 0, 0, 0, 0, 844, 0, 156], [0, 0, 0, 0, 0, 0, 0, 917, 0, 83], [0, 0, 0, 0, 0, 0, 0, 863, 0, 137], [0, 0, 0, 0, 0, 0, 0, 933, 0, 67], [0, 0, 0, 0, 0, 1, 0, 919, 0, 80], [0, 0, 0, 0, 0, 0, 0, 954, 0, 46], [0, 0, 0, 0, 0, 0, 0, 885, 0, 115]]"
3,3,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
4,4,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
5,5,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
6,6,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
7,7,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
8,8,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
9,9,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
