round, train_acc, test_acc, f1, time_stamp
0, 0.10732, 0.1103, 0.1103, 522.9318614006042
1, 0.1, 0.1, 0.1, 1042.416759967804
2, 0.1, 0.1, 0.1, 1563.139068365097
3, 0.1364, 0.1336, 0.1336, 2085.0294365882874
4, 0.10108, 0.1012, 0.1012, 2605.135309934616
5, 0.1372, 0.1363, 0.1363, 3125.840700864792
6, 0.1016, 0.1025, 0.1025, 3647.358376264572
7, 0.15108, 0.15, 0.15, 4167.790561437607
8, 0.11142, 0.1178, 0.1178, 4689.043548583984
9, 0.145, 0.1456, 0.1456, 5212.3126492500305
10, 0.12886, 0.1289, 0.1289, 5733.6575248241425
11, 0.15154, 0.1549, 0.1549, 6257.318137168884
12, 0.13132, 0.1313, 0.1313, 6785.28532910347
13, 0.15994, 0.163, 0.163, 7315.494474411011
14, 0.13562, 0.1391, 0.1391, 7837.803395271301
15, 0.16576, 0.1738, 0.1738, 8358.71642279625
16, 0.14372, 0.1445, 0.1445, 8880.866377830505
17, 0.18414, 0.1915, 0.1915, 9402.031888246536
18, 0.1549, 0.1628, 0.1628, 9924.926829576492
19, 0.18988, 0.2005, 0.2005, 10448.278828144073
20, 0.16758, 0.1821, 0.1821, 10973.089608669281
21, 0.19584, 0.2096, 0.2096, 11493.944060325623
22, 0.19022, 0.2154, 0.2154, 12013.633734464645
23, 0.2063, 0.2206, 0.2206, 12535.244046211243
24, 0.19866, 0.2274, 0.2274, 13057.33371758461
25, 0.21634, 0.2337, 0.2337, 13578.188454151154
26, 0.22072, 0.2519, 0.2519, 14104.579080343246
27, 0.22736, 0.2445, 0.2445, 14626.588686227798
28, 0.2306, 0.2585, 0.2585, 15149.225170135498
29, 0.2379, 0.2523, 0.2523, 15671.838680505753
30, 0.22796, 0.2569, 0.2569, 16194.231539011002
31, 0.25092, 0.2697, 0.2697, 16717.372035741806
32, 0.24322, 0.2738, 0.2738, 17238.62835741043
33, 0.25462, 0.2718, 0.2718, 17759.732206583023
34, 0.2447, 0.271, 0.271, 18281.406965494156
35, 0.24364, 0.262, 0.262, 18800.47805738449
36, 0.24998, 0.2731, 0.2731, 19317.64927005768
37, 0.24998, 0.2673, 0.2673, 19835.92451095581
38, 0.25486, 0.2833, 0.2833, 20353.660957574844
39, 0.2528, 0.2673, 0.2673, 20870.12635564804
40, 0.26092, 0.2881, 0.2881, 21387.455439805984
41, 0.24832, 0.2708, 0.2708, 21906.393726348877
42, 0.25796, 0.2838, 0.2838, 22426.53205347061
43, 0.25496, 0.2756, 0.2756, 22944.411457538605
44, 0.24958, 0.2747, 0.2747, 23461.33624315262
45, 0.26292, 0.2816, 0.2816, 23980.24285840988
46, 0.23812, 0.2567, 0.2567, 24497.35426592827
47, 0.25136, 0.2722, 0.2722, 25014.048451423645
48, 0.2398, 0.2546, 0.2546, 25534.695594787598
49, 0.24472, 0.2648, 0.2648, 26051.90764760971
50, 0.2619, 0.2819, 0.2819, 26569.988681793213
51, 0.25778, 0.2751, 0.2751, 27087.9161362648
52, 0.26584, 0.2874, 0.2874, 27604.112194776535
53, 0.26256, 0.2821, 0.2821, 28124.24441766739
54, 0.27854, 0.2988, 0.2988, 28644.090645074844
55, 0.27136, 0.2928, 0.2928, 29160.231602430344
56, 0.28234, 0.3042, 0.3042, 29678.155338525772
57, 0.28036, 0.3029, 0.3029, 30194.288864135742
58, 0.27576, 0.2985, 0.2985, 30709.81470155716
59, 0.28016, 0.3063, 0.3063, 31227.065721988678
60, 0.26614, 0.2901, 0.2901, 31742.86573600769
61, 0.28808, 0.3145, 0.3145, 32259.875690221786
62, 0.2776, 0.3041, 0.3041, 32778.81055164337
63, 0.28902, 0.3149, 0.3149, 33296.62090277672
64, 0.2818, 0.3036, 0.3036, 33813.7241461277
65, 0.29268, 0.3137, 0.3137, 34332.11551117897
66, 0.28072, 0.3042, 0.3042, 34851.14198732376
67, 0.28822, 0.3081, 0.3081, 35370.86021709442
68, 0.27438, 0.3014, 0.3014, 35890.32252025604
69, 0.29176, 0.3174, 0.3174, 36411.08825516701
70, 0.27496, 0.3021, 0.3021, 36933.42308139801
71, 0.29714, 0.3195, 0.3195, 37452.17872309685
72, 0.28546, 0.3162, 0.3162, 37968.96167707443
73, 0.29236, 0.3136, 0.3136, 38489.49219942093
74, 0.28188, 0.3082, 0.3082, 39008.27502965927
75, 0.29532, 0.3103, 0.3103, 39525.56613945961
76, 0.28738, 0.3127, 0.3127, 40043.87321782112
77, 0.29962, 0.3186, 0.3186, 40559.88456988335
78, 0.28962, 0.3177, 0.3177, 41077.08962202072
79, 0.30534, 0.3219, 0.3219, 41595.679017066956
80, 0.30124, 0.3279, 0.3279, 42111.2234377861
81, 0.3126, 0.3323, 0.3323, 42628.80870914459
82, 0.30394, 0.3299, 0.3299, 43145.15703177452
83, 0.30578, 0.3258, 0.3258, 43661.153396844864
84, 0.3029, 0.3337, 0.3337, 44183.44023895264
85, 0.30362, 0.325, 0.325, 44704.81731438637
86, 0.30058, 0.3304, 0.3304, 45220.40891289711
87, 0.3034, 0.3298, 0.3298, 45735.342051029205
88, 0.29428, 0.3236, 0.3236, 46250.64682507515
89, 0.30114, 0.3251, 0.3251, 46767.60470747948
90, 0.30018, 0.323, 0.323, 47286.98830103874
91, 0.30676, 0.3281, 0.3281, 47806.68783783913
92, 0.29926, 0.3161, 0.3161, 48327.28149819374
93, 0.31636, 0.3387, 0.3387, 48849.42594218254
94, 0.3045, 0.3265, 0.3265, 49369.4904692173
95, 0.31514, 0.3384, 0.3384, 49890.08588409424
96, 0.2995, 0.3221, 0.3221, 50409.395898103714
97, 0.31492, 0.3358, 0.3358, 50927.60563158989
98, 0.29634, 0.3212, 0.3212, 51447.968296051025
99, 0.31632, 0.3383, 0.3383, 51968.11887383461
