round, train_acc, test_acc, f1, time_stamp
0, 0.12524, 0.1226, 0.1226, 517.7978491783142
1, 0.10018, 0.1003, 0.1003, 1036.3903484344482
2, 0.09974, 0.1005, 0.1005, 1549.885510444641
3, 0.09996, 0.1001, 0.1001, 2067.284022808075
4, 0.1, 0.1, 0.1, 2583.5814847946167
5, 0.1, 0.1, 0.1, 3097.2484776973724
6, 0.1, 0.1, 0.1, 3606.6038970947266
7, 0.1, 0.1, 0.1, 4118.66538643837
8, 0.1, 0.1, 0.1, 4635.774583101273
9, 0.1, 0.1, 0.1, 5153.29918384552
10, 0.1, 0.1, 0.1, 5667.559096813202
11, 0.1, 0.1, 0.1, 6189.505238294601
12, 0.1, 0.1, 0.1, 6746.728421926498
13, 0.1, 0.1, 0.1, 7269.661961078644
14, 0.1, 0.1, 0.1, 7769.119651794434
15, 0.1, 0.1, 0.1, 8261.687846422195
16, 0.1, 0.1, 0.1, 8754.962528705597
17, 0.1, 0.1, 0.1, 9248.25896525383
18, 0.1, 0.1, 0.1, 9739.883019685745
19, 0.1, 0.1, 0.1, 10232.519441366196
20, 0.1, 0.1, 0.1, 10725.24138712883
21, 0.1, 0.1, 0.1, 11217.44208240509
22, 0.1, 0.1, 0.1, 11720.340393781662
23, 0.1, 0.1, 0.1, 12224.768810033798
24, 0.1, 0.1, 0.1, 12730.820090055466
25, 0.1, 0.1, 0.1, 13242.858348846436
26, 0.1, 0.1, 0.1, 13757.585583925247
27, 0.1, 0.1, 0.1, 14263.208229064941
28, 0.1, 0.1, 0.1, 14772.61158490181
29, 0.1, 0.1, 0.1, 15282.016657352448
30, 0.1, 0.1, 0.1, 15785.027963876724
31, 0.1, 0.1, 0.1, 16290.809854984283
32, 0.1, 0.1, 0.1, 16797.604435682297
33, 0.1, 0.1, 0.1, 17308.401589393616
34, 0.1, 0.1, 0.1, 17819.00618124008
35, 0.1, 0.1, 0.1, 18333.360423088074
36, 0.1, 0.1, 0.1, 18854.33389210701
37, 0.1, 0.1, 0.1, 19368.677338838577
38, 0.1, 0.1, 0.1, 19925.180344343185
39, 0.1, 0.1, 0.1, 20442.592000246048
40, 0.1, 0.1, 0.1, 20965.5415725708
41, 0.1, 0.1, 0.1, 21508.303070783615
42, 0.1, 0.1, 0.1, 22055.674102306366
43, 0.1, 0.1, 0.1, 22572.070336580276
44, 0.1, 0.1, 0.1, 23086.82141160965
45, 0.1, 0.1, 0.1, 23596.67423415184
46, 0.1, 0.1, 0.1, 24112.487171173096
47, 0.1, 0.1, 0.1, 24627.704516410828
48, 0.1, 0.1, 0.1, 25138.14547920227
49, 0.1, 0.1, 0.1, 25652.330938100815
50, 0.1, 0.1, 0.1, 26221.858543634415
51, 0.1, 0.1, 0.1, 26774.73343706131
52, 0.1, 0.1, 0.1, 27320.937769651413
53, 0.1, 0.1, 0.1, 27846.420060396194
54, 0.1, 0.1, 0.1, 28336.933769226074
55, 0.1, 0.1, 0.1, 28827.184013843536
56, 0.1, 0.1, 0.1, 29316.758808612823
57, 0.1, 0.1, 0.1, 29807.109109401703
58, 0.1, 0.1, 0.1, 30297.632310152054
59, 0.1, 0.1, 0.1, 30787.968047857285
60, 0.1, 0.1, 0.1, 31277.944025039673
61, 0.1, 0.1, 0.1, 31767.864127635956
62, 0.1, 0.1, 0.1, 32258.159415721893
63, 0.1, 0.1, 0.1, 32748.909640073776
64, 0.1, 0.1, 0.1, 33239.67236804962
65, 0.1, 0.1, 0.1, 33730.0328707695
66, 0.1, 0.1, 0.1, 34221.94686412811
67, 0.1, 0.1, 0.1, 34713.29996204376
68, 0.1, 0.1, 0.1, 35204.58564019203
69, 0.1, 0.1, 0.1, 35696.74069285393
70, 0.1, 0.1, 0.1, 36188.57430267334
71, 0.1, 0.1, 0.1, 36680.30265235901
72, 0.1, 0.1, 0.1, 37172.09217238426
73, 0.1, 0.1, 0.1, 37663.276017189026
74, 0.1, 0.1, 0.1, 38154.45918226242
75, 0.1, 0.1, 0.1, 38644.89157605171
76, 0.1, 0.1, 0.1, 39134.85063004494
77, 0.1, 0.1, 0.1, 39625.34382939339
78, 0.1, 0.1, 0.1, 40115.94749879837
79, 0.1, 0.1, 0.1, 40607.23533034325
80, 0.1, 0.1, 0.1, 41098.632694244385
81, 0.1, 0.1, 0.1, 41590.21868777275
82, 0.1, 0.1, 0.1, 42081.86181855202
83, 0.1, 0.1, 0.1, 42573.6100525856
84, 0.1, 0.1, 0.1, 43065.669214487076
85, 0.1, 0.1, 0.1, 43557.581610918045
86, 0.1, 0.1, 0.1, 44049.485154628754
87, 0.1, 0.1, 0.1, 44541.79930949211
88, 0.1, 0.1, 0.1, 45034.092354774475
89, 0.1, 0.1, 0.1, 45526.493354558945
90, 0.1, 0.1, 0.1, 46018.54399228096
91, 0.1, 0.1, 0.1, 46510.481112241745
92, 0.1, 0.1, 0.1, 47002.35565638542
93, 0.1, 0.1, 0.1, 47494.15716338158
94, 0.1, 0.1, 0.1, 47986.09162211418
95, 0.1, 0.1, 0.1, 48478.90599656105
96, 0.1, 0.1, 0.1, 48971.73343682289
97, 0.1, 0.1, 0.1, 49464.02672839165
98, 0.1, 0.1, 0.1, 49957.704397678375
99, 0.1, 0.1, 0.1, 50450.69130206108
