,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1104,0.1106,"[[0, 0, 0, 0, 0, 879, 0, 0, 0, 121], [0, 0, 0, 0, 0, 863, 0, 0, 0, 137], [0, 0, 0, 0, 0, 914, 0, 0, 0, 86], [0, 0, 0, 0, 0, 922, 0, 0, 0, 78], [0, 0, 0, 0, 0, 961, 0, 0, 0, 39], [0, 0, 0, 0, 0, 918, 0, 0, 0, 82], [0, 0, 0, 0, 0, 955, 0, 0, 0, 45], [0, 0, 0, 0, 0, 923, 0, 0, 0, 77], [0, 0, 0, 0, 0, 870, 0, 0, 0, 130], [0, 0, 0, 0, 0, 812, 0, 0, 0, 188]]"
1,1,0.12366,0.1192,"[[0, 0, 0, 0, 0, 390, 0, 0, 0, 610], [0, 0, 0, 0, 0, 485, 0, 0, 0, 515], [0, 0, 0, 0, 0, 471, 0, 0, 0, 529], [0, 0, 0, 0, 0, 556, 0, 0, 0, 444], [0, 0, 0, 0, 0, 551, 0, 0, 0, 449], [0, 0, 0, 0, 0, 541, 0, 0, 0, 459], [0, 0, 0, 0, 0, 602, 0, 0, 0, 398], [0, 0, 0, 0, 0, 568, 0, 0, 0, 432], [0, 0, 0, 0, 0, 448, 0, 0, 0, 552], [0, 0, 0, 0, 0, 349, 0, 0, 0, 651]]"
2,2,0.11254,0.1109,"[[0, 0, 0, 0, 0, 80, 0, 0, 0, 920], [0, 0, 0, 0, 0, 174, 0, 0, 0, 826], [0, 0, 0, 0, 0, 99, 0, 0, 0, 901], [0, 0, 0, 0, 0, 180, 0, 0, 0, 820], [0, 0, 0, 0, 0, 94, 0, 0, 0, 906], [0, 0, 0, 0, 0, 189, 0, 0, 0, 811], [0, 0, 0, 0, 0, 152, 0, 0, 0, 848], [0, 0, 0, 0, 0, 153, 0, 0, 0, 847], [0, 0, 0, 0, 0, 162, 0, 0, 0, 838], [0, 0, 0, 0, 0, 80, 0, 0, 0, 920]]"
3,3,0.10186,0.103,"[[0, 0, 0, 0, 0, 4, 0, 0, 0, 996], [0, 0, 0, 0, 0, 42, 0, 0, 0, 958], [0, 0, 0, 0, 0, 16, 0, 0, 0, 984], [0, 0, 0, 0, 0, 33, 0, 0, 0, 967], [0, 0, 0, 0, 0, 7, 0, 0, 0, 993], [0, 0, 0, 0, 0, 40, 0, 0, 0, 960], [0, 0, 0, 0, 0, 18, 0, 0, 0, 982], [0, 0, 0, 0, 0, 32, 0, 0, 0, 968], [0, 0, 0, 0, 0, 34, 0, 0, 0, 966], [0, 0, 0, 0, 0, 10, 0, 0, 0, 990]]"
4,4,0.1002,0.1002,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 8, 0, 0, 0, 992], [0, 0, 0, 0, 0, 1, 0, 0, 0, 999], [0, 0, 0, 0, 0, 3, 0, 0, 0, 997], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 3, 0, 0, 0, 997], [0, 0, 0, 0, 0, 2, 0, 0, 0, 998], [0, 0, 0, 0, 0, 1, 0, 0, 0, 999], [0, 0, 0, 0, 0, 1, 0, 0, 0, 999], [0, 0, 0, 0, 0, 1, 0, 0, 0, 999]]"
5,5,0.10002,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 1, 0, 0, 0, 999], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
6,6,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
7,7,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
8,8,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
9,9,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
