,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
1,1,20,0.10002,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
2,2,20,0.0999,0.1005,0.1005,"[[999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [994, 0, 2, 3, 0, 0, 0, 0, 0, 1], [996, 0, 1, 1, 0, 0, 0, 0, 0, 2], [992, 0, 2, 0, 0, 0, 0, 0, 0, 6], [990, 0, 1, 5, 0, 0, 0, 1, 0, 3], [994, 0, 1, 1, 0, 0, 0, 0, 0, 4], [997, 0, 1, 2, 0, 0, 0, 0, 0, 0], [988, 0, 8, 0, 0, 0, 0, 1, 0, 3], [999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [984, 0, 11, 1, 0, 0, 0, 0, 0, 4]]"
3,3,20,0.10412,0.1042,0.1042,"[[0, 7, 0, 0, 0, 985, 0, 0, 0, 8], [0, 10, 0, 0, 0, 971, 0, 0, 0, 19], [0, 0, 0, 0, 0, 995, 0, 0, 0, 5], [0, 2, 0, 0, 0, 989, 0, 0, 0, 9], [0, 0, 0, 0, 0, 998, 0, 0, 0, 2], [0, 1, 0, 0, 0, 995, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 6, 0, 0, 0, 987, 0, 0, 0, 7], [0, 16, 0, 0, 0, 963, 0, 0, 0, 21], [0, 20, 0, 0, 0, 943, 0, 0, 0, 37]]"
4,4,20,0.13222,0.1345,0.1345,"[[836, 0, 0, 140, 0, 0, 0, 0, 0, 24], [775, 0, 0, 180, 0, 0, 0, 0, 0, 45], [769, 0, 1, 215, 0, 0, 0, 0, 0, 15], [580, 0, 1, 395, 0, 0, 0, 0, 0, 24], [641, 0, 1, 345, 0, 0, 0, 0, 0, 13], [628, 0, 0, 355, 0, 0, 0, 0, 0, 17], [626, 0, 0, 365, 0, 0, 0, 0, 0, 9], [677, 0, 0, 269, 0, 0, 0, 0, 0, 54], [771, 0, 0, 182, 0, 0, 0, 0, 0, 47], [806, 0, 0, 81, 0, 0, 0, 0, 0, 113]]"
5,5,20,0.12848,0.1279,0.1279,"[[0, 579, 0, 0, 0, 395, 0, 0, 14, 12], [0, 601, 0, 0, 0, 327, 0, 1, 50, 21], [0, 467, 0, 0, 0, 516, 0, 0, 10, 7], [0, 352, 0, 0, 0, 625, 0, 0, 13, 10], [0, 407, 0, 0, 0, 580, 0, 3, 6, 4], [0, 363, 0, 0, 0, 616, 0, 0, 14, 7], [0, 398, 0, 0, 0, 588, 0, 1, 11, 2], [0, 507, 0, 0, 0, 452, 0, 0, 23, 18], [0, 643, 0, 0, 0, 322, 0, 0, 13, 22], [0, 765, 0, 0, 0, 173, 0, 0, 13, 49]]"
6,6,20,0.15722,0.1655,0.1655,"[[222, 0, 101, 82, 295, 0, 0, 0, 0, 300], [185, 0, 62, 121, 251, 0, 0, 0, 0, 381], [180, 0, 98, 125, 435, 0, 0, 0, 0, 162], [118, 0, 74, 292, 323, 0, 0, 1, 0, 192], [138, 0, 37, 216, 441, 0, 0, 2, 0, 166], [156, 0, 97, 259, 328, 0, 0, 0, 0, 160], [136, 0, 47, 214, 432, 0, 0, 0, 0, 171], [139, 0, 81, 162, 265, 0, 0, 0, 0, 353], [166, 0, 59, 130, 201, 0, 0, 0, 0, 444], [163, 0, 47, 43, 145, 0, 0, 0, 0, 602]]"
7,7,20,0.14792,0.1485,0.1485,"[[24, 201, 0, 24, 0, 239, 0, 0, 235, 277], [1, 169, 0, 43, 0, 213, 0, 1, 226, 347], [15, 261, 0, 35, 0, 340, 0, 1, 218, 130], [11, 156, 0, 93, 0, 437, 0, 6, 119, 178], [5, 205, 0, 61, 0, 423, 0, 1, 160, 145], [9, 165, 0, 74, 0, 432, 0, 6, 168, 146], [7, 184, 0, 58, 0, 444, 0, 1, 151, 155], [7, 146, 0, 45, 0, 332, 0, 0, 133, 337], [0, 143, 0, 56, 0, 197, 0, 0, 204, 400], [3, 181, 0, 17, 0, 104, 0, 0, 132, 563]]"
8,8,20,0.15196,0.1531,0.1531,"[[15, 8, 2, 4, 404, 0, 5, 215, 0, 347], [12, 6, 13, 8, 399, 1, 21, 86, 12, 442], [6, 0, 2, 7, 534, 3, 3, 250, 2, 193], [5, 1, 6, 15, 553, 5, 5, 192, 0, 218], [6, 1, 1, 12, 589, 0, 13, 192, 1, 185], [13, 4, 7, 14, 551, 6, 7, 205, 1, 192], [4, 3, 2, 9, 598, 1, 17, 169, 4, 193], [16, 2, 10, 8, 347, 0, 3, 221, 7, 386], [22, 0, 9, 7, 386, 1, 9, 66, 3, 497], [16, 6, 9, 0, 221, 0, 1, 87, 3, 657]]"
9,9,20,0.1646,0.1667,0.1667,"[[270, 1, 2, 84, 0, 166, 1, 5, 116, 355], [84, 2, 0, 153, 0, 133, 0, 4, 192, 432], [293, 8, 10, 144, 0, 235, 0, 5, 92, 213], [142, 6, 2, 272, 0, 254, 0, 17, 64, 243], [189, 8, 8, 228, 0, 258, 0, 4, 76, 229], [162, 6, 2, 247, 1, 284, 0, 4, 80, 214], [110, 7, 3, 257, 0, 269, 0, 6, 108, 240], [122, 1, 0, 165, 0, 184, 0, 12, 104, 412], [98, 2, 1, 142, 0, 126, 0, 0, 143, 488], [94, 3, 1, 58, 0, 70, 1, 3, 96, 674]]"
